༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
།ཁྱོད་ཀྱིས་འབྲི་ཡི་རྔ་མ་ཅི་འདྲ་དེ་འདྲར་ཚུལ་ཁྲིམས་བསྲུངས་ཤིང་སྤྱད། ||| Like a female yak that protects her calf, you have guarded your discipline.
།ཚུལ་ཁྲིམས་དགའ་བས་ཁྱོད་ཀྱིས་འདིར་ནི་འགྲོ་ལ་རྒྱ་ཆེར་དོན་ཡང་བྱས། ||| Since you delight in discipline, you have done so much to benefit beings.
།འདིར་ཁྱོད་གླང་པོ་མཆོག་ཏུ་གྱུར་ཏེ་རྔོན་པ་དགྲ་ཡིས་མདས་བསྣུན་ཚེ། ||| “As a perfect elephant, the arrows of the evil hunter hit you,
།གཏུམ་པོ་དགྲ་ལ་སྙིང་བརྩེ་སྙིང་རྗེ་བསྐྱེད་ནས་དེ་ནི་ཁྱོད་ཀྱིས་བསྐྱབས། ||| Yet you felt love and compassion for this harsh enemy and protected him.
།བཟང་ཞིང་མཛེས་པའི་མཆེ་བ་ཡོངས་སུ་བཏང་སྟེ་ཚུལ་ཁྲིམས་ཡོང་མ་བཏང་། ||| You gave him your fine and beautiful tusks and did not relinquish your discipline;
།ཁྱོད་ཀྱིས་དེ་ལ་སོགས་པ་ཚུལ་ཁྲིམས་རྣམ་པར་འཕྲུལ་པ་མང་པོ་བྱས། ||| You displayed such discipline many times.
།བཟོད་ལ་དགའ་བས་ཁྱོད་ཀྱིས་འགྲོ་བའི་མི་ཕན་སྡུག་བསྔལ་སྟོང་མང་དང་། །ཚིག་རྩུབ་ངག་དང་བསད་པ་དང་ནི་བཅིང་བ་མང་པོ་བཟོད་པར་བྱས། ||| “Delighting in forbearance, you had patience with the many harms, sufferings, Harsh words, murders, and imprisonments inflicted upon you by others.
།ཁྱོད་ཀྱིས་གནའ་སྔོན་མི་གང་དག་ལ་བདེ་བ་ཀུན་གྱིས་རིམ་གྲོར་བྱས། ||| In the past you always provided others with every comfort,
།དེ་དག་ཕྱི་ནས་ཁྱོད་ཀྱི་གཤེད་མར་གྱུར་ཀྱང་ཁྱོད་ཀྱིས་དེ་དག་བཟོད། ||| And although they were your executioners, you still remained forbearing.
།མགོན་པོ་ཁྱོད་ནི་རི་མཆོག་གནས་ན་གང་ཚེ་དྲེད་མོར་གྱུར་པའི་ཚེ། ||| “Protector, once you were a bear, living in a mountain lair;
།ཁ་བ་བབ་ཅིང་ཆུ་བྲུག་པས་ནི་འཇིགས་ཤིང་སྐྲག་པའི་མི་བཟུང་སྟེ། ||| At that time you rescued a man, frightened and terrified, out of an avalanche.
།རྩ་བ་འབྲས་བུ་རྣམ་པ་མང་དང་བདེ་བ་ཀུན་གྱིས་རིམ་གྲོ་བྱས། ||| You served him roots and berries and provided him with every comfort;
།དེ་ཡིས་མྱུར་དུ་ཁྱོད་ལ་གསོད་པ་ཁྲིད་འོངས་ཁྱོད་ཀྱིས་དེ་ལ་བཟོད། ||| Although he soon killed you and carried you off, you remained patient.
།བྱང་ཆུབ་བཙལ་ཕྱིར་བརྟུལ་ཞུགས་དཀའ་ཐུབ་ཡོན་ཏན་རྣམ་མང་ཡེ་ཤེས་ལ། ||| “When through austerities, you sought awakening and wisdom of many qualities,
།ཁྱོད་ཀྱིས་བརྩོན་འགྲུས་ཤིན་ཏུ་བརྟན་པར་གནས་ཤིང་མི་གཡོ་གཡོ་བ་མེད། ||| You possessed fortitude, determination, unshakable resolve, and diligence;
།དབང་སྒྱུར་བདུད་ཀྱང་ཁྱོད་ཀྱིས་བརྩོན་འགྲུས་སྟོབས་ཀྱིས་སྟོབས་ནི་མེད་པར་བྱས། ||| The strength of your diligence could overcome even the most powerful demon.
།མི་ཡི་སེང་གེ་ཁྱོད་འདིར་མངོན་པར་འབྱུང་བའི་དུས་ལ་ད་བབ་བོ། ||| Lion of Men, the time has come for renunciation.
།ཁྱོད་འདིར་གནའ་སྔོན་ཁ་བའི་ཁ་དོག་འདྲ་བའི་རྟ་མཆོག་གྱུར་པའི་ཚེ། ||| “In the past you were the finest of horses, as white as snow;
།སྙིང་རྗེ་བསྐྱེད་ནས་ནམ་མཁའ་ལས་ནི་སྲིན་པོའི་གླིང་དུ་མྱུར་དུ་སོང་། ||| With compassion, you traveled swiftly through the sky to the land of demonesses.
།དེ་ཚེ་ཕོངས་ཤིང་འདུག་པའི་མི་དེ་བླངས་ཏེ་བདེ་ལ་རབ་ཏུ་བཞག ། ཁྱོད་ཀྱིས་འདི་ལ་སོགས་པ་བརྩོན་འགྲུས་རྣམ་པར་འཕྲུལ་པ་མང་པོ་བྱས། ||| You rescued the men in distress and brought them to safety; Many times have you demonstrated such diligence.
།མྱུར་དུ་འགྱུར་ཞིང་གཡོ་ལ་ཡུལ་ལ་དགའ་ཞིང་རྒོད་པའི་སེམས་བརྟུལ་ཏེ། །བསམ་གཏན་པར་གྱུར་དུལ་དེས་ཞི་གནས་རྣམས་ཀྱིས་ཉོན་མོངས་གཙོ་བོ་བཅོམ། ||| “A skilled meditator, you destroyed afflictions with calmness, discipline, and restraint, And tamed the fickle mind, which chases after the pleasures of the senses.
།ཁྱོད་འདིར་བསམ་གཏན་དགའ་བས་རང་གི་ཡོན་ཏན་དག་གིས་འགྲོ་དོན་བྱས། ||| Since you delight in concentration, your personal qualities benefit others;
།ད་འདིར་སེམས་ཅན་མཆོག་ཁྱོད་བསམ་གཏན་རྣམ་འཕྲུལ་བྱ་བའི་དུས་ལ་བབ། ||| Now, Perfect Being, the time has come for you to demonstrate your concentration.
།གནའ་སྔོན་ཁྱོད་ནི་དྲང་སྲོང་བསམ་གཏན་དགའ་ཞིང་རབ་ཏུ་གནས་པར་གྱུར། ||| “In the past you were a well-to-do sage who delighted in concentration;
།རྒྱལ་པོ་མེད་པའི་མི་དག་གིས་ནི་ཁྱོད་ཁྲིད་རྒྱལ་སྲིད་དབང་ཡང་བསྐུར། ||| People who had lost their king invited you and consecrated you to kingship.
།ཁྱོད་ཀྱིས་སྐྱེ་བོ་དག་ནི་དགེ་བ་བཅུ་དང་ཚངས་པའི་ལམ་ལ་བཀོད། ||| You showed these people the ten virtues and established them on the path of Brahmā;
།དེ་ཡི་ཚེ་ན་མི་ལས་ཤི་འཕོས་ཐམས་ཅད་ཚངས་པའི་གནས་སུ་དོང་། ||| Later, as they died, they all proceeded to the realm of Brahmā.
།ཕྱོགས་དང་ཕྱོགས་མཚམས་འགྲོ་བ་རྣམ་མང་ཤེས་པའི་ཆོ་ག་ཁྱོད་རབ་མཁས། ||| “You have mastered the art of knowing the destinies of beings in all directions;
།གཞན་གྱི་སྤྱོད་དང་འགྲོ་བའི་སྐད་ཤེས་པ་དང་དབང་པོ་ཤེས་པ་དང་། །ཚུལ་དང་འདུལ་དང་བློ་གྲོས་རྣམ་མང་རྒྱུ་བའི་ཕ་རོལ་ཁྱོད་ཕྱིན་གྱུར། ||| You know their actions, languages, and capacities. You have perfected the way, the discipline, and different types of memory;
།རྒྱལ་པོའི་སྲས་ཁྱོད་འདིར་ནི་མངོན་པར་འབྱུང་བའི་དུས་ལ་ད་བབ་བོ། ||| Royal Son, today the time for renunciation has come.
།ཁྱོད་ཀྱིས་གནའ་སྔོན་སྐྱེ་བོ་ལྟ་བ་ལོག་པར་ཞུགས་པར་གྱུར་པ་དག །རྒ་ཤི་སྡུག་བསྔལ་རྣམ་པ་མང་པོས་ཉམ་ཐག་འཁོད་པ་འདི་མཐོང་ནས། ||| “In the past, when you saw anyone with wrong views, Who suffered from old age, death, and all the different afflictions,
།སྲིད་པ་རྣམ་པར་གཞིག་པའི་དྲང་ལམ་ཉིད་ཀྱིས་ཁོང་དུ་ཆུད་བྱས་ཏེ། ||| You instructed them in the straight path that destroys existence.
།མུན་པ་བཅོམ་པ་ཁྱོད་ཀྱིས་འཇིག་རྟེན་དག་ལ་དོན་ཆེན་རབ་ཏུ་བྱས། ||| You who conquer darkness, you have benefited the world greatly.”
།ཚིགས་བཅད་རྣམ་པ་མང་པོ་མཛེས་པ་ཡོན་ཏན་ལྡན་པ་སྣ་ཚོགས་འདིས། ||| These many virtuous and beautiful verses emerge from the tune of the instruments;
།སིལ་སྙན་སྒྲ་བསྒྲགས་དེ་ལས་རྒྱལ་བའི་གཟི་ཡིས་དཔའ་བོ་སྐུལ་བར་གྱུར། ||| By the glory of the victorious ones, they encourage the hero:
།བློ་མཆོག་ལྡན་པ་ཁྱོད་འདིར་མངོན་པར་འབྱུང་བའི་དུས་ནི་ད་བབ་ཀྱིས། ||| “Intelligent One, the time for renunciation has come;
།སྡུག་བསྔལ་གང་བའི་སྐྱེ་བོ་འདི་དག་མཐོང་ནས་བཏང་སྙོམས་མ་བྱེད་ཅིག །བུད་མེད་གོས་དང་རིན་པོ་ཆེ་དང་དོ་ཤལ་སྤོས་ཕྲེང་སྣ་ཚོགས་ཀྱིས། །བརྒྱན་པ་དག་ཀྱང་སེམས་དང་ཕངས་པ་སྐྱེས་ནས་རབ་ཏུ་དགའ་བ་རྣམས། ||| When you see these suffering beings, do not remain indifferent.” The pleasing and joyful women are adorned With fine clothes, gems, necklaces, perfumes, and flower garlands;
།སེམས་ཅན་མཆོག་ལ་སིལ་སྙན་རབ་ཏུ་སྒྲོག་ཅིང་སློང་བར་བྱེད་པ་ན། ||| They wake the Supreme Being with music and song.
རྒྱལ་བའི་མཐུ་ཡིས་སིལ་སྙན་དག་ལས་ཚིགས་སུ་བཅད་པ་འདི་འདྲ་བྱུང་། ||| By the power of the victorious ones, the instruments call out these verses:
།གང་གི་དོན་དུ་ཁྱོད་ཀྱིས་འགྲོ་ལ་ཕན་ཕྱིར་བསྐལ་པ་དུ་མར་ནི། ||| “It was for the sake of others that for many eons
།གཏང་བར་དཀའ་བ་བཏང་ཞིང་ཚུལ་ཁྲིམས་བཟོད་པ་བརྩོན་འགྲུས་ཤིན་ཏུ་སྤྱད། ||| You gave up what is hard to abandon and were disciplined, forbearing, and diligent.
།བསམ་གཏན་ཤེས་རབ་ཤིན་ཏུ་བསྒོམས་པ་ཁྱོད་ཀྱིས་དུས་ལ་ད་བབ་ཀྱིས། ||| Through your training in concentration and knowledge, your time has come;
