འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
ཡིད་ཀྱིས་ཡིད་མི་ཤེས། ཡིད་དུ་རྣམ་པར་མི་རྟོག ། ||| The mind cannot be understood by the mind or conceptualized to be the mind.
ཆོས་ཀྱིས་ཆོས་སུ་མི་ཤེས། ཆོས་སུ་རྣམ་པར་མི་རྟོག་སྟེ། ||| Mental objects cannot be understood by mental objects or conceptualized by mental objects.
གཉི་ག་སྟོང་པའི་ཕྱིར་རོ། ། ||| This is because both of them are empty.
གཉི་ག་དང་བྲལ་བའི་ཕྱིར་ཡིད་ཀྱིས་ཡིད་ཀྱི་མཚན་ཉིད་མི་ཤེས། ཆོས་ཀྱིས་ཆོས་ཀྱི་མཚན་ཉིད་མི་ཤེས་ཏེ། ||| Because both are void, the mind cannot understand the characteristics of mind, and mental objects cannot understand the characteristics of mental objects.
མཚན་ཉིད་དེ་གཉི་ག་ཅི་ཡང་མེད་པས་དེ་ལ་ནི་ངེས་པའི་ཆོས་གཅིག་ཀྱང་མེད་དོ། ། ||| Since both of them have nonexistent characteristics, they have no actual qualities whatsoever.
ཡིད་ཀྱིས་མི་འགྲུབ་ལ་ཡིད་འཇིག་པར་ཡང་མི་ནུས། ||| Mind cannot either create or destroy mind.
ཆོས་ཀྱིས་ཀྱང་ཆོས་མི་འགྲུབ་ལ་ཆོས་འཇིག་པར་མི་ནུས་སོ། ། ||| Mental objects cannot either create or destroy mental objects.
གཉི་ག་མེད་པས་ཡིད་ཀྱི་སྐྱེ་མཆེད་ནི་བདག་ཡིད་ཀྱི་སྐྱེ་མཆེད་དོ་སྙམ་དུ་མི་སེམས་སོ། ། ||| Because neither exists, the mind sense source does not think, ‘I am the mind sense source,’ and
ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱང་བདག་ནི་ཆོས་ཀྱི་སྐྱེ་མཆེད་དོ་སྙམ་དུ་མི་སེམས་སོ། ། ||| the mental object sense source does not think, ‘I am the mental object sense source.’
དེ་གཉི་ག་སྟོང་པས་སྒྱུ་མ་ལྟ་བུ་སྟེ། ||| Both are empty and thus illusory; yet
མིང་དང་ཚིག་ཏུ་རྣམ་པར་ཕྱེ་ནས་བཏགས་སོ། ། ||| they are distinguished and labeled in name and term.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་དེ་ལྟ་བུ་རྣམ་པར་འབྱེད་ཅིང་རྟོག་གོ། ། ||| This is how bodhisattva great beings discern and contemplate the mind and mental-object sense sources.”
འཇིག་རྟེན་འཛིན་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ནང་གི་སྐྱེ་མཆེད་དྲུག་དང་། ཕྱིའི་སྐྱེ་མཆེད་དྲུག་ལ་རྣམ་པར་འབྱེད་ཅིང་རྟོག་པ་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “Lokadhara, how do bodhisattva great beings discern and contemplate the six inner and six outer sense sources? They do so in this way:
སྐྱེ་མཆེད་བཅུ་གཉིས་ནི་ཐམས་ཅད་ཀྱང་ཡང་དག་པ་མ་ཡིན་པ་རྐྱེན་མང་པོ་དང་། ཕྱིན་ཅི་ལོག་ཏུ་ལྡན་པ་ལས་སྐྱེས་པ་སྟེ། ||| The twelve sense sources all arise from falsity, many conditions, and mistaken perception.
མཚན་མ་གཉིས་སུ་གྱུར་པའི་ཕྱིར་ཕྱི་དང་ནང་གཉིས་སོ། ། ||| Because they are of two marks, they are both outer and inner.
བུས་པ་སོ་སོའི་སྐྱེ་བོ་དག་ཡང་དག་པའི་ཆོས་མ་ཐོས་པ་སྐྱེ་མཆེད་བཅུ་གཉིས་ཀྱི་ཡང་དག་པ་ཉིད་མི་ཤེས་པའི་ཕྱིར་ ||| Because childish ordinary beings who have not heard the genuine Dharma do not understand the true reality of the twelve sense sources,
མིག་གི་སྐྱེ་མཆེད་ལ་ཆགས་ནས་བདག་མིག་གི་སྐྱེ་མཆེད་བདག་གི་མིག་གི་སྐྱེ་མཆེད་ཅེས་ཆགས། ||| they become attached to the eye sense source and think, ‘I am the eye sense source,’ or ‘this is my eye sense source.’
གཟུགས་ཀྱི་སྐྱེ་མཆེད་ལ་ཆགས་ནས་བདག་གཟུགས་ཀྱི་སྐྱེ་མཆེད། བདག་གི་གཟུགས་ཀྱི་སྐྱེ་མཆེད་ཅེས་ཆགས་པ་ནས་རྣ་བ་དང་། སྒྲ་དང་། སྣ་དང་། དྲི་དང་། ལྕེ་དང་། རོ་དང་། ལུས་དང་། རེག་བྱ་དང་། ཡིད་དང་། ཆོས་ཀྱི་བར་དུ་བདག་ཡིད། བདག་གི་ཡིད། བདག་ཆོས། བདག་གི་ཆོས་སོ་ཞེས་ཆགས་སོ། ། ||| Likewise, they become attached to the form sense source and think, ‘I am the form sense source,’ or ‘this is my form sense source.’ It is the same with regard to the ear and sound, the nose and odor, the tongue and taste, the body and tactile objects, and the mind and mental objects, to which they become attached and think, ‘I am mind,’ or ‘this is my mind,’ and ‘I am mental objects,’ or ‘these are my mental objects.’
དེ་ལྟར་ཆགས་པས་ན་སྐྱེ་མཆེད་བཅུ་གཉིས་ཀྱིས་ཀུན་ནས་ཀླགས་ཤིང་བཅིངས་ཏེ་ ||| As they become attached in this way and are hurt and bound by the twelve sense sources,
ལམ་རྒྱུད་ལྔར་ཡང་དང་ཡང་འཁོར་བར་གྱུར་ནས་འབྱུང་བའི་ལམ་མི་ཤེས་སོ། ། ||| they cycle again and again among the five classes of beings, without knowing the way out.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དེ་ལྟར་སྐྱེ་མཆེད་བཅུ་གཉིས་ལ་ཡང་དག་པར་བརྟགས་ན་སྐྱེ་མཆེད་བཅུ་གཉིས་རྣམས་ཡང་དག་པ་མ་ཡིན་པ། སྒྱུ་མ། སྙིང་པོ་མེད་པ། གསོག །གསོབ་ལྟ་བུ། སྟོང་པ། སྒྱུ་མ་ལྟ་བུར་མཐོང་། ||| “When they genuinely investigate the twelve sense sources in this fashion, bodhisattva great beings see them to be false, illusory, insubstantial, void, hollow, empty, and illusory.
མིག་གི་སྐྱེ་མཆེད་ལ་བདག་གམ་བདག་གི་བར་མི་ཆགས་པ་ནས་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱི་བར་དུ་བདག་གམ་བདག་གི་བར་མི་ཆགས་སོ། ། ||| They will not become attached to the eye sense source as I or mine , and so forth, up to they will not become attached to the mental object sense source as I or mine .
དེ་ལྟར་མི་ཆགས་པས་ན་རྣམ་པར་མི་རྟོག་སྟེ། ||| Without becoming attached, they do not falsely conceptualize.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དེ་ལྟར་སྐྱེ་མཆེད་བཅུ་གཉིས་ལ་ཤིན་ཏུ་མཁས་སོ། ། ||| This is how bodhisattvas are skilled in the twelve sense sources.
འཇིག་རྟེན་འཛིན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དེ་ལྟར་སྐྱེ་མཆེད་རྣམས་ཀྱི་ཐབས་ལ་མཁས་པས་སྐྱེ་མཆེད་བཅུ་གཉིས་ཐམས་ཅད་ལ་མ་ཆགས་མི་ཐོགས། ||| “Lokadhara, thus skilled in the twelve sense sources, bodhisattva great beings do not become attached to or hindered by any of the twelve sense sources.
སྐྱེ་མཆེད་རྣམས་ཤེས་པར་བྱ་བ་དང་། མཐོང་བར་བྱ་བ་ལ་ཡང་རྟོག་ལ་ ||| They contemplate the sense sources as something to be known and understood.
སྐྱེ་མཆེད་རྣམས་རྣམ་པར་འབྱེད་པ་ལ་ཡང་མཁས་པས་རྐྱེན་མང་པོ་ལས་སྐྱེས་པའི་ཆོས་ཀྱི་སྐྱེ་མཆེད་བཅུ་གཉིས་ཁོང་དུ་ཆུད་ཅིང་རྟོགས་པ་དང་། མཚན་མ་མེད་པས་སྐྱེ་མཆེད་བཅུ་གཉིས་ཀྱི་མཚན་མ་འཇིག་པ་དང་། སྐྱེ་མཆེད་རྣམས་རྟེན་པའི་ལམ་གྱི་རྗེས་སུ་མི་གནས་པ་དང་། སྐྱེ་མཆེད་རྣམས་ཀྱི་མཚན་ཉིད་མེད་པར་ཤེས་པ་དང་། མཚན་ཉིད་རྣམས་ཀྱི་སྦྱོར་བའི་ཐབས་ཀྱི་མཐའ་དག་ཀྱང་ཤེས་ཤིང་རྟོགས་སོ། ། ||| Skilled in discerning the sense sources, they understand and realize that the twelve sense sources are born from many conditions. Because of the absence of marks, they know how to do away with the marks of the twelve sense sources, how to not follow the path that involves the sense sources, and how the sense sources are devoid of marks. They also know and understand the entirety of methods related to the practice of their characteristics.
འཇིག་རྟེན་འཛིན་འདི་ལྟ་སྟེ། ||| Lokadhara, it is like this:
སྒྱུ་མ་མཁན་གྱིས་སྒྱུ་མ་བྱས་པའི་འཁྲུལ་འཁོར་ལས་ཕྱོགས་བཞི་ནས་ཆུ་འབབ་པ་ལྟར་སྐྱེ་མཆེད་བཅུ་གཉིས་ཀྱང་དེ་བཞིན་དུ་ཕྱི་ནང་གི་རྟེན་ཅིང་འབྲེལ་བ་ལས་བྱ་བ་ཀུན་བྱེད་པར་གྱུར་ཏེ ||| just as water can fall from the four sides of a device conjured by an illusionist, so can the twelve sense sources perform all sorts of functions through inner and outer dependent origination. Yet
