༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
འདི་ལྟ་སྟེ། ལས་ཀྱི་འབྲས་བུ་རྨི་ལམ་ལྟ་བུར་ཆུད་མི་ཟ་བའོ། ||| It is knowing that the results of karma do not dissipate like a dream.
།དེ་ལ་ཆོས་མཐོང་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is insight into phenomena?
ཆོས་ཐམས་ཅད་མི་མཐོང་བའོ། ||| It is not seeing phenomena.
།དེ་ལ་ལམ་བསྒོམ་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the meditation of the path?
ཆོས་ཐམས་ཅད་མི་དམིགས་པར་སྒོམ་པའོ། ||| It is meditation on the nonperception of all phenomena.
།དེ་ལ་དེ་བཞིན་གཤེགས་པ་དང་ཕྲད་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is meeting the tathāgatas?
སངས་རྒྱས་ཐམས་ཅད་ཀྱི་བསླབ་པ་སྒྲུབ་པའོ། ||| It is practicing the training of all the buddhas.
།དེ་ལ་ཤེས་རབ་རྣོ་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is sharp wisdom?
ཆོས་ཐམས་ཅད་སྐྱེ་བ་མེད་པར་བཟོད་པའོ། ||| It is the patience of the birthlessness of phenomena.
།དེ་ལ་སེམས་ཅན་གྱི་རྗེས་སུ་འཇུག་པ་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། དབང་པོ་མཆོག་དང་མཆོག་མ་ཡིན་པ་ཤེས་པའི་ཡེ་ཤེས་སོ། ||| “What is penetrating into beings? It is knowing the higher and the lower faculties.
།དེ་ལ་ཆོས་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is knowledge of phenomena?
ཆོས་ཐམས་ཅད་མི་དམིགས་པའོ། ||| It is the nonperception of phenomena.
།དེ་ལ་སོ་སོ་ཡང་དག་པར་རིག་པ་ལ་འཇུག་པ་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the knowledge of engaging in discernment?
ཆོས་ཀྱི་ཚུལ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རྟོག་པའོ། ||| It is engaging in the true nature of phenomena.
།དེ་ལ་ཡི་གེ་རབ་ཏུ་དབྱེ་བ་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the knowledge of the different kinds of letters and words?
གསང་སྔགས་གསུམ་སྦྱོར་བར་ཤེས་པ་དང་། རྣམ་པ་དང་རྣམ་པ་མ་ཡིན་པ་ཤེས་པའོ། ||| It is the knowledge of engaging with the three mantras, and knowing what is the form and what is not the form of words.
།དེ་ལ་དངོས་པོ་ལས་ཡང་དག་པར་འདའ་བ་ཤེས་པ་གང་ཞེ་ན། ||| “What is the transcendence of matter?
འདི་ལྟ་སྟེ། དངོས་པོ་མེད་པར་རྟོགས་པའོ། ||| It is the understanding of immateriality.
།དེ་ལ་དབྱངས་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། བྲག་ཅ་ལྟ་བུར་ཤེས་པའོ། ||| “What is the understanding of sounds? It is knowing them to be like echoes. Young man, that is the understanding of sounds.
།དེ་ལ་མཆོག་ཏུ་དགའ་བ་འཐོབ་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the attainment of joy?
ཆོས་ཐམས་ཅད་མི་དམིགས་ཤིང་། འབྱུང་བ་དང་སྡུག་བསྔལ་སྤངས་པ་དང་། ཁུར་བོར་བའོ། ||| It is the nonperception of all phenomena, the ending of the suffering that arises from saṃsāra, and putting down one’s burden.
།དེ་ལ་ཆོས་ཀྱི་དགའ་བ་མྱོང་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is experiencing the joy of the Dharma?
གདམས་པར་བྱ་བ་དང་། མགུ་བར་བྱ་བ་མི་གཏོང་བ་དང་། རང་གི་ཐེག་པའི་ལེགས་པ་མཐོང་བའོ། ||| It is never abandoning teaching, pleasing, and seeing the excellence of one’s yāna.
།དེ་ལ་གནས་པ་པོ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is abiding?
འཕགས་པའི་བདེན་པ་རྟོགས་པའོ། ||| It is the realization of the truths of the noble ones.
།དེ་ལ་དྲང་པོ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is sincerity?
སྤྱོད་ལམ་བཅོས་པ་མེད་པའོ། ||| It is uncontrived conduct.
།དེ་ལ་བཞིན་ཁྲོ་གཉེར་མེད་པ་གང་ཞེ་ན། ||| “What is no longer having frowns?
འདི་ལྟ་སྟེ། ཞེ་སྡང་མེད་པའོ། ||| It is being without anger.
།དེ་ལ་དགེ་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། འགྲོགས་ན་བདེ་བའོ། ||| “What is being pleasant? It is being good company.
།དེ་ལ་མཉེན་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ཕ་རོལ་ལ་ཕན་པའི་དངོས་པོའོ། ||| “What is being gentle? It is being beneficial to others.
།དེ་ལ་གསོང་པོར་སྨྲ་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ཚུར་ཤོག་ལེགས་པར་འོངས་སོ། ||| “What is being courteous?
།ཞེས་བྱས་པ་དང་མྱུར་དུ་ལྡང་བའོ། ||| It is being welcoming and standing up quickly.
།དེ་ལ་བླ་མ་ལ་གུས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is having veneration for the guru?
བླ་མ་ལ་འཇིགས་ཤིང་དགེ་བའི་བཤེས་གཉེན་དུ་འདུ་ཤེས་པའོ། ||| It is being fearful of the guru and perceiving the guru as the kalyāṇamitra.
།དེ་ལ་བླ་མ་ལ་སྲི་ཞུ་བྱེད་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is respect for the guru?
བླ་མ་ལ་རིམ་གྲོ་དང་གཡོག་བྱ་བའོ། ||| It is honoring and serving the guru.
།དེ་ལ་སྐྱེ་བས་ཆོག་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is being content with occurences?
སྐྱེ་བ་ཐམས་ཅད་ལ་ཆགས་པ་མེད་པའོ། ||| It is having no attachment to anything that occurs.
།དེ་ལ་དཀར་པོའི་ཆོས་ཀྱིས་མི་ངོམས་པ་གང་ཞེ་ན། ||| “What is never being satisfied with the good actions one has done?
འདི་ལྟ་སྟེ། དཀར་པོའི་ཆོས་ཐམས་ཅད་ཡོངས་སུ་ཚོལ་ཞིང་དགེ་བ་གང་ཡིན་ཞེས་ཚོལ་བའོ། ||| It is pursuing every kind of good action and seeking for any good action.
།དེ་ལ་འཚོ་བ་ཡོངས་སུ་དག་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is having a pure livelihood?
ངན་ངོན་གྱིས་ཆོག་ཤེས་པ་དང་། ཚུལ་འཆོས་པ་མེད་པ་དང་། ཁ་གསག་མེད་པ་དང་། ཐོབ་ཀྱིས་འཇལ་བ་མེད་པ་དང་། རྙེད་པས་རྙེད་པ་ལ་འདོད་པ་མེད་པའོ། ||| It is being satisfied with anything, using no trickery, no flattery, not being covetous, and not having the desire to acquire.
།དེ་ལ་དགོན་པར་གནས་པ་མི་གཏོང་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is not forsaking the solitary life? It is not abandoning dedication to good actions and delighting in residing in a remote place;
དགེ་བའི་ཆོས་རྣམས་ལ་བརྩོན་པ་མི་འདོར་ཞིང་བས་མཐའི་གནས་མལ་ལ་མངོན་པར་དགའ་བ་དང་། ནགས་སྟུག་པོ་དང་། གཅོང་རོང་དང་། ཕུག་དང་སྨན་ཤོང་དུ་མངོན་པར་དགའ་བ་དང་། ཆོས་ཀྱི་དགའ་བ་མྱོང་བར་བྱེད་པ་དང་། ཁྱིམ་པ་དང་རབ་ཏུ་བྱུང་བ་རྣམས་དང་མི་འདྲི་བ་དང་། རྙེད་པ་དང་། བཀུར་སྟི་དང་། ཚིགས་སུ་བཅད་པ་ལ་མ་ཆགས་པ་དང་། སྲེད་པ་སྤོང་བ་དང་། བསམ་གཏན་གྱི་དགའ་བ་མྱོང་བ་སྟེ། ||| delighting in dense forests, inaccessible mountain sites, and the interior of caves; experiencing the joy of the Dharma; not mixing laypeople and renunciants; not having attachment to gain, honors, or praise; rejecting craving; and experiencing the joy of dhyāna.
འདི་ནི་དགོན་པ་ལ་གནས་པ་མི་གཏོང་བ་ཞེས་བྱའོ། ||| That is not forsaking the solitary life.
།དེ་ལ་ས་ལ་གནས་པ་ཤེས་པ་གང་ཞེ་ན། ||| “What is the knowledge of successive levels?
འདི་ལྟ་སྟེ། ཉན་ཐོས་ཀྱི་འབྲས་བུ་རྣམ་པར་གཞག་པ་ཤེས་པ་དང་། རང་སངས་རྒྱས་ཀྱི་ས་རྣམ་པར་གཞག་པ་ཤེས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའི་ས་རྣམ་པར་གཞག་པ་ཤེས་པའོ། ||| It is the knowledge of the distinctive result of the śrāvaka, knowledge of the distinctive level of the pratyekabuddha, and knowledge of the distinctive level of the bodhisattva.
།དེ་ལ་དྲན་པ་མི་ཉམས་པ་གང་ཞེ་ན། ||| “What is always maintaining mindfulness?
འདི་ལྟ་སྟེ། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡིད་ལ་བྱེད་པའོ། ||| It is being attentive to impermanence, suffering, emptiness, and the absence of self.
།དེ་ལ་ཕུང་པོ་ལ་མཁས་པའི་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is being wise concerning the skandhas, wise concerning the dhātus, and wise concerning the āyatanas?
ཕུང་པོ་དང་ཁམས་དང་སྐྱེ་མཆེད་རབ་ཏུ་དབྱེ་བ་ཡང་ཤེས་ཤིང་དེ་ལ་མི་དམིགས་པའོ། ||| It is having the knowledge of the categories of the skandhas, dhātus, and āyatanas, but having no perception of them.
