༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
།བྱང་ཆུབ་སེམས་དཔའ་ངན་སོང་སེལ་གྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་སངས་རྒྱས་ཀྱི་ཞིང་གང་དུ་སུག་པ་བཞག་མ་ཐག་ཏུ་ངན་སོང་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་འགྱུར་ཏེ། དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Apāyavidhama said, “Blessed One, when bodhisattvas set foot in a buddha realm and all its lower abodes are instantly pacified, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་མཐོང་བ་ཙམ་གྱིས་སེམས་ཅན་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་བ་དང་། མིང་ཐོས་པས་ཀྱང་འཇིགས་པ་ཐམས་ཅད་ལས་ཡོངས་སུ་ཐར་བར་འགྱུར་ཏེ། དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Avalokiteśvara said, “Blessed One, when the mere sight of a bodhisattva causes sentient beings to firmly set out on the path to awakening, or when they need only hear the name of a bodhisattva to be freed from all their fears, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་མཐུ་ཆེན་ཐོབ་ཀྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་གོམ་པ་འདོར་ཞིང་མཆི་བ་ན་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོ་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་བདུད་ཀྱི་ཁམས་ཐམས་ཅད་རབ་ཏུ་གཡོ་བར་འགྱུར་ཏེ། དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Mahāsthāma­prāpta said, “Whenever bodhisattvas step on the ground or walk, and all the māras’ worlds in the trichiliocosm are shaken, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་ཀུན་ཏུ་མི་སྐྱོ་བས་གསོལ་པ། བཅོམ་ལྡན་འདས་གལ་ཏེ་བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཉིན་ཞག་གཅིག་ཏུ་འགྱུར་ལ། ||| The bodhisattva Aparikheda said, “Blessed One, imagine that as many eons as there are grains of sand in the river Ganges constituted one single day.
དེ་ཉིན་ཞག་ཏུ་བགྲང་བ་དེ་ལྟ་བུའི་ཚུལ་གྱིས་ཞག་བཅྭ་ལྔ་ལ་ཟླ་བ་ཕྱེད། ཞག་སུམ་ཅུ་ལ་ཟླ་བ་གཅིག །ཟླ་བ་བཅུ་གཉིས་ལ་ལོ་གཅིག་པའི་ལོ་བྱེ་བ་བརྒྱ་སྟོང་ལ་སངས་རྒྱས་གཅིག་བྱུང་ནས་མཉེས་པར་བྱེད་དེ། ||| Fifteen of these days make a fortnight, thirty days make a month, and twelve such months make a year.
རྣམ་གྲངས་འདི་ལྟ་བུས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ན་ཚངས་པ་སྤྱོད་པ་སྤྱད་ནས་ཕྱིས་ལུང་བསྟན་ཀྱང་ཡོངས་སུ་མི་སྐྱོ་བ་སྟེ། དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| If bodhisattvas serve a buddha who appears for one trillion such years, untiringly observing pure conduct in as many buddha realms as there are grains of sand in the river Ganges before finally receiving the prophecy, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་དེད་དཔོན་བཟང་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ལམ་ངན་པར་ཞུགས་པའི་སེམས་ཅན་ལམ་ངན་པར་ཞུགས་པ་རྣམས་ལ་ལམ་བཟང་པོ་ལ་དགོད་པའི་སླད་དུ་སྙིང་རྗེ་ཆེན་པོ་བསྐྱེད་ཅིང་དེ་ལ་ལན་རེ་བ་མ་མཆིས་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The bodhisattva Susārthavāha said, “Blessed One, when bodhisattvas see beings stuck on the wrong path and generate the great compassion of wishing to lead them on the right path without hoping for any reward, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་རི་རབ་ཆེན་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ཆོས་ཐམས་ཅད་རི་རབ་དང་མཚུངས་ཤིང་རྣམ་པར་མི་རྟོག་པར་རབ་ཏུ་འཚལ་བ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The bodhisattva Sumeru said, “Blessed One, when bodhisattvas nonconceptually know all phenomena, equal to Mount Meru, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་མཐུ་བོ་ཆེས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ཉོན་མོངས་པ་ཐམས་ཅད་ཀྱིས་མི་ཆོམ་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The bodhisattva Nārāyaṇa said, “Blessed One, when bodhisattvas are not overwhelmed by any emotional defilement, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཀྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་སེམས་ཀྱི་ཆོས་ཐམས་ཅད་ལ་སེམས་ཀྱང་དེ་ལ་མ་རྨས་ཤིང་མ་ཉམས་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The bodhisattva Citta said, “Blessed One, when bodhisattvas can accommodate all mental phenomena in their minds without being harmed or impaired by them, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་སེང་གེའི་འགྲོས་སུ་འགྲོ་བས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ཆོས་ཟབ་མོ་ལ་བཟོད་ཅིང་མི་འཇིགས་མི་སྐྲག་སྟེ། ཕ་རོལ་གྱི་མུ་སྟེགས་ཅན་ཐམས་ཅད་སྐྲག་པར་བགྱིད་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The bodhisattva Siṃhavikrāntagāmin said, “Blessed One, when bodhisattvas can bear the profound Dharma without being afraid or scared, so that they are dreaded by the non-Buddhists, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་བསམ་གྱིས་མི་ཁྱབ་པས་གསོལ་པ། བཅོམ་ལྡན་འདས་གང་སེམས་ལས་བསམ་གྱིས་མི་ཁྱབ་པར་འཇུག་ཅིང་མི་སེམས་རྣམ་པར་མི་སེམས་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The bodhisattva Acintya said, “Blessed One, when they relate to the inconceivability of mind without thought, and without ever producing thoughts, they are called bodhisattvas.”
ལྷའི་བུ་མཚམས་བཟང་གིས་གསོལ་པ། གང་ལྷའི་གནས་ཐམས་ཅད་དུ་ཡང་སྐྱེ་ལ་ཅི་ལའང་ཆགས་པར་མི་བགྱིད། འདོད་ཆགས་དང་བྲལ་བའི་ཆོས་ཉིད་ཀྱང་ཁོང་དུ་ཆུད་པར་མི་བགྱིད་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| The god Susīma said, “When they are free from attachment, no matter which divine paradise they may be born in, and when they do not engage with the nature of nonattachment as something to understand, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་བདེན་པར་སྨྲ་བས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་གི་ངག་བདེན་པའི་རྗེས་སུ་འཇུག་ཅིང་རྨི་ལམ་ན་ཡང་བརྫུན་གྱི་ཚིག་མི་སྨྲ་བ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Satyavādin said, “Blessed One, when bodhisattvas always abide by the truth and never lie, even in dreams, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་མཐོང་ན་དགའ་བས་གསོལ་པ། གང་གཟུགས་ཐམས་ཅད་སངས་རྒྱས་ཀྱི་གཟུགས་སུ་མཐོང་བ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Priyadarśana said, “When they see all forms as the physical form of the buddha, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་རྟག་ཏུ་སྙིང་བརྩེ་བས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་འཁོར་བར་ཞུགས་པའི་སེམས་ཅན་སྡུག་བསྔལ་བ་རྣམས་མཐོང་ནས་ཆོས་ལ་དགའ་བ་མ་གཏོགས་པ་དང་། སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བགྱི་བ་མ་གཏོགས་པར་དགའ་བ་ཐམས་ཅད་ལ་དགའ་བར་མི་བགྱིད་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Nityakṛpa said, “Blessed One, when bodhisattvas behold the sufferings of beings who live in saṃsāra, and thereby feel no happiness in any pleasure other than the joy of the Dharma and the joy of maturing beings, they are called bodhisattvas.”
།བྱང་ཆུབ་སེམས་དཔའ་ཐོགས་པ་མེད་ཀྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ཉོན་མོངས་པ་ཐམས་ཅད་དང་། བདུད་ཐམས་ཅད་ལ་ཡང་ཐོགས་པ་མ་མཆིས་པར་འགྱུར་བ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Apratihatacitta said, “Blessed One, when no emotional defilements and no māras hamper them, they are called bodhisattvas.”
