༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
ཆུ་སྨད་ལ་སྐྱེས་པ་ནི་རིགས་བཙུན་ཞིང་དབང་ཕྱུག་དང་ལྡན་པར་འགྱུར་རོ། ། ||| A person born under Uttarāṣāḍhā will be of high descent and a lord of votaries.
བྱི་བཞིན་ལ་སྐྱེས་པ་ནི་གྲགས་པ་དང་ལྡན་པའི་སྐྱེས་བུར་འགྱུར་རོ། ། ||| A person born under Abhijit will be a famous person.
གྲོ་བཞིན་ལ་སྐྱེས་པ་ནི་རྒྱལ་པོས་མཆོད་པར་འགྱུར་རོ། ། ||| A person born under Śravaṇā {M.62} will be honored by the king.
མོན་གྲེ་ལ་སྐྱེས་པ་ནི་རིག་པ་ཆུང་བར་འགྱུར་རོ། ། ||| A person born under Dhaniṣṭhā will be wealthy and rich.
མོན་གྲུ་ལ་སྐྱེས་པ་ནི་ཕྲེང་རྒྱུད་མཁན་དུ་འགྱུར་རོ། ། ||| A person born under Śatabhiṣā will be a mūlika.
ཁྲུམས་སྟོད་ལ་སྐྱེས་པ་ནི་ཆོམ་རྐུན་པའི་སྡེ་དཔོན་དུ་འགྱུར་རོ། ། ||| A person born under Pūrvabhādrapadā will be a leader of robbers.
ཁྲུམས་སྨད་ལ་སྐྱེས་པ་ནི་དྲི་ཞིམ་པར་འགྱུར་རོ། ། ||| A person born under Uttarabhādrapadā will have a pleasant fragrance and will be a musician.
ནམ་གྲུ་ལ་སྐྱེས་པ་ནི་གྲུ་པར་འགྱུར་རོ། ། ||| A person born under Revatī will be a boatman.
ཐ་སྐར་ལ་སྐྱེས་པ་ནི་རྟ་འཚོང་བར་འགྱུར་རོ། ། ||| A person born under Aśvinī will trade in horses.
བྲ་ཉེ་ལ་སྐྱེས་པ་ནི་ཤེན་པར་འགྱུར་རོ། ། ||| A person born under Bharaṇī will be an executioner.
ཀྱེ་པད་མའི་སྙིང་པོ་དེ་ནི་རྒྱུ་སྐར་ལུང་བསྟན་པའི་ལེའུ་ཡིན་ནོ། ། ||| “ ‘This, dear Puṣkarasārin, is the lecture on prognostication on the basis of the asterisms.’
ཀྱེ་ཏྲེ་ཤང་ཀུ་རྒྱུ་སྐར་ངེས་པར་བསྟན་པའི་ལེའུ་བཀླགས་ན་ཤོད་ཅིག ། ||| “ ‘Now, dear Triśaṅku, please deliver the lecture on predictions on the basis of the asterisms.’
པད་མའི་སྙིང་པོ་གཞན་ཡང་རྒྱུ་སྐར་ངེས་པར་བསྟན་པ་ཞེས་བྱ་བའི་ལེའུ་བསྟན་པར་བྱ་ཡིས་དེ་ཉོན་ཅིག ། ||| “ ‘Well then, dear Puṣkarasārin, let me set forth the lecture on predictions on the basis of the asterisms. Please listen.
སྨིན་དྲུག་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་དེ་ནི་དཔལ་འབར་ཞིང་རིན་པོ་ཆེའི་འོད་ཀྱིས་གསལ་བ་ཉིད་དུ་ངེས་པར་བསྟན་ཏོ། ། ||| “ ‘When it is founded under Kṛttikā, A city will blaze with splendor, And one may predict that the city Will be ablaze with abundant jewels.
སྣར་མ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་རྣམ་པར་སྟོན་ཅིང་ཆོས་དང་ལྡན་པའི་སྐྱེ་བོས་གང་བར་འགྱུར་ཞིང་ནོར་མང་པོ་སོགས་ལ་རང་བཞིན་གྱི་རིག་པ་དང་ལྡན་པ་ལ་རང་གི་ཆུང་མས་ཆོག་ཤེས་པར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Rohiṇī, One may predict that the city Will have people who are righteous And in possession of abundant wealth.
མགོ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་དཔལ་དང་ལྡན་ཞིང་བ་ལང་དང་། ||| Naturally endowed with knowledge, They will be content with their spouses.
ནོར་དང་། ཕྲེང་བ་དང་། ལོངས་སྤྱོད་དང་ལྡན་ལ་ཁྱུ་མཆོག་གིས་གང་བར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Mṛgaśirā, It will be filled with women, cows, and riches And with garlands and enjoyments, And it will be attended by marvels.
ལག་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་བཟའ་བ་དང་། བཅའ་བ་མང་པོ་དང་ལྡན་པར་འགྱུར་ཞིང་རྨོངས་པའི་རང་བཞིན་གྱིས་གང་བར་འགྱུར་རོ། ། ||| {M.63} “ ‘When it is founded under Ārdrā, A city will have fish and meat And riches to partake of and enjoy, But it will have cruel people who are stupid by nature.
ནམ་སོ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་དཔལ་འབར་ཞིང་ནོར་དང་འབྲུ་མང་པོ་དང་ལྡན་པར་འགྱུར་ཞིང་ཕྱིས་ནི་འཇིག་པར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Punarvasu, A city will shine forth with splendor, But after having abundant riches and grains, It will fall into complete ruin.
རྒྱལ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ཡང་དཔལ་དང་ལྡན་ཞིང་སྐྱེ་བོ་མི་བཟད་པ་ཡང་སེམས་ཞི་བར་འགྱུར་ལ། ||| “ ‘When it is founded under splendid Puṣya, Wretched people will settle there, And, being in possession of splendor, They will be very righteous and have long lives.
སྐྱེ་བོ་དམ་པ་མང་ཞིང་ཆོས་དང་ལྡན་ལ་དེར་ཚེ་རིང་བ་དང་། མི་གཟི་བརྗིད་དང་ལྡན་ལ་དེར་ཕྱིས་ནི་འབྲུའི་བཅུད་ཐམས་ཅད་ནུབ་པར་འགྱུར་རོ། ། ||| “ ‘They will possess radiance, a long lifespan, And riches, grains, and flavors, And there the trees flourish quickly, Over and over again.
སྐག་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་བསོད་ནམས་ཆུང་ཞིང་ཐབ་མོ་ལ་དགའ་ལ་སྐལ་བ་དམན་ཞིང་ཚུལ་ཁྲིམས་དང་། སྡུག་བསྔལ་དང་བཅས་པ་དང་། ||| “ ‘When it is founded under Aśleṣā, Lowly people will live there, Unfortunate and fond of strife, Of poor conduct and unhappy.
ཤིན་དུ་སྐལ་བ་དམན་ཞིང་སྐྱེ་བོ་མ་དུལ་བས་གང་བར་འགྱུར་རོ། །མཆུ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་གང་ཡིན་པ་དེ་ནི་རིག་པ་དང་། ནོར་ཆེ་བ་དང་། རང་གི་ཆུང་མས་ཆོག་ཤེས་པ་སྐྱེས་བུ་མཆོག་ཏུ་རྣམ་པར་རྒྱལ་བར་གནས་པར་འདོད་དོ། ། ||| “ ‘When it is founded under Maghā, People born there will be knowledgeable, Very rich, contented with their spouses, And very enterprising and bold.
གྲེ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་བུད་མེད་དང་། ཕྲེང་བ་དང་། ཟས་དང་། གོས་བཟང་པོ་དང་། ||| {M.64} “ ‘When it is founded under Pūrvaphalgunī, A city will have women, garlands, Foods and garments, all very agreeable, As well as fragrant grains.
བ་ལང་དང་། ནོར་དང་ལྡན་པར་འགྱུར་རོ། །དབོ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ནོར་དང་། འབྲུ་དང་ལྡན་ཞིང་སྐྱེས་བུ་དང་། བུད་མེད་རྨོངས་པས་གང་བར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Uttaraphalgunī, A city will have grains and riches, But the foolish people there Will be ruled over by the women.
མེ་བཞི་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་རིག་པ་དང་ལྡན་ཞིང་ནོར་མང་ལ་ཕན་ཚུན་གཅུགས་ཤིང་མལ་སྟན་དང་ལྡན་པར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Hastā, People will be knowledgeable and very rich, They will take delight in one another, And there will be sleeping places in city.
ནག་པ་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་བུད་མེད་དང་། སྐྱེས་བུ་ཐམས་ཅད་དཔལ་དང་ལྡན་ཞིང་ཕྱིས་གྲོང་ཁྱེར་མེས་ཚིག་པར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Citrā, All people will be ruled over by the women, And one may predict that the city Will be splendid, beautiful, and blazing.
ས་རི་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ནོར་མང་པོ་ཚོགས་ཤིང་བརྐམ་ཆགས་དང་། ཞེ་སྡང་དང་ལྡན་ཞིང་རྨོངས་པ་མང་བར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Svātī, People will accumulate abundant wealth, And the covetous, cruel, and foolish Will be abundant in that city.
ས་ག་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་དཔལ་གྱིས་འབར་ཞིང་མཆོད་སྦྱིན་བྱེད་པ་དང་། བསྟན་བཅོས་ལ་མཁས་པ་སྡུག་པར་འགྱུར་ཞིང་ཕྱིས་དེར་འབྲུ་དང་། བཅུད་མེས་བསྲེགས་ནས་འཇིག་པར་འགྱུར་རོ། །ལྷ་མཚམས་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ཆོས་དང་། ||| “ ‘When it is founded under Viśākhā, A city will blaze with splendor, Filled with people making offerings, But it will come to an end through arms.
ཚུལ་ཁྲིམས་ཀྱིས་དབང་པོ་ལས་རྒྱལ་ཞིང་རང་གི་ཆུང་མས་ཆོག་ཤེས་ལ་སྐྱེས་བུ་རྣམས་ལ་བཟླས་པ་དང་། ||| “ ‘When it is founded under Anurādhā, People will be of righteous conduct, their senses in check.
སྦྱིན་སྲེག་གིས་ཕ་རོལ་དོན་དུ་གཉེར་བར་འགྱུར་རོ། ། ||| They will be content with their spouses And bent on prayers and oblations.
སྣྲོན་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་རིན་པོ་ཆེ་དང་། འབྲུ་རྣམས་དང་ལྡན་ཞིང་རྟག་ཏུ་རིག་བྱེད་དང་ལྡན་པས་གང་བར་འགྱུར་རོ། ། ||| {M.65} “ ‘When it is founded under Jyeṣṭhā, It will be full of people who possess many jewels And riches and who know the Vedas, And it will flourish perpetually.
སྣྲུམས་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ནོར་དང་འབྲུ་སོགས་ཤིང་ཚུལ་ཁྲིམས་འཆལ་པའི་སྐྱེ་བོས་གང་ཞིང་ཕྱིས་ནི་སས་འཇིག་པར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Mūlā, A city will be endowed with grains and riches But crowded with people of poor conduct, And it will fall into ruin and turn to dust.
ཆུ་སྟོད་ལས་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ནོར་གྱི་སྐལ་བ་དང་ལྡན་ཞིང་བརྐམ་ཆགས་དང་། ཞེ་སྡང་ཆེ་ལ་རྨོངས་ཤིང་མ་དུལ་བའི་སྐྱེ་བོས་གང་བར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Pūrvāṣāḍhā, A city will enjoy riches and grains, But the lowly people who live there Will be covetous, cruel, and foolish.
ཆུ་སྨད་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ནོར་དང་། འབྲུ་མང་ཞིང་རང་བཞིན་གྱིས་རིག་པ་ཕུན་སུམ་ཚོགས་པ་དང་ལྡན་ལ་སྐྱེ་བོ་རྩོད་པ་ལ་དགའ་བར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Uttarāṣāḍhā, People will accumulate riches and grains, They will be naturally endowed with knowledge, And they will be fond of discussion and strife. “ ‘When it is founded under Abhijit, All the people in that city Will always be glad and cheerful, And they will be loving toward one another.
གྲོ་བཞིན་ལ་ངེས་པར་བརྩམས་པའི་གྲོང་ཁྱེར་ནི་ནོར་དང་འབྲུ་སྟེན་ཅིང་ནད་མེད་ལ་སྐྱེ་བོ་འབྲེལ་བའི་བསྟན་བཅོས་ལ་མཁས་ཤིང་གོམས་པར་འགྱུར་རོ། ། ||| “ ‘When it is founded under Śravaṇā, The city will be endowed with grains and riches, And one may predict that it will be inhabited Mostly by people who are healthy.
