སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
བཅོམ་ལྡན་འདས་ཅིའི་རྒྱུ་ཅིའི་རྐྱེན་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་དགའ་ལྡན་གྱི་ཕོ་བྲང་དམ་པ་ནས་ཤི་འཕོ་སྟོན་པ་ནས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོའི་བར་དུ་སྟོན་པ་ལགས། ||| “Blessed One, what causes and conditions make bodhisattvas display all these events, right from their display of death within the fine palace of the Heaven of Joy through to passing into the great transcendence of suffering?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ ||| “Noble son,” explained the Blessed One,
དགའ་ལྡན་གྱི་ཕོ་བྲང་དམ་པ་ན་སེམས་ཅན་གང་དག་རྟག་པར་འདུ་ཤེས་པ་ཡོད་པ་ ||| “within the perfect palace of the Heaven of Joy there are beings who have notions of permanence.
དེ་དག་གིས། བྱང་ཆུབ་སེམས་དཔའ་འཇིག་རྟེན་ཐམས་ཅད་ལས་ཁྱད་ཞུགས་པ། འཇིག་རྟེན་ཐམས་ཅད་ལས་མངོན་པར་འཕགས་པ། འཇིག་རྟེན་ཀུན་གྱི་ཕུལ་དུ་བྱུང་བ། མི་མཉམ་པ། འདོད་པའི་ཡོན་ཏན་རྣམས་ཀྱིས་མ་གོས་མ་ཆགས་པ་ཤི་འཕོ་བར་མཐོང་ན། ||| When those beings witness the death of a bodhisattva who is superior to, above, and greater than the entire world—someone unequaled, who is unstained by and unattached to the pleasures of the senses
རྟག་པའི་འདུ་ཤེས་ལྡོག་ཅིང་མི་རྟག་པའི་འདུ་ཤེས་འབྱུང་སྟེ། ||| —it stops their notions of permanence and instead makes them think of impermanence.
མི་རྟག་པའི་འདུ་ཤེས་ལ་གནས་པས་བག་ཡོད་པ་ལ་གནས་པར་འགྱུར་རོ། ||| Hence, with the thought of impermanence, they will be careful.
རིགས་ཀྱི་བུ་དགའ་ལྡན་གྱི་ཕོ་བྲང་དམ་པ་ན་སེམས་ཅན་གང་དག་བག་མེད་པར་སྤྱོད་པ་ཡོད་པ་ ||| “Noble son, within the perfect palace of the Heaven of Joy there are beings who act carelessly.
དེ་དག་བྱང་ཆུབ་སེམས་དཔའ་ལ་དགའ་བ་ཡོད། དད་པ་ཡོད་རངས་པ་ཡོད་ཀྱང་ ||| Those beings are fond of the bodhisattva, have faith in him, and are enraptured by him.
ཡུལ་ལ་མངོན་པར་ཞེན་པས་བྱང་ཆུབ་སེམས་དཔའི་དྲུང་དུ་མི་འདོང་། མི་རྟེན་བསྙེན་བཀུར་མི་བྱེད་ཅིང་། ||| because of their attachment to objects they do not go to see the bodhisattva, they do not follow him, and they do not venerate him.
དེ་དག་ལ་འདི་སྙམ་དུ་སེམས་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་ཡང་བཞུགས་ལ། བདག་ཅག་ཀྱང་འཁོད་དེ། དུས་ཀྱང་རིང་དུ་ཡོད་ཀྱིས་ལབས་ཀྱིས་འདོང་བར་བྱའོ་སྙམ་དུ་སེམས་པ་ ||| Rather, they think, ‘The bodhisattva is here, and we are here too. There is plenty of time, so we shall go to see him later.’
དེ་དག་གི་བག་མེད་པ་བཟློག་པའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་ཤི་འཕོ་སྟོན་ཏེ། ||| So that those beings may relinquish their carelessness the bodhisattva will show the way of death.
དེ་དག་གིས་བྱང་ཆུབ་སེམས་དཔའ་ཤི་འཕོ་མཐོང་ནས་སྐྱོ་བ་ལ་གནས་པར་འགྱུར་ཞིང་། དེ་དག་སྐྱོ་བར་གྱུར་ནས་བག་མེད་པ་མི་བྱེད་དེ། ||| Then, as they witness the bodhisattva’s death, they will be saddened, and with such sadness they will no longer be careless.
བག་ཡོད་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་རོ། ||| Instead, as they are then heedful, their unsurpassable and complete awakening will be certain.
རིགས་ཀྱི་བུ་སེམས་ཅན་གང་དག་སྐྱེ་བས་འདུལ་བ་ཡོད་པ་ ||| “Noble son, there are beings who must be trained by means of taking rebirth.
དེ་དག་གིས་བྱང་ཆུབ་སེམས་དཔའ་མའི་མངལ་ན་འདུག་པ་དེ་དག་གི་མཐུ་མཐོང་ན་ངོ་མཚར་རྨད་དུ་བྱུང་བར་འགྱུར་ཏེ། ||| When those beings see bodhisattvas residing within their mother’s womb they will be astonished and amazed by the bodhisattvas’ powers
དེ་དག་ཅི་ནས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་བ་དེ་ལྟ་ ||| thus their unsurpassable and complete buddhahood becomes certain.
དེ་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་མའི་མངལ་ན་འདུག་བཞིན་དུ་ཆོས་སྟོན་ཏོ། ||| In this way bodhisattvas teach the Dharma while residing within their mother’s womb.
རིགས་ཀྱི་བུ་སེམས་ཅན་གང་དག་བྱང་ཆུབ་སེམས་དཔའ་བཙས་པ་དང་། བྱིས་པའི་སྤྱོད་པ་དང་། སླས་ཀྱི་ནང་ན་འདུག་པས་ཡོངས་སུ་སྨིན་པར་བྱ་བ་ཡོད་པ་ ||| “Noble son, there are beings to be trained through the context of being born, growing up, and frolicking within the harem.
དེ་དག་ཡོངས་སུ་སྨིན་པར་བྱ་བ་དང་། དམན་པ་ལ་མོས་པའི་སེམས་ཅན་རྣམས་བསྲུང་བའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་བཙས་པ་དང་། བྱིས་པའི་སྤྱོད་པ་དང་། སླས་ཀྱི་ནང་ན་འདུག་པ་སྟོན་ཏོ། ||| In order to ripen such beings, and to protect those who are fond of the lowly, bodhisattvas demonstrate being born, growing up, and frolicking within the harem.
རིགས་ཀྱི་བུ་སེམས་ཅན་གང་དག་བྱང་ཆུབ་སེམས་དཔའ་མངོན་པར་འབྱུང་བ་དང་། ||| “Noble son, there are beings to be trained by means of bodhisattvas renouncing everything and going forth.
རབ་ཏུ་འབྱུང་བས་ཡོངས་སུ་སྨིན་པར་བྱ་བ་ཡོད་པ་དེ་དག་ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་མངོན་པར་འབྱུང་བ་སྟོན་ཅིང་རབ་ཏུ་འབྱུང་ངོ་། ||| For the sake of such beings the bodhisattvas demonstrate renunciation and going forth.
རིགས་ཀྱི་བུ་སེམས་ཅན་གང་དག་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་ལ་སོགས་པ་སྤྱོད་པ་དམན་པ་ལ་མོས་པ། ||| “Noble son, there are beings such as gods, nāgas, yakṣas, gandharvas, and demigods who are fond of inferior types of conduct.
བྱང་ཆུབ་སེམས་དཔའ་དཀའ་བའི་སྤྱོད་པས་ཡོངས་སུ་སྨིན་པར་བྱ་བ་ཡོད་པ། ||| Such beings must be ripened by the bodhisattvas’ practice of austerities.
དེ་དག་ཡོངས་སུ་སྨིན་པར་བྱ་བ་དང་། མུ་སྟེགས་ཅན་གཞན་ཚར་གཅད་པའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་དཀའ་བ་སྤྱོད་པ་སྟོན་ཏོ། ||| Thus, to ripen such beings and in order to defeat non-Buddhists, bodhisattvas demonstrate the practice of austerities.
རིགས་ཀྱི་བུ་སེམས་ཅན་གང་དག་གིས་ཡུན་རིང་པོ་ནས་བདག་ཅག་གིས་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བའི་ཚེ་མཆོད་པའི་ལས་ལ་བརྩོན་པར་བྱའོ་ཞེས་སྨོན་ལམ་བཏབ་པ་ཡོད་པ་ ||| “Noble son, there are beings who for long carry the aspiration, ‘Whenever a bodhisattva goes to the seat of awakening, I shall be there to diligently worship him.’
དེ་དག་ལ་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བ་སྟོན་ལ། ||| For them bodhisattvas will demonstrate going to the seat of awakening.
དེ་དག་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་འགྲོ་བ་ལ་སོ་སོའི་ཚུལ་བཞིན་དུ་མཆོད་པ་བྱེད་དེ། ||| Such beings will then worship the proceeding bodhisattvas each in their own way.
དེ་དག་གིས་བྱང་ཆུབ་སེམས་དཔའ་ལ་མཆོད་པ་བྱས་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་རོ། ||| Due to their worship of the bodhisattvas their unsurpassable and complete awakening will be certain.
རིགས་ཀྱི་བུ་སེམས་ཅན་གང་དག་ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། དྲེགས་པས་རློམ་པ་ཡོད་དེ། ||| “Noble son, there are beings afflicted by pride, conceit, and arrogance.
དེ་དག་དེ་ལས་བཟློག་པའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་འདུག་ཅིང་བདུད་འདུལ་བ་སྟོན་ཏོ། ||| In order to cure them of such afflictions, bodhisattvas will demonstrate residing upon the seat of awakening and taming the demons.
