༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
གཞན་ཡང་རིགས་ཀྱི་བུ་སྡུག་བསྔལ་ཞེས་བྱ་བ་ནི་ངར་འཛིན་པའོ། ། ||| “Furthermore, child of good family, suffering is to cling to the notion of ‘I.’
ང་ཡིར་འཛིན་པ་དེའི་རྒྱུ་དང་བཅས་པར་གང་འབྱུང་བ་འདི་ནི་ཀུན་འབྱུང་བ་ཞེས་བྱའོ། ། ||| Its origin is the arising of clinging to ‘mine’ along with the causes of that clinging.
ནམ་དེའི་འབྱུང་བའི་ཆོས་གང་ཡང་སོ་སོར་ངེས་པ་མ་ཡིན་པར་མཐོང་བ་འདི་ནི་འགོག་པ་ཤེས་པ་ཞེས་བྱའོ། ། ||| Knowing cessation is the recognition that there are no restrictive determinations of phenomena when they arise.
གང་དེ་ལྟར་རྣམ་པར་མཐོང་ཞིང་ཚོལ་བ་འདི་ནི་ལམ་ཤེས་པ་ཞེས་བྱའོ། ། ||| Knowing the path is recognizing that and pursuing it.
གཞན་ཡང་རིགས་ཀྱི་བུ་གང་སྙེམས་པ་དེ་ནི་སྡུག་བསྔལ་བའོ། ། ||| “Furthermore, child of good family, arrogance is suffering.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
རིགས་ཀྱི་བུ་བཅོམ་ལྡན་འདས་ཀྱིས་སྙེམས་པའི་རང་བཞིན་ནི་སྡུག་བསྔལ་ལོ་ཞེས་གསུངས་སོ། ། ||| Child of good family, the Blessed One said, ‘The nature of arrogance is suffering.’
སྙེམས་པ་ནི་ཐམས་ཅད་དུ་ཡང་དག་པ་མ་ཡིན་པའོ། །དེ་བས་ན་སྙེམས་པ་ཀུན་འབྱུང་བ་ནི་སྡུག་བསྔལ་ཀུན་འབྱུང་བའོ། །སྡུག་བསྔལ་མེད་པ་ནི་འགོག་པའོ། །ཡེ་ཤེས་གང་གིས་སྙེམས་པ་དེ་ལ་མི་སྙེམས་པ་དེ་ནི་ལམ་མོ། ། ||| Arrogance is always false; therefore, the origin of arrogance is the origin of suffering, the absence of suffering is cessation, and the wisdom through which arrogance ceases to be arrogance is the path.
རིགས་ཀྱི་བུ་བདག་གིས་བསྐལ་པའམ། བསྐལ་པ་ལས་ལྷག་པར་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བདེན་པ་ཤེས་པ་བསྟན་པ་འདིའི་མཐའ་རྟོགས་པར་མི་ནུས་སོ། ། ||| “Child of good family, for an eon and more I have not been able to fully realize this teaching on knowing the truth of a bodhisattva.”
བདེན་པ་བསྟན་པ་འདི་བཤད་པ་ན་བྱང་ཆུབ་སེམས་དཔའ་དྲུག་སྟོང་གིས་བདེན་པ་ཡོངས་སུ་བསྒོམས་པ་ཕྱིར་མི་ལྡོག་པའི་ས་ཁོང་དུ་ཆུད་དོ། ། ||| When he finished explaining this teaching on truth, six thousand bodhisattvas realized the state of irreversible cultivation of the truth.
བར་སྣང་ལ་གནས་པའི་ལྷའི་བུ་མོ་སྟོང་ཕྲག་བཅུ་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་དང་བྲལ་ཞིང་དྲི་མ་མེད་པ་རྣམ་པར་དག་གོ། ། ||| For ten thousand goddesses present in the sky, dust fell away from their Dharma eye that sees phenomena, and they became stainless and pure.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྣམ་པར་གནོན་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའི་དྲན་པ་ཉེ་བར་གཞག་པ་ནི་གང་། ||| The bodhisattva great being Mativikrama then asked the bodhisattva great being Nirārambha, “Child of good family, what is the application of mindfulness?
དྲན་པ་ནི་གང་། ||| What is mindfulness?
དྲན་པའི་གནས་ནི་གང་། ||| What are the modes of mindfulness?”
དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྣམ་པར་གནོན་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ནི་ཆོས་ཐམས་ཅད་ལ་མི་སྐྱེ་བ་ཤེས་པ་དྲན་པ་ཡིན་ནོ། ། ||| The bodhisattva great being Nirārambha answered the bodhisattva great being Mativikrama, “Child of good family, for bodhisattvas, mindfulness is knowing that no phenomena arise.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ནི་མི་སྐྱེ་བ་ཤེས་པའི་སྨོན་ལམ་ཅན་ཡིན་ཏེ། ||| Bodhisattvas aspire to know the lack of arising.
དེ་དག་གི་དྲན་པ་དེ་ཡང་མི་སྐྱེ་བ་ཤེས་པས་ཡོངས་སུ་སྦྱང་བ་བྱས་པ། ||| Their mindfulness is made pure by knowing the lack of arising.
ཐམས་ཅད་དུ་མི་བསྐྱོད་པ། དྲང་བ། མི་གཡོ་བ། གཏིང་དང་འགྲམ་མི་རྟོགས་པ། ||| It is, in all situations, unwavering, direct, unmoving, and recognizes neither the depths nor the shore.
འཇིག་རྟེན་པ་དང་ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་ཤེས་པར་དཀའ་བ་སྟེ། ||| It is difficult for worldly beings, śrāvakas, and pratyekabuddhas to know.
བྱང་ཆུབ་སེམས་དཔའི་དྲན་པ་གང་གིས་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་གསུངས་པ་ཀུན་འཛིན་པའི་དྲན་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མངོན་སུམ་མོ། ། ||| The mindfulness of a bodhisattva—which is the mindfulness that fully comprehends the words of all the buddhas—is the immediate experience of the thus-gone, worthy, completely perfect Buddha.
བྱང་ཆུབ་སེམས་དཔའི་དྲན་པ་དེ་ནི་འདི་འདྲའོ། ། ||| This is what the mindfulness of a bodhisattva is like.
བྱང་ཆུབ་སེམས་དཔའི་དྲན་པ་དེའི་གནས་ནི་རྣམ་པ་བཅུ་སྟེ། ལུས་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། ཚོར་བ་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། སེམས་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། ཆོས་རྗེས་སུ་དྲན་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། དགེ་འདུན་རྗེས་སུ་དྲན་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། ཚུལ་ཁྲིམས་རྗེས་སུ་དྲན་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། གཏོང་བ་རྗེས་སུ་དྲན་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་དང་། ལྷ་རྗེས་སུ་དྲན་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་སྟེ། ||| “A bodhisattva’s mindfulness has ten modes: (1) the application of mindfulness of the body, (2) the application of mindfulness of sensations, (3) the application of mindfulness of mind, (4) the application of mindfulness of phenomena, (5) the application of mindfulness of recollecting the Buddha, (6) the application of mindfulness of recollecting the Dharma, (7) the application of mindfulness of recollecting the Saṅgha, (8) the application of mindfulness of recollecting discipline, (9) the application of mindfulness of recollecting giving, and (10) the application of mindfulness of recollecting divinities.
འདི་དག་ནི་དྲན་པ་ཉེ་བར་གཞག་པ་བཅུའོ། ། ||| These are the ten applications of mindfulness.
དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལུས་དྲན་པ་ཉེ་བར་གཞག་པ་གང་ཞེ་ན། ||| “What is the bodhisattvas’ application of mindfulness of the body?
འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་འདི་ལྟར་ལུས་འདི་ནི་སྔོན་གྱི་མཐའ་ནས་མ་འོངས། ཕྱི་མའི་མཐར་མི་འཕོ། སྔོན་གྱི་མཐའ་དང་ཕྱི་མའི་མཐའ་ལ་མི་གནས་ཏེ། ||| Bodhisattvas apply mindfulness to the body by thinking as follows: ‘This body did not come from a previous life, it does not migrate to the next life; it was not present in the previous life, and it will not be present in the next life.
གཞན་དུ་ན་ཡང་དག་པ་མ་ཡིན་པ། ཕྱིན་ཅི་ལོག་ལས་བྱུང་བ། ||| Otherwise, it would be false, and would arise from error.
བྱེད་པ་པོ་དང་ཚོར་བ་པོ་མེད་པ། ཐོག་མ་དང་ཐ་མ་དང་དབུས་མེད་པ། ||| It would be devoid of one who acts and one who feels, and it would have no beginning, no end, and no middle.
རྩ་བ་གནས་པ་མེད་པ། ||| There is no fundamental root or governing power.
བདག་པོ་མེད་པ། ང་ཡི་བ་མེད་པ། ཡོངས་སུ་འཛིན་པ་མེད་པ་སྟེ། ||| There is no “mine” and no appropriation.
ཚོགས་ཞེས་བྱ་བ་དང་། ལུས་ཞེས་བྱ་བ་དང་། ལོངས་སྤྱོད་ཅེས་བྱ་བ་དང་། གནས་ཞེས་བྱ་བ་དང་། རོ་ཞེས་བྱ་བ་དང་། སྐྱེ་མཆེད་ཅེས་བྱ་བ་ནི་གློ་བུར་གྱི་ཐ་སྙད་རྣམས་ཀྱིས་ཐ་སྙད་དུ་བཏགས་པའོ། ། ||| Notions of “collection,” “body,” “enjoyment,” “basis,” “corpse,” and “sense base” are conventional designations based on superficial conventions.
