སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
མངོན་པར་འདུ་བྱ་བ་མེད་པ་ཚད་མེད་པའོ། ། ||| Their lack of conditioned existence is boundless.
དེ་ལྟར་ན་འདོད་ཆགས་དང་བྲལ་བ་ཡང་དག་པའི་མཐའ་ཆོས་ཀྱི་དབྱིངས་རྣམ་པར་གྲོལ་བ། ||| In this way they are free of desire and liberated within the realm of phenomena, the limit of reality.
མ་སྐྱེས་པ། དབེན་པ། བྲལ་བ། མྱ་ངན་ལས་འདས་པ། ཚད་མེད་པ་སྟེ། ||| They are unborn, serene, free, beyond suffering, and boundless.
རིགས་ཀྱི་བུ་མདོར་ན་ཆོས་ཐམས་ཅད་ནི་ཚད་མེད་པའོ། ||| Son of noble family, in short, all phenomena are boundless.
དེའི་ཕྱིར་ཆོས་ཐམས་ཅད་ནི་མ་སྐྱེས་པ། མ་འགགས་པ་ཞེས་བྱའོ། ། ||| Therefore all phenomena are said to be unborn and unceasing.
གང་མི་སྐྱེ་མི་འགག་པ་དེ་ནི་ཚད་མེད་པའོ། ། ||| Whatever is unborn and unceasing is boundless.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོས་ ||| “Padmaśrīgarbha, the Blessed One, the thus-gone, worthy, completely perfect Buddha, King of the Golden-Hued Lion’s Play,
དེ་ལྟར་རྒྱལ་པོ་དཔལ་གྱི་གཟི་བརྗིད་དེ་ལ་ཚད་མེད་པའི་ཕྱག་རྒྱ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་ཚུལ་ལ་མཁས་པ་འདི་ཡང་དག་པར་རབ་ཏུ་བསྟན་ཏོ། ||| taught King Glorious Splendor perfectly how to gain expertise in the mode of Dharma known as the boundless seal
དེས་ཀྱང་ཆོས་ཚད་མེད་པ་དག་ལ་ངེས་པར་སེམས་པར་བྱས་པར་གྱུར་ཏོ། ། ||| so that he, too, could reflect on the boundless Dharma.
དེ་ནས་རྒྱལ་པོ་དཔལ་གྱི་གཟི་བརྗིད་ཀྱིས་བཅོམ་ལྡན་འདས་དེ་ལས་ཆོས་དཔག་ཏུ་མེད་པ་བསྟན་པ་འདི་ཐོས་ནས་ཚིམ་ཞིང་མགུ་སྟེ། ||| Then, as King Glorious Splendor received the teaching on the boundless Dharma from that blessed one, he was satisfied and pleased.
ཡི་རངས་ནས་རབ་ཏུ་དགའ་སྟེ་དགའ་བ་དང་། ||| He rejoiced and was extremely delighted.
ཡིད་བདེ་བ་སྐྱེས་ནས་བུ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་དེ་ལ་ཚིགས་སུ་བཅད་པ་དག་གིས་མངོན་པར་བསྟོད་པ། ||| Since he was so joyful and happy, together with his sons he praised that blessed one with these verses:
འདྲེན་པ་ཆོས་རྣམས་ཀུན་ལ་དབང་སྒྱུར་བ། ། ||| “ ‘Guide, you are the master of all dharmas.
སྨྲ་བའི་ཚོགས་རྣམས་ཡང་དག་རབ་ཏུ་འཇོམས། །བདུད་ཀྱི་རྩོད་དང་ཉོན་མོངས་ཀུན་སེལ་བ། ||| You conquer the hordes of theoreticians; You eliminate all of the demons’ disputes and disturbing emotions.
མཚུངས་མེད་ཡེ་ཤེས་མཚོ་ལ་ཕྱག་འཚལ་ལོ། ། ||| We prostrate to you, incomparable ocean of wisdom.
ཉི་ཟླ་དག་དང་མེ་ཡི་འོད་རྣམས་དང་། ། ||| “ ‘The sun, the moon, and the light of fires,
བརྒྱ་བྱིན་ཚངས་པ་ནོར་བུ་གློག་འོད་རྣམས། ། ||| The radiance of Śakra, Brahmā, jewels, and lightning,
བདེ་གཤེགས་གཟི་བརྗིད་ཀྱིས་ནི་མོག་མོག་གྱུར། ། ||| Are eclipsed by the splendor of the Blissful One.
མི་མཆོག་འོད་མཛད་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| We prostrate to you, luminous leader of men.
ཐུབ་པ་བསྐལ་པ་རྒྱ་མཚོ་འདས་པར་ཡང་། ། ||| “ ‘Sage, throughout an ocean of eons,
དཀའ་བ་རྣམ་པ་དུ་མ་སྤྱོད་པར་མཛད། ། ||| You perform many hardships.
ཕྲིན་ལས་དེ་ཡི་འབྲས་བུ་ཡིད་འོང་སྟེ། །དེས་ན་འགྲོ་བས་བལྟས་ན་ངོམས་མི་འགྱུར། །སྐྱེ་དང་རྒ་དང་ན་དང་འཆིས་གཙེས་ཤིང་། ། ||| Since the result of that activity is so beautiful, Beings never tire of beholding you.
སེམས་ཅན་སྡུག་བསྔལ་མང་པོས་གཟིར་གཟིགས་ནས། ། ||| “ ‘Seeing that beings are pained by many sufferings,
དེ་དག་རྣམས་ལ་ཐུབ་ཆེན་ཐུགས་རྗེ་སྟེ། །རྟག་ཏུ་མི་འཕོ་ཞི་བའི་ཆོས་ཀྱང་སྟོན། ། ||| And tormented by birth, old age, sickness, and death, Great sage, your compassion for them Will never change as you teach the Dharma of peace.
སྲིད་གསུམ་སྲོག་ཆགས་ཀུན་གྱི་སྨན་པ་འདྲ། །འདོད་ཆགས་ཞེ་སྡང་མུན་པ་ཐམས་ཅད་སྦྱོང་། ། ||| “ ‘You are like a physician for all beings in the three existences; You purify all attachment, anger, and darkness.
ཐུགས་རྗེ་བསྐྱེད་པ་མཛད་ནས་ཆོས་ཀྱི་སྨན། །ཞི་བ་བླ་ན་མེད་པར་རབ་ཏུ་སྟོན། ||| Dharma physician, you develop compassion And teach on the unsurpassed state of peace.
སེམས་ཅན་ཀུན་གྱི་སྤྱོད་པ་རབ་ཏུ་མཁྱེན། ||| “ ‘You know well all beings’ actions.
རབ་འབྱམ་ཞིང་རྣམས་ཀུན་ན་སྲོག་ཆགས་ཀྱི། །མཁྱེན་ནས་ ||| Since you understand everyone in the infinite worlds,
གང་གིས་མྱ་ངན་འདས་མཆོག་ལ། །རེག་པར་འགྱུར་བ་དེ་འདྲའི་ཆོས་ཀྱང་སྟོན། ། ||| You teach the Dharma that brings them To supreme nirvāṇa.
མི་མཆོག་ཁྱོད་ཀྱི་ཐུགས་རྗེ་ཅི་འདྲ་བ། །ཇི་སྙེད་རབ་འབྱམ་ཞིང་གི་ཉན་ཐོས་དང་། །རྐྱེན་བྱུང་ཐུབ་པ་མ་ལུས་དེ་དག་ལ། །དེ་འདྲ་བ་ཡི་སྙིང་རྗེ་ཡོང་མ་མཆིས། ||| “ ‘Supreme man, your compassion is such That it is a compassion unrivaled By all hearers and conditioned sages In all the infinite worlds.
བསོད་ནམས་ཕུང་པོ་མཚན་མཆོག་རྣམས་དང་ལྡན། ||| “ ‘A gathering of merit endowed with the supreme marks,
རྒྱལ་བའི་སྐུ་ནི་གསེར་གྱི་རི་བོ་འདྲ། ། ||| The body of the Victor is like a golden mountain,
བྱེ་བའི་ཉི་ལས་ལྷག་པའི་གཟི་མངའ་བ། ། ||| More splendorous than ten million suns.
མི་མཆོག་མཚུངས་མ་མཆིས་ལ་ཕྱག་འཚལ་ལོ། ། ||| We prostrate to you, unrivaled perfect man.
ཆོས་སྤྲིན་རྒྱ་ལས་ཆོས་ཆར་འབེབས་པ་ན། ། ||| “ ‘When from the expansive cloud of Dharma the rain of teachings falls,
གང་དག་རྒྱ་ཆེན་མོས་པ་སྤྱོད་ཡུལ་བ། ། ||| Those who have the vast inclinations to be within its scope,
སྔོན་གྱི་སངས་རྒྱས་སྤྱོད་ལ་འཇིགས་མ་མཆིས། ། ||| And were not intimidated by the acts of previous buddhas,
དེ་དག་རྟག་ཏུ་བདེ་གཤེགས་མདུན་ན་མཆིས། ། ||| Always find themselves before the blissful one.
བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བསམ་ཡས་སུ། ། ||| “ ‘During an inconceivable number of trillions of eons,
མི་མཆོག་མཐོང་བ་རྙེད་པར་ཤིན་ཏུ་དཀའ། ། ||| It is exceedingly difficult to behold the perfect man.
བསོད་ནམས་ལས་ཀྱིས་བསམ་པ་ཡོངས་སྦྱངས་པ། །དེ་དག་མིག་ལམ་རྣམ་པར་འདྲེན་རྣམས་གདའ། ། ||| Yet through the workings of merit the mind is purified And the guides become visible.
རྒྱལ་བའི་སྐུ་ནི་ཆོས་དབྱིངས་རྒྱས་པར་འགེངས། །ཞིང་རྣམས་རབ་འབྱམ་ཐམས་ཅད་ན་ཡང་གདའ། ། ||| “ ‘The bodies of the Victor fill the entire realm of phenomena And are present in all infinite realms.
བཞུད་དང་བྱོན་པར་མངོན་པ་ཡོད་མ་མཆིས། ། ||| They know no actual coming or going,
འོན་ཀྱང་འཇིག་རྟེན་དག་ན་སྣོད་བཞིན་གདའ། ། ||| And yet fill the world like a vessel.
བདེན་པ་གཟིགས་ཤིང་དོན་དམ་སྟོན་པ་པོ། ། ||| “ ‘You who see the truths and teach the ultimate,
ཆོས་ཀྱི་སྦྱིན་བདག་ཞི་བའི་ཐུགས་ལྡན་པ། ། ||| You are a benefactor of the Dharma with a peaceful mind;
རྒལ་ནས་སྲོག་ཆགས་བཅིངས་གྱུར་གཞན་སྒྲོལ་བ། ། ||| Having crossed over, you liberate others who were in bondage.
བདེ་བར་གཤེགས་པ་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| We prostrate to you, Blissful One.
ཁྱོད་ཀྱིས་སྐྱེ་བའི་ཤིང་ལྗོན་རྩ་ནས་བཏོན། ། ||| “ ‘You have pulled out the tree of rebirth by its root;
ང་རྒྱལ་རི་བོ་སྲ་བ་རྡུལ་དུ་བརླགས། ། ||| You have reduced to rubble the massive mountain of pride;
རྒོད་པ་མི་མངའ་གཡོ་དང་སྒྱུ་དང་བྲལ། ། ||| You know no agitation and are beyond deceit and deception.
རབ་ཞི་ཐུགས་དང་ལྡན་ལ་ཕྱག་འཚལ་ལོ། ། ||| We prostrate to you, who are completely at peace.
མི་མཆོག་ཆགས་པ་ཐམས་ཅད་ཡོང་མི་མངའ། ། ||| “ ‘Perfect man, you have gone beyond all attachments,
དགོངས་པ་ས་དང་ཆུ་དང་མེ་དང་འདྲ། ། ||| And your realization is like earth, water, and fire.
རྒྱལ་བ་སེམས་ཅན་ཀུན་ལ་སྙོམས་ཐུགས་ལྡན། ། ||| Victor, you are impartial toward all beings.
