འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
དེ་ལ་རྩོམ་པའི་དད་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པ་དང་། སེམས་བསྐྱེད་པ་རྣམས་ཀྱི་སེམས་བསྐྱེད་པ་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་གང་ཡིན་པའོ། ། ||| Initiating trust is the trust in the Great Vehicle caused by bodhisattvas’ arousal of the mind of unsurpassed and completely perfect awakening and their recollection of that mind of awakening after they have already aroused it.
དེ་ལ་རྗེས་སུ་འཛིན་ཅིང་གུས་པར་བྱེད་པའི་དད་པ་ནི་རྗེས་སུ་འཛིན་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སེམས་ཅན་རྗེས་སུ་འཛིན་ཅིང་ལས་གུས་པར་བྱེད་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་གང་ཡིན་པའོ། ། ||| Accepting and devoted trust is the trust in the Great Vehicle created when beings embrace and respect the bodhisattva who has accepted them.
དེ་ལ་མོས་པའི་དད་པ་ནི་ཆོས་ཀྱི་དབྱིངས་ཟབ་མོ་བསྟན་པ་ལ་མོས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་གང་ཡིན་པའོ། ། ||| Interested trust is the trust in the Great Vehicle of the bodhisattvas felt by those who are interested in the teaching of the profound realm of phenomena.
གཞན་ཡང་དད་པ་བཞི་སྟེ། ||| “There are four further types of trust.
བཞི་གང་ཞེ་ན། ||| If you wonder what they are,
འདི་ལྟ་སྟེ། ||| they are as follows:
མཐོང་བ་དང་། ཐོས་པས་དད་པ་དང་། བསྟན་པ་འཕེལ་བ་རྗེས་སུ་དྲན་པའི་དད་པ་དང་། དགེ་བའི་ཕྱོགས་འཕེལ་བ་རྗེས་སུ་དྲན་པའི་དད་པ་དང་། རེ་བ་དང་འདོད་པ་རྗེས་སུ་དྲན་པའི་དད་པའོ། ། ||| the trust by seeing and hearing, the trust of recollecting the spread of the teaching, the trust of recollecting the increase of virtuous factors, and the trust of recollecting hopes and wishes.
དེ་ལ་མཐོང་བ་དང་ཐོས་པས་དད་པ་ནི་གང་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའི་གཟུགས་སམ་འོད་མཐོང་ཞིང་ཐོས་ན་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust by seeing and hearing’ refers to gaining trust in the Great Vehicle when one sees or hears the buddhas’ and bodhisattvas’ forms or radiance.
དེ་ལ་བསྟན་པ་འཕེལ་བ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བ་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust of recollecting the spread of the teaching’ refers to the trust in the Great Vehicle that comes about by recollecting that beings ought to be ripened.
དེ་ལ་དགེ་བའི་ཕྱོགས་འཕེལ་བ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་བདག་ཉིད་རྟག་པར་རྒྱུན་ཏུ་བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་དང་། དགེ་བའི་ཕྱོགས་འཕེལ་བ་རྗེས་སུ་དྲན་པས་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust of recollecting the increase of virtuous factors’ refers to the trust in the bodhisattva Great Vehicle caused by recollecting the continuous increase of one’s factors of awakening and virtuous qualities.
དེ་ལ་རེ་བ་དང་འདོད་པ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་དགེ་བའི་ཕྱོགས་འཕེལ་བ་དེས་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་དག་ཅིང་སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་བསྒྲུབས་པས་རེ་ཞིང་འདོད་དེ ||| ‘The trust of recollecting hopes and wishes’ refers to hoping and wishing to attain all pure buddha realms and the entire Dharma of the Buddha because of one’s virtuous qualities.
བྱང་ཆུབ་སེམས་དཔའ་རེ་བ་དང་འདོད་པ་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| In this way, the bodhisattvas feel trust in the Great Vehicle by bringing their hopes and wishes to mind.
གཞན་ཡང་དད་པ་བཞི་སྟེ། ||| “There are four further types of trust.
བཞི་གང་ཞེ་ན། ||| If you wonder what they are, they are as follows:
བརྗོད་པ་རྗེས་སུ་དྲན་པའི་དད་པ་དང་། གཅོད་ནུས་པ་རྗེས་སུ་དྲན་པའི་དད་པ་དང་། བསྐྲུན་པ་རྗེས་སུ་དྲན་པའི་དད་པ་དང་། སྒྲུབ་པ་རྗེས་སུ་དྲན་པའི་དད་པའོ། ། ||| the trust caused by recollecting statements, the trust caused by recollecting the ability to resolve doubts, the trust caused by recollecting how the Dharma is planted, and the trust caused by recollecting practice.
དེ་ལ་བརྗོད་པ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་ཐེག་པ་ཆེན་པོའི་སྒོ་ཐམས་ཅད་ལ་མོས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་མོས་པའི་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust caused by recollecting statements’ refers to the trust in the Great Vehicle that is summoned when one fondly recollects those bodhisattvas who are motivated by all gateways to the Great Vehicle.
དེ་ལ་གཅོད་ནུས་པ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་བྱང་ཆུབ་སེམས་དཔའ་མང་དུ་ཐོས་པ་ཐོས་པ་འཛིན་པ་ཐོས་པ་བསགས་པ་རྣམས་ཐེ་ཚོམ་གཅོད་ནུས་པ་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust caused by recollecting the ability to resolve doubts’ refers to the trust in the Great Vehicle that is summoned by remembering how bodhisattvas who have heard much, memorized, and become learned are able to resolve doubts.
དེ་ལ་བསྐྲུན་པ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་ཕ་རོལ་གྱི་རྒྱུད་ལ་ཐེག་པ་ཆེན་པོའི་ཆོས་ཀློག་པ་དང་། ཁ་ཏོན་བྱེད་པ་དང་། དོན་འཛིན་པ་དང་། འདོན་པ་ལ་སོགས་པས་བསྐྲུན་ཏེ། གཞན་གྱི་རྒྱུད་ལ་དམ་པའི་ཆོས་བསྐྲུན་པ་དེ་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust caused by recollecting how the Dharma is planted’ refers to the trust in the Great Vehicle that is summoned by bringing to mind how the sacred Dharma is planted in the minds of others by reading aloud, reciting, explaining, and chanting the Dharma of the Great Vehicle to others.
དེ་ལ་སྒྲུབ་པ་རྗེས་སུ་དྲན་པའི་དད་པ་ནི་གང་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོའི་ཆོས་དེ་ཉིད་ནན་ཏན་གྱིས་བསྒྲུབ་སྟེ། ནན་ཏན་གྱིས་སྒྲུབ་པ་དེ་རྗེས་སུ་དྲན་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust caused by recollecting practice’ refers to the trust in the Great Vehicle that is summoned by recollecting how bodhisattvas diligently practice and accomplish the Dharma of the Great Vehicle.
རིགས་ཀྱི་བུ་གཞན་ཡང་དད་པ་བཞི་སྟེ། ||| “Noble son, there are four further types of trust.
བཞི་གང་ཞེ་ན། ||| If you wonder what they are, they are as follows:
རྣལ་འབྱོར་ཐོབ་པའི་དད་པ་དང་། ཐབས་ཀྱིས་ཡོངས་སུ་ཟིན་པའི་ལུས་ཀྱི་ལས་སྦྱོར་བའི་དད་པ་དང་། ཐབས་ཀྱིས་ཡོངས་སུ་ཟིན་པའི་ངག་གི་ལས་སྦྱོར་བའི་དད་པ་དང་། ཐབས་ཀྱིས་ཡོངས་སུ་ཟིན་པའི་ཡིད་ཀྱི་ལས་སྦྱོར་བའི་དད་པའོ། ། ||| the trust of heeding spiritual practice, the trust of engaging in physical activity embraced by skillful means, the trust of engaging in verbal activity embraced by skillful means, and the trust of engaging in mental activity embraced by skillful means.
དེ་ལ་རྣལ་འབྱོར་ཐོབ་པའི་དད་པ་ནི་གང་ཐེག་པ་ཆེན་པོའི་ཆོས་ལ་དམིགས་པའི་ཞི་གནས་དང་ལྷག་མཐོང་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དེ་ལ་དམིགས་ནས་དད་པའོ། ། ||| ‘The trust of heeding spiritual practice’ refers to the trust one develops by observing bodhisattvas who have attained the tranquility and insight that is focused on the Dharma of the Great Vehicle.
དེ་ལ་ཐབས་ཀྱིས་ཡོངས་སུ་ཟིན་པའི་ལུས་ཀྱི་ལས་སྦྱོར་བའི་དད་པ་ནི་གང་བྱང་ཆུབ་སེམས་དཔའ་བག་ཡོད་པས་ཡོངས་སུ་ཟིན་པ་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་ལུས་ཀྱི་ལས་བག་མེད་པར་སྤྱོད་པ་བཞམ་པ་དང་། སྤྱོ་བས་འདུལ་བ་དག་འདུལ་བས་དེ་ལ་དམིགས་ནས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust of engaging in physical activity embraced by skillful means’ refers to the trust in the Great Vehicle one develops by observing how conscientious bodhisattvas offer advice and constructive criticism in order to tame those bodhisattvas who are not conscientious in terms of their physical actions.
དེ་ལ་ཐབས་ཀྱིས་ཡོངས་སུ་ཟིན་པའི་ངག་གི་ལས་སྦྱོར་བའི་དད་པ་ནི་གང་བྱང་ཆུབ་སེམས་དཔའ་བག་ཡོད་པས་ཡོངས་སུ་ཟིན་པ་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་ངག་འཁྲུལ་པར་སྤྱོད་པ་བཞམ་པ་དང་། སྤྱོ་བས་འདུལ་བ་དག་འདུལ་བས་དེ་ལ་དམིགས་ནས་ཐེག་པ་ཆེན་པོ་ལ་དད་པའོ། ། ||| ‘The trust of engaging in verbal activity embraced by skillful means’ refers to the trust in the Great Vehicle one obtains by observing how conscientious bodhisattvas offer advice and constructive criticism in order to tame those bodhisattvas who are engaged in misguided verbal activity.
