འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
ཐོས་པ་ཚོལ་བས་མི་ངོམས་པས་མང་དུ་ཐོས་པ་དང་། ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པས་ཆོས་རྣམས་ལ་དཔྱོད་པའི་ཤེས་པ་ལ་མཁས་པ་དང་། ||| (1) They have erudition acquired through insatiability in the pursuit of learning. (2) They are experts in the knowledge that investigates phenomena with proper focus.
བྱང་ཆུབ་མངོན་སུམ་དུ་བྱེད་པའི་བདག་ཉིད་ཆོས་བསྒྲུབ་པ་ཤེས་པ་དང་། ཕུང་པོ་ལ་མཁས་པ་ལ་འཇུག་པས་རྣམ་པར་གྲོལ་བ་ཤེས་པ་དང་། ||| (3) They understand the way to accomplish the Dharma in order to actualize awakening. (4) They know liberation through expertise in the aggregates.
ཆོས་ཀྱི་དབྱིངས་ལ་མཁས་པའི་ཤེས་པ་དང་། སྐྱེ་མཆེད་ལ་མཁས་པའི་ཤེས་པ་དང་། རྒྱུ་དང་བྱ་བ་ཁོང་དུ་ཆུད་པས་སྟོང་པའི་རྣམ་པར་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ལ་མཁས་པ་དང་། ||| (5) They have expert knowledge of the realm of phenomena. (6) They have expert knowledge of the sense sources. (7) They are experts in dependent origination as an attribute of emptiness, because of comprehending causes and actions.
བདེན་པ་ལ་མཁས་པའི་ཤེས་པ་དང་། དེར་མི་ལྟུང་བར་སྐྱོན་མེད་པ་ལ་འཇུག་པ་ཤེས་པ་དང་། བསམས་བཞིན་དུ་སྐྱེ་བས་སྐྱེ་བ་ལ་སོ་སོར་མི་རྟོག་པའི་ཤེས་པ་དང་། གཟོད་མ་ནས་རྣམ་པར་དག་པས་ཆོས་ཐམས་ཅད་མི་སྐྱེ་བར་ཤེས་པ་དང་། ||| (8) They have expert knowledge of the truth. (9) They have knowledge that understands the faultless state without falling into it. (10) They have knowledge that does not conceptualize birth, due to taking intentional rebirth. (11) They understand that phenomena are primordially pure and thus unborn.
ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་ཡོངས་སུ་སྨིན་པར་བྱེད་པས་སེམས་ཅན་ཐམས་ཅད་བདག་མེད་པར་ཤེས་པ་དང་། ||| (12) They understand that mistaken views generate karmic ripening and that all beings are therefore selfless.
འདོད་ཆགས་དང་བྲལ་བའི་མཐའི་ཕྱིར་ཆོས་ཐམས་ཅད་ཆོས་གཅིག་ཏུ་ཤེས་པ་དང་། ||| (13) They understand that all phenomena are one, due to the limit free from desire.
ནམ་མཁའ་དང་མཚུངས་པའི་ཕྱིར་ཞིང་ཐམས་ཅད་ཞིང་གཅིག་ཏུ་ཤེས་པ་དང་། ||| (14) They understand that all universes are one, because they are identical to space.
ཆོས་ཀྱི་དབྱིངས་བསམ་གྱིས་མི་ཁྱབ་པ་ལ་ཞུགས་པས་སངས་རྒྱས་ཐམས་ཅད་སངས་རྒྱས་གཅིག་ཏུ་ཤེས་པ་དང་། ||| (15) They understand that all buddhas are one, because they are immersed in the inconceivable realm of phenomena.
ཡི་གེ་ཤེས་པ་ལ་མཁས་པས་ཆོས་ཀྱི་ཚིག་རབ་ཏུ་དབྱེ་བ་བསྟན་པ་ཤེས་པ་དང་། ལེགས་པར་བཤད་པས་སེམས་ཅན་ཐམས་ཅད་ཚིམ་པར་བྱེད་པའི་ཕྱིར་ཆགས་པ་མེད་པའི་སྤོབས་པས་ཆོས་རྒྱ་ཆེར་ཤེས་པ་དང་། ||| (16) They understand how to teach the distinctions of Dharma terms through expertise in the knowledge of letters. (17) They have extensive knowledge of the Dharma supported by unobstructed eloquence in order to satisfy all beings through excellent explanations.
ཐོས་པ་ཐམས་ཅད་འཛིན་པས་གཟུངས་བརྗེད་པ་མེད་པའི་ཤེས་པ་དང་། ||| (18) They have the knowledge of perfect recall by retaining all that has been heard.
བདུད་དེ་དག་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་སྨིན་པར་བྱེད་པས། བདུད་ཀྱི་ལས་ཐམས་ཅད་ཁོང་དུ་ཆུད་པའི་ཤེས་པ་དང་། ||| (19) They have knowledge that comprehends all demonic activities by ripening demonic forces into awakening.
རྣམ་པར་བསྒྲུབས་ཏེ་སོ་སོར་ཉེ་བར་གནས་པར་ཤེས་པས་ཆོས་ཐམས་ཅད་སྒྱུ་མ་ལྟ་བུར་རྟོག་པའི་ཤེས་པ་དང་། ||| (20) They have knowledge that understands that all phenomena are illusions by understanding that they are illusory manifestations.
ཤིན་ཏུ་ཡོངས་སུ་གྲུབ་པ་མེད་པའི་ཚུལ་གྱིས་ཆོས་ཐམས་ཅད་རྨི་ལམ་དང་། སྨིག་རྒྱུ་དང་། ཆུ་ཟླ་དང་། མིག་ཡོར་དང་། བྲག་ཅ་ལྟ་བུའི་ཚུལ་དུ་སྟོན་པ་ཤེས་པ་དང་། ||| (21) They have insight that shows all phenomena to be similar to dreams, mirages, reflections of the moon in water, optical illusions, and echoes, in terms of their lack of establishment.
ཤེས་པ་རྣམ་པར་དག་པའི་ཕྱིར་སེམས་ཅན་གྱི་སེམས་ཀྱི་སྤྱོད་པ་ཐམས་ཅད་ཁོང་དུ་ཆུད་པའི་ཤེས་པ་དང་། ||| (22) They have insight that comprehends all the mental activities of sentient beings through pure knowledge.
ཤིན་ཏུ་བསླབས་པའི་ཕྱིར་འཁོར་བ་དང་མྱ་ངན་ལས་འདས་པ་བརྟགས་པར་ཤེས་པའི་ཐབས་ལ་མཁས་པ་དང་། ||| (23) They have expertise in the knowledge that investigates saṃsāra and nirvāṇa because of their higher training.
རྣམ་པར་ཐར་པའི་སྒོའི་ཕྱིར་སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པའི་རྣམ་པའི་ཆོས་ཤེས་པ་དང་། ||| (24) They have insight into the three gateways to liberation—emptiness, the absence of marks, and the absence of wishes.
གཟོད་མ་ནས་བྲལ་བ་མེད་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་རང་བཞིན་གྱིས་ཞི་བ་དང་། རབ་ཏུ་ཞི་བ་དང་། ཉེ་བར་ཞི་བར་ཤེས་པ་དང་། ||| (25) They understand that all phenomena are naturally at peace, calm, and tranquil, since they are primordially beyond meeting.
མ་རིག་པ་དང་། གཏི་མུག་གི་མུན་པ་ཀུན་ཏུ་བཅོམ་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་ལ་རབ་རིབ་མེད་ཅིང་སྣང་བ་ཐོབ་པ་དང་། ||| (26) They have attained the unobstructed vision of all phenomena by eliminating the darkness of ignorance and stupidity.
ཆོས་ཐམས་ཅད་གར་ཡང་མི་འགྲོ་གང་ནས་ཀྱང་མི་འོང་བར་ཤེས་པས་ཤེས་རབ་ཀྱི་འོད་དང་ལྡན་ཞིང་སེམས་ཅན་ཐམས་ཅད་ལ་རྣམ་པར་ཐར་པའི་ཆོས་སྟོན་པ་དང་། ||| (27) They possess the light of insight by understanding that no phenomena come from or go anywhere, and they teach all beings the Dharma that leads to liberation.
ལས་དང་བྱ་བ་ཁོང་དུ་ཆུད་པས་སེམས་ཅན་རྣམས་ཀྱི་འཆི་འཕོ་དང་འགྲོ་བར་སྐྱེ་བ་སྟོན་པ་དང་། ||| (28) They display the process of the death and rebirth of beings by understanding action and activities.
དོན་དང་ཆོས་དང་ངེས་པའི་ཚིག་དང་སྤོབས་པའི་ཚུལ་ལ་མཁས་ཏེ་ ཕྱད་པར་དེ་ཁོ་ནའི་ལུང་སྟོན་པས། སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་ཐོབ་པ་དང་། ||| (29) They have attained the four correct knowledges through expertise in meaning, phenomena, language, and eloquence, and they continuously and exclusively instruct in that way.
བདག་དུལ་བ་དང་། ཞི་བ་དང་། གྲོལ་བ་དང་། སྦས་པ་དང་། བྱང་བས་ཡོངས་སུ་མྱ་ངན་ལས་ཟློ་བའི་ཕྱིར་དོན་ཡོད་པའི་ཆོས་སྟོན་པ་དང་། ||| (30) They teach the meaningful Dharma that causes one to transcend suffering while being composed, calm, liberated, collected, and learned.
དམ་པའི་ཆོས་ཡོངས་སུ་འཛིན་པས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱིས་དེ་ཤེས་རབ་ལས་ངེས་པར་བྱུང་བར་རིག་ནསཆོས་ཀྱི་གྲོང་ཁྱེར་ཐམས་ཅད་ཡོངས་སུ་སྐྱོང་བར་བྱིན་གྱིས་རློབ་པ་དང་། ||| (31) Upon seeing that emancipation results from insight, they uphold the sacred Dharma and thereby receive the blessings of the blessed buddhas to protect all Dharma cities.
