ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
དེ་ང་ལ་སེམས་དགའ་བར་བྱས་ནས་ཤི་འཕོས་ཏེ་དུས་ལས་འདས་ནསམཉན་དུ་ཡོད་པ་འདི་ཉིད་དུ་ཚོང་དཔོན་གྱི་ཁྱིམ་དུ་སྐྱེས་ནས། ||| “Filled with joy at the thought of me, he died, transmigrated, and was reborn in the house of a merchant here in Śrāvastī.
དེ་ངའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་སྟེ། ||| Then he went forth in my very doctrine,
ལོ་བདུན་ལོན་པ་ཁོ་ན་ན་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ནས་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱས་སོ། ། ||| and at just seven years of age cast away all afflictive emotions and manifested arhatship.”
གསོལ་པ། བཙུན་པ་དགེ་ཚུལ་ཕ་འདིས་ལས་ཅི་ཞིག་བགྱིས་ན་ལས་དེའི་རྣམ་པར་སྨིན་པས་གླང་དུ་སྐྱེས་ལགས་ལས་ཅི་བགྱིས་ན་ ||| “Lord, what action did this novice take that ripened into his birth as a bull?” they inquired.
ལས་དེའི་རྣམ་པར་སྨིན་པས། དེ་ནས་ཤི་འཕོས་ནས་མིར་སྐྱེས་ལ་འདིས་བཅོམ་ལྡན་འདས་མཉེས་པར་བགྱིས་ཏེམི་མཉེས་པར་མ་བགྱིས་ནས་སྐྱེ་དགུའི་ཚེ་ལོ་བརྒྱ་ཐུབ་པ་རྣམས་ཕམ་པར་བགྱིས་ཏེ། ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ནས་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བགྱིས་ལགས། ||| “What action did he take that, after he died and transmigrated, ripened into his birth as a human being, and that he pleased the Blessed One, did not displease him, surpassed those whose lifespans were one hundred years, cast away all afflictive emotions, and manifested arhatship?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| “Monks,” the Blessed One explained,
དགེ་སློང་དག་འདི་ཉིད་ཀྱིས་ལས་དེ་བྱས་ཤིང་བསགས་ཏེ། ||| “such are the actions that he committed and accumulated:
དགེ་སློང་དག་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་བསྐལ་པ་བཟང་པོ་འདི་ཉིད་ལ་སྐྱེ་དགུའི་ཚེ་ལོ་ཉི་ཁྲི་ཐུབ་པ་ན་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བྱའི་ཁ་ལོ་སྒྱུར་བ། བླ་ན་མེད་པ་ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་འོད་སྲུང་ཞེས་བྱ་བ་འཇིག་རྟེན་དུ་བྱུང་སྟེདེའི་གསུང་རབ་ལ་རབ་ཏུ་བྱུང་སྟེ་དགེ་སློང་ཆུའི་ཞལ་ཏ་བྱེད་པར་གྱུར་ཏེ། དེ་དགེ་འདུན་ལ་རིལ་བ་སྤྱི་བླུགས་ཀྱིས་ཆུ་འདྲིམ་པ་ལས། ||| “Monks, in times past, in this fortunate eon, when people lived as long as twenty thousand years, and the totally and completely awakened buddha endowed with perfect knowledge and perfect conduct, the sugata, the knower of the world, the tamer of persons, the charioteer, the unsurpassed one, the teacher of humans and gods, the blessed buddha known as Kāśyapa was in the world, he went forth in Buddha Kāśyapa’s doctrine, acted as water server for the monks, and distributed water from a small vase.
དགེ་སློང་དགྲ་བཅོམ་པ་གཞན་ཞིག་ཡེངས་པར་གྱུར་ཏེ། དེ་དེ་དང་ཐུག་ནས་ཆུའི་ཞལ་ཏ་བྱེད་པ་དེའི་རིལ་བ་ལག་ནས་ཤོར་ཏེ་ཆག་ནས། ||| “Another monk who was an arhat got distracted and bumped up against the serving monk, knocking the small vase from his hand and breaking it.
དེ་ཁྲོས་པས། དགྲ་བཅོམ་པ་དེ་ལ་སྨྲས་པ། འདི་ནི་གླང་དིར་པོ་བཞིན་དུ་ཆེ་ཞིང་ཚོར་ཕྲིག་མེད་པ་ཞིག་གོ་ཞེས་བྱས་ནས། ||| In anger, the serving monk shouted at him, ‘This one’s like a thundering bull—huge and oblivious!’
དེའི་ཚིག་དེ་དགྲ་བཅོམ་པ་དེས་ཐོས་ནས་དེས་དེ་ཕྱོགས་གཅིག་ཏུ་ཁྲིད་དེ་སྨྲས་པ། ||| “When he heard what he said, the arhat took him aside and asked,
བཙུན་པ་ཁྱོད་བདག་སུ་ཡིན་པ་དང་ང་སུ་ཡིན་པ་ཤེས་སམ་དེས་སྨྲས་པ། ངས་ཤེས་ཏེ ||| ‘Lord, do you know who I am?’
ཁྱོད་ཀྱང་རབ་ཏུ་བྱུང་བ་ཡིན་ལ། ང་ཡང་རབ་ཏུ་བྱུང་བ་ཡིན་ནོ། ། ||| “ ‘I know that you have gone forth,’ he replied, ‘as have I.’
དེས་སྨྲས་པ། འོ་བུ་ཅག་རབ་ཏུ་བྱུང་བར་འདྲ་མོད་ཀྱི། ཁྱོད་ནི་བཅིང་བ་ཐམས་ཅད་ཀྱིས་བཅིངས་པའི་སོ་སོའི་སྐྱེ་བོ་ཡིན་ལ། ང་ནི་འཆིང་བ་ཐམས་ཅད་ལས་གྲོལ་བ་ཡིན་ན ||| “ ‘Though we two are like brothers in having gone forth,’ he said, ‘you are an ordinary person, bound by every fetter, and I have been liberated from every fetter.
ཁྱོད་ཀྱིས་ཚིག་རྩུབ་པོ་སྨྲས་ཀྱིས། ཉེས་པ་ལ་ཉེས་སོ་ཞེས་བཤགས་པར་གྱིས་ཤིག ། ||| You must confess the mistake you’ve made by speaking harshly to me.
ཁྱོད་འཁོར་བ་ན་འཁོར་ཞིང་མི་སྡུག་པའི་ལས་ཀྱི་འབྲས་བུ་རྙེད་ཏ་རེ་ཞེས་བྱས་སོ། ། ||| Otherwise you are certain to roam in saṃsāra and meet with the results of your ugly act.’
དེ་ནས་དེ་ཐོས་མ་ཐག་ཏུ་དགེ་སློང་དེ་འགྱོད་པ་ཆེན་པོ་སྐྱེས་ཏེ། དེས་དགེ་སློང་དེའི་རྐང་པ་ལ་ཕྱག་འཚལ་ནས་བཟོད་པ་གསོལ་ཏེ། ||| “When he heard this the serving monk was seized with regret, bowed down at his feet, and asked his forgiveness.
ཚེ་གཅིག་ཏུ་ཚངས་པར་སྤྱོད་པ་སྤྱད་ནས་ ||| After that he practiced pure conduct all his life,
འཆི་ཀར་སྨོན་ལམ་བཏབ་པ་བདག་གིས་འདི་འདྲ་བའི་ཡོན་གནས་ཀྱི་མཆོག་ལ་ཚིག་རྩུབ་པོ་སྨྲས་པའི་ལས་འདི་ཅི་ནས་ཀྱང་བདག་ལ་སྨིན་པར་མ་གྱུར་ཅིག ། ||| and at the time of his death he prayed, ‘May I not meet with the results of the act of speaking harshly to this person, so supremely worthy of offerings.
འདི་ལྟར་བདག་གིས་ཚེ་གཅིག་ཏུ་ཚངས་པར་སྤྱོད་པ་སྤྱད་ཀྱང་ཡོན་ཏན་གྱི་ཚོགས་ཅི་ཡང་མ་ཐོབ་ཀྱིས། ||| While I may not have attained any great virtues, still I have gone forth and practiced pure conduct all my life.
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གིས་བྲམ་ཟེའི་ཁྱེའུ་བླ་མ་ལུང་བསྟན་པ་གང་ཡིན་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་བདག་གིས་མཉེས་པར་བྱེད་པར་གྱུར་ཅིག ། ||| Therefore, may I please and not displease Uttara, the young brahmin prophesied by the totally and completely awakened Buddha Kāśyapa to be the next blessed buddha.
མི་མཉེས་པར་བྱེད་པར་མ་གྱུར་ཅིག །དེ་ཁོ་ནའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ནས། ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱེད་པར་གྱུར་ཅིག་ཅེས་བྱས་སོ། ། ||| Going forth in his doctrine alone may I cast away all afflictive emotions, and manifest arhatship.’
དགེ་སློང་དག་ཇི་སྙམ་དུ་སེམས། ||| “O monks, what do you think?
དེའི་ཚེ་ཆུའི་ཞལ་ཏ་བྱེད་པར་གྱུར་པ་གང་ཡིན་པ་དེ་ནི་དགེ་ཚུལ་པ་འདི་ཉིད་ཡིན་ཏེ། ||| The one who was the water-serving monk then is none other than this novice.
དེས་དེར་ཁྲོས་ནས་དགྲ་བཅོམ་པ་དེ་ལ་ཚིག་རྩུབ་པོ་སྨྲས་པའི་ལས་དེའི་རྣམ་པར་སྨིན་པས་ཚེ་རབས་ལྔ་བརྒྱར་གླང་དུ་སྐྱེས་སོ། ། ||| The act of becoming angry and speaking harshly to the arhat ripened such that for five hundred lifetimes he took rebirth as a bull.
འཆི་ཀར་སྨོན་ལམ་བཏབ་སྟེ། ||| Yet at the time of his death he prayed,
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གིས་བྲམ་ཟེའི་ཁྱེའུ་བླ་མ་ལུང་བསྟན་པ་གང་ཡིན་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་བདག་གིས་མཉེས་པར་བྱེད་པར་གྱུར་ཅིག །མི་མཉེས་པར་བྱེད་པར་མ་གྱུར་ཅིག ། ||| ‘May I please and not displease Uttara, the young brahmin prophesied by the totally and completely awakened Buddha Kāśyapa to be the next blessed buddha.
དེ་ཁོ་ནའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ནས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱེད་པར་གྱུར་ཅིག་ཅེས་བྱས་པ་དེས་ན། ||| Going forth in his doctrine alone may I cast away all afflictive emotions, and manifest arhatship.’
