འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་ང་རོ་དཔག་ཏུ་མེད་པས་བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་བཅོམ་ལྡན་འདས་དེ་ལ་བསྐོར་བ་བྱས་ནས་སོང་སྟེ། ||| The bodhisattva then bowed his head to the feet of that blessed one and circumambulated him.
འདི་ལྟ་སྟེ་དཔེར་ན་སྐྱེས་བུ་སྟོབས་དང་ལྡན་པ་ཞིག་གིས་ལག་པ་བསྐུམ་པ་རྐྱོང་བར་བྱེད་པའམ། བརྐྱང་བ་སྐུམ་པར་བྱེད་པའི་སྐད་ཅིག་དེས་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ནས་མི་སྣང་བར་གྱུར་ནས། འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་འདུག་སྟེ། ||| Then, as fast as an athlete can stretch out or bend an arm, he disappeared from that universe and arrived at once in the world of Enduring.
དེ་རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| There he proceeded to the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha and the place where the blessed Śākyamuni was residing, bowed his head to his feet in homage, sat to one side, and said,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ལ་གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་དེ་བཞིན་གཤེགས་པ་ཡུལ་མཐའ་ཡས་པར་མངོན་དུ་འཕགས་པའི་རྒྱལ་པོ་སྙུན་གསོལ་ལགས་སོ། ། ||| “Blessed One, the blessed Superior King of the Infinite Field inquires whether you have encountered but little hardship or discomfort, and whether you remain healthy, strong, and at ease.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་ཅི་བཅོམ་ལྡན་འདས་དེ་སྙུན་མི་མངའ་འམ། སྟོབས་དང་ལྡན་ནམ། འགྱུར་བ་མི་མངའ་འམ། ||| “Noble son,” “is that blessed one free from harm, is he strong, and does he remain unchanged?”
དེས་གསོལ་པ། ||| answered the bodhisattva.
བཅོམ་ལྡན་འདས་དེ་ལྟར་ལགས་སོ། ། ||| “Yes, indeed, Blessed One,”
དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་ཡུལ་མཐའ་ཡས་པར་མངོན་དུ་འཕགས་པའི་རྒྱལ་པོ་ལ་སོགས་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་བརྩོན་འགྲུས་མངོན་དུ་འཕགས་པའི་རྒྱལ་པོའི་སངས་རྒྱས་ཀྱི་ཞིང་དང་། དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་ཡིད་གཉིས་ཡང་དག་འཇོམས་དང་། རྒྱུ་སྐར་བཟང་པོའི་རྒྱལ་པོ་དང་། ཉིན་མཛད་དང་། འོད་མཛད་དང་། ལྷུན་པོ་འོད་དང་། འོད་ཀྱི་དཀྱིལ་འཁོར་དང་། རྣམ་པར་དག་པའི་འོད་དང་། ཟས་ཀྱི་གདུགས་དང་། སྤོས་ཀྱི་གདུགས་དང་། རིན་ཆེན་གདུགས་དང་། ཙན་དན་གྱི་ཁང་པ་དང་། དགའ་བའི་དཔལ་དང་། རི་རབ་ཕུང་པོ་དང་། རིན་པོ་ཆེའི་འོད་དང་། སཱ་ལའི་དབང་པོའི་རྒྱལ་པོ་དང་། ཚངས་པའི་དཔལ་དང་། རྣམ་པར་དག་པའི་སྤྱན་དང་། བག་ཚ་བ་མི་མངའ་བ་དང་། སྤུ་ཟིང་ཞེས་བྱེད་པའི་འཇིགས་པ་དང་བྲལ་བ་དང་། རིན་ཆེན་གོ་ཆ་མཐའ་ཡས་དང་། བླ་ན་མེད་པའི་འོད་ཟེར་དང་། དེ་བཞིན་གཤེགས་པ་དྲ་བ་ཅན་གྱི་འོད་ཀྱི་ཏོག་དང་། དེ་བཞིན་གཤེགས་པ་རྒྱུའི་རྒྱལ་པོའི་སངས་རྒྱས་ཀྱི་ཞིང་དང་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ལ་སོགས་པ་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་གི་སངས་རྒྱས་ཀྱི་ཞིང་དག་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ག་ལ་བ་དང་། རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ ||| In this way there arrived innumerably and unfathomably many bodhisattva great beings, all held back by just a single birth. They came from the buddha realm of the thus-gone Superior King of the Infinite Field, the buddha realm of the blessed thus-gone King of Superior Diligence, and the buddha realms of other blessed ones such as Conqueror of All Doubt, Sunakṣatra, Divākara, Prabhaṅkara, Mountain of Light, Prabhāmaṇḍala, Pure Light , Parasol of Nourishment, Parasol of Incense, Ratnacchatra, Sandalwood Mansion, Śrīharṣa, Meruskandha, Ratnaprabha, King of Sal Trees, Brahmā Glory, Viśuddhanetra, Niśaṅka, He Whose Body Hairs Never Rise in Fear, Infinite Jewel Armor , Unsurpassable Light Rays, the thus-gone Light Net Crest, and the thus-gone King of Causes. Arriving in the world of Enduring, they proceeded to the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha and the place where the Blessed One was residing.
ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| There they bowed their heads to the Blessed One’s feet and sat to one side.
དེའི་ཚེ་ཤར་ལྷོའི་ཕྱོགས་མཚམས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སངས་རྒྱས་པད་མའི་མེ་ཏོག་འབྱུང་བའི་དཔལ་ཞེས་བྱ་བ་ཡོད་དེ ||| At that time there was in the southeast, beyond innumerable and unfathomable universes, a universe known as Splendid Source of Buddha Lotuses.
དེ་ན་དེ་བཞིན་གཤེགས་པ་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་སྐུ་ཀུན་ཏུ་སྟོན་པའི་དཔལ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resided the thus-gone Splendid Display of the Body of All the Buddhas.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he taught the Dharma.
བཅོམ་ལྡན་འདས་དེས་བྱང་ཆུབ་སེམས་དཔའ་རྒྱལ་ཚབ་མྱ་ངན་བྲལ་ཞེས་བྱ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ཏོ། ། ||| This blessed one had prophesied that a bodhisattva known as Vigataśoka would awaken to unsurpassable and perfect buddhahood.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་མྱ་ངན་བྲལ་གྱིས་སྣང་བ་ཆེན་པོ་དེ་མཐོང་ཞིང་གསུང་བསལ་བའི་སྒྲ་དེ་ཡང་ཐོས་སོ། ། ||| That bodhisattva had also noticed the great light and heard the sound of the clear voice.
ཐོས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་སྐུ་ཀུན་ཏུ་སྟོན་པའི་དཔལ་དེ་ག་ལ་བ་དེར་སོང་སྟེ། བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་ཕྱག་འཚལ་ནས་བཅོམ་ལྡན་འདས་དེ་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| He therefore went before the thus-gone Splendid Display of the Body of All the Buddhas, prostrated to him, and asked,
བཅོམ་ལྡན་འདས་འོད་གདའ་བ་དེ་དང་། གསུང་བསལ་བའི་སྒྲ་གྲག་པ་དེ་སུའི་ལགས། ||| “Blessed One, whose is this light and clear voice?”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་ནུབ་བྱང་གི་ཕྱོགས་མཚམས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ཅེས་བྱ་བ་ཡོད་དེ ||| “Noble son,” “in the northwest, beyond innumerable and unfathomable universes, lies a universe known as Enduring.
དེ་ན་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resides the thus-gone Śākyamuni.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he teaches the Dharma.
འདི་ལྟ་སྟེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བསམ་གྱིས་མི་ཁྱབ་ཅིང་དཔེ་མེད་པའི་གོ་ཆ་བགོས་པ་རྣམས་ལ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཡང་དག་པར་རབ་ཏུ་སྟོན་ཏོ། ། ||| Presently he is delivering the Dharma teaching known as the Bodhisattva Collection to a gathering of bodhisattva great beings who bear an inconceivable and incomparable armor.”
གསོལ་པ། ||| said the bodhisattva,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བགྱི་བ་དང་། བསྙེན་བཀུར་བགྱི་བའི་སླད་དུ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་བདག་མཆི་བར་བགྱིའོ། ། ||| “Blessed One,” “I wish to travel to that world of Enduring so that I may see, venerate, and serve the blessed thus-gone Śākyamuni.”
