༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
ཀུན་དགའ་བོ་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ནི་དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པར་ཟག་པ་དང་བཅས་པ་དང་། ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་དེ་དག་ཐམས་ཅད་ཀྱི་མཆོག་ཅེས་བརྗོད་པ་ཡིན་ཞིང་གོང་ན་མེད་པ་ཞེས་བྱ་བའི་བར་དུ་བརྗོད་པ་ཡིན་པའི་ཕྱིར་རོ། ||| Ānanda, it is because, apart from the discipline of a thus-gone one, the discipline of the bodhisattvas is said to be supreme, foremost, superior, preeminent, sublime, unsurpassed, and unexcelled in comparison to any other form of discipline, whether defiled or undefiled.”
།ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལས་ལེའུ་གསུམ་པའོ།། ||| This is the third chapter from “The Perfection of Discipline.”
།།བམ་པོ་བཞི་པ། ||| Chapter 4
དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་འདི་དང་ཉེ་བའི་འབུམ་གྱི་འཇིག་རྟེན་གྱི་ཁམས་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཆོས་སྟོན་ཅིང་བཞུགས་པ་ཞིག་མཐོང་ངོ་། ||| By the power of the Buddha, Venerable Śāradvatīputra now saw a blessed buddha teaching the Dharma in a world that was one hundred thousand worlds away.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་འདི་དང་ཉེ་བའི་འབུམ་གྱི་འཇིག་རྟེན་གྱི་ཁམས་ན། དེ་བཞིན་གཤེགས་པ་ཞིག་ཆོས་སྟོན་པ་ཁྱོད་ཀྱིས་མཐོང་ངམ། གསོལ་པ། ||| The Blessed One then asked Venerable Śāradvatīputra, “Śāradvatīputra, do you see that thus-gone one teaching the Dharma in that world, which is one hundred thousand worlds away?”
བཅོམ་ལྡན་འདས་མཐོང་ལགས་ན། ||| Venerable Śāradvatīputra said, “Blessed One, yes, I see him.
བཅོམ་ལྡན་འདས་དེ་ནི་གང་ལགས། ||| But, Blessed One, who is he?
འཇིག་རྟེན་གྱི་ཁམས་སངས་རྒྱས་ཀྱི་ཞིང་དེའི་མིང་ནི་ཅི་ཞེས་བགྱི། ||| And what is that buddhafield called?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་འཇིག་རྟེན་གྱི་ཁམས་དེའི་མིང་ནི་སྒྲོན་མ་ཞེས་བྱའོ། །སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཆོས་སྟོན་པ་དེའི་མཚན་ནི་ཟླ་འོད་ཅེས་བྱའོ། ||| The Blessed One said, “Śāradvatīputra, that world is called Torch and the blessed buddha who teaches there is called Moonlight.
།དེའི་ཉན་ཐོས་རྫུ་འཕྲུལ་དང་ལྡན་པ་མགོ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| In that world there is also a hearer known as Head, who possesses miraculous abilities.
དེས་རྫུ་འཕྲུལ་གྱིས་རིའི་རྒྱལ་པོ་རི་རབ་འཇིག་རྟེན་གྱི་ཁམས་གཞན་ནས་ལག་པས་བླངས་ཏེ། ||| With these abilities he lifted up from another realm Mount Meru, the king of mountains, with his bare hands and hurled it up into the Brahmā realm.
ཚངས་པའི་འཇིག་རྟེན་དུ་ཐུག་པར་འཕངས་ནས་དེའི་བར་སྐབས་སུ་བྱང་ཆུབ་སེམས་དཔས་ཚིག་འདི་སྐད་ཅེས་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་དེ་བཞིན་གཤེགས་པའི་ཚུལ་ཁྲིམས་མ་གཏོགས་པར་དེ་ལས་གཞན་པའི་ཟག་པ་དང་བཅས་པའམ། ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་གང་དག་ཡིན་པ་རྣམས་ཀྱི་མཆོག་ཏུ་བརྗོད་པ་ཡིན་ཞེ་ན། ||| However, while he was doing so, one bodhisattva remarked, ‘Apart from the discipline of a thus-gone one, the discipline of the bodhisattvas is supreme when compared to any other form of discipline, whether defiled or undefiled!
ཇི་ལྟར་དེ་བཞིན་གཤེགས་པ་བདེན་པ་གསུང་བ་ལྟར་བདེན་པ་དང་། བདེན་པའི་ཚིག་དང་། བདེན་པའི་བྱིན་གྱི་རླབས་དེས་རིའི་རྒྱལ་པོ་རི་རབ་འདི་ནམ་མཁའ་བར་སྣང་དེ་ཉིད་དུ་འདུག་ཤིག་ཅེས་སྨྲས་པ་དང་། ||| By this statement, just as the Thus-Gone One speaks the truth, may the truth, the true statements, and the blessings of the truth cause Mount Meru, the king of mountains, to stay suspended in the sky just where it is.’
དེ་ནས་རིའི་རྒྱལ་པོ་རི་རབ་དེ་ནམ་མཁའ་བར་སྣང་དེ་ཉིད་དུ་འདུག་གོ། ||| Accordingly, Mount Meru, the king of mountains, has remained suspended in that very place in the sky.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་ཁྱོད་ཀྱིས་རིའི་རྒྱལ་པོ་རི་རབ་ནམ་མཁའ་བར་སྣང་གོ་འབྱེད་ན་འདུག་པ་འདི་མཐོང་ངམ། ||| Then the Blessed One asked Venerable Śāradvatīputra, “Śāradvatīputra, do you see Mount Meru, the king of mountains, suspended in midair there in the sky?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| Śāradvatīputra said, “Yes, Blessed One, I see it.”
བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་རིའི་རྒྱལ་པོ་རི་རབ་ས་ལ་མ་ལྷུང་ཤིག །གང་ནས་འོངས་པ་དེ་ཉིད་དུ་འགྲོ་བར་གྱུར་ཅིག་ཅེས་བྱང་ཆུབ་སེམས་དཔས་རིའི་རྒྱལ་པོ་རི་རབ་འདི་བདེན་པའི་བྱིན་གྱིས་བརླབ་པ་བྱས་སོ། ||| The Blessed One said, “Śāradvatīputra, that bodhisattva has consecrated Mount Meru, the king of mountains, by means of the truth, saying, ‘May Mount Meru, the king of mountains, not fall to earth! May it go to the very place it came from!’ ”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་གང་དག་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ལ་ཟིལ་གྱིས་གནོན་པར་སེམས་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པའི་ཚུལ་ཁྲིམས་སྤོང་བར་བགྱི་བར་སེམས་པ་ལགས་སོ། ||| Venerable Śāradvatīputra said to the Blessed One, “Blessed One, if one intends to surpass the discipline of the bodhisattvas, that amounts to intending to abandon the discipline of the Thus-Gone One.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is that?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་ནི་ཟིལ་གྱིས་མི་ནོན་པ་ལགས་པའི་སླད་དུའོ། ||| Because the discipline of the bodhisattva great beings cannot be surpassed.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་གང་ལྡོག་པ་དེའི་ཚུལ་ཁྲིམས་ཀྱང་ཟིལ་གྱིས་མི་ནོན་པ་ཡིན་ནམ། ||| Venerable Pūrṇa Maitrāyaṇīputra asked Venerable Śāradvatīputra, “Venerable Śāradvatīputra, is it not possible to surpass the discipline of a bodhisattva who has regressed?”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་སེམས་དཔའི་སེམས་ལ་གནས་པ་ནི་ཕྱིར་ལྡོག་པར་མི་འགྱུར་ཏེ། ||| Venerable Śāradvatīputra said, “Venerable Pūrṇa, since bodhisattvas maintain the mind of awakening, they cannot regress.
གང་ཕྱིར་ལྡོག་པ་དེ་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་ཀྱང་མི་བྱའོ། ||| If one regresses, that person should not be called a bodhisattva.
།ཚེ་དང་ལྡན་པ་གང་པོ་དཔེར་ན་གལ་ཏེ་འཕོང་གི་སློབ་དཔོན་གྱིས་མདའ་གཟས་པ་བཞིན་མི་འགྲོ་ན་དེ་འཕོང་གི་སློབ་དཔོན་ཞེས་མི་བྱའོ། ། ||| Venerable Pūrṇa, as an analogy, if a master archer fails to hit a target with his arrow, he should not be called a master archer.
ཚེ་དང་ལྡན་པ་གང་པོ་དེ་བཞིན་དུ་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའི་སེམས་དང་སེམས་ལས་བྱུང་བ་རྣམས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དང་མི་ལྡན་པ་འབྱུང་ངམ། ཡང་ན་སྦྱིན་པ་སྦྱིན་ནམ། ཚུལ་ཁྲིམས་སྲུང་ངམ། བཟོད་པ་སྒྲུབ་བམ། བརྩོན་འགྲུས་རྩོམ་མམ། བསམ་གཏན་རྣམས་ལ་མཉམ་པར་འཇོག་གམ། ཤེས་རབ་སྒོམ་ཡང་རུང་སྟེ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་མི་སྔོ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ཚུལ་ཁྲིམས་དང་ལྡན་པ་ཞེས་མི་བྱའོ། ||| Venerable Pūrṇa, likewise, if the mind and thoughts of bodhisattvas are not directed toward the state of omniscience, or if they practice generosity, observe discipline, cultivate patience, apply diligence, rest in concentration, or cultivate insight without dedicating the merit toward the state of omniscience, such bodhisattvas should not be described as observing discipline.
།ཚེ་དང་ལྡན་པ་གང་པོ་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཇི་ལྟར་ཡོངས་སུ་བསྔོ་བ་ཡང་མི་ཤེས་ལ་ཉན་ཐོས་ཀྱི་སའམ། རང་སངས་རྒྱས་ཀྱི་སར་ཡང་ཡོངས་སུ་སྔོ་བར་མི་བྱེད་ན་ཡོངས་སུ་བསྔོ་བ་མེད་དུ་ཟིན་ཀྱང་ཚུལ་ཁྲིམས་དང་ལྡན་པ་ཞེས་བྱའོ། ||| Venerable Pūrṇa, even if bodhisattvas do not know how to dedicate toward the state of omniscience and accordingly do not perform any dedication of merit, it could still be said that they observe discipline as long as they abstain from any dedication aimed at the levels of the hearers or the solitary buddhas.
།ཡོངས་སུ་སྔོ་བར་བྱེད་ན་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡང་དག་པའི་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་འཛིན་པ་ཡིན་ཏེ། ||| However, it is by proper dedication that bodhisattva great beings genuinely uphold the perfection of discipline. “
འོན་ཀྱང་ཚེ་དང་ལྡན་པ་གང་པོ་གཅིག་ནི་ཡུན་རིང་མོ་ཞིག་ནས་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ལ་ཅིག་ཤོས་ནི་འདི་ལྟ་སྟེ། ཐབས་ལ་མཁས་པས་མྱུར་དུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ཏེ། ||| Venerable Pūrṇa, that said, some bodhisattvas only awaken after a long time while others, who are skilled in means, can awaken in a short time.
