༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
།དེ་ལྟར་བྱའོ་ཞེས་ཏེ་རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་རྔོན་པ་དང་བྱ་པ་དེ་དག་གི་ལྟར་མཉན་ནས། གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིའི་ནང་ཤིན་ཏུ་ཕྱག་དར་བྱེད་དུ་བཅུག ། ||| “King Brahmadatta listened to what the hunters said, and he had the city of Vārāṇasī swept clean.
སྤོས་ཆུས་ཆག་ཆག་འདེབས་སུ་བཅུག །མེ་ཏོག་སིལ་མ་འགྲེམས་སུ་བཅུག །གདུགས་དང་བ་དན་འབྲེར་བཅུག །རྒྱལ་མཚན་སྒྲེང་དུ་བཅུག །པོག་ཕོར་ནས་བདུག་པས་བདུག་ཏུ་བཅུག །རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་རྟ་བྱེད་དུ་བཅུག་ནས་ཞག་བདུན་འདས་པ་དང་། དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་གོ་གྱོན་དུ་བཅུག་སྟེ། ||| He had scented water sprinkled, flower petals scattered, parasols and pennants hung, banners raised, incense burned in censers, and a chariot prepared that was adorned with the seven jewels.
དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་གོ་བགོས་ནས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་རྟ་དྲངས་ཏེ། ||| When seven days had passed, he gathered the four divisions of his army and had them don their armor.
དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་དང་ལྷན་ཅིག་ཏུ་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ག་ལ་བ་དེར་སོང་བ་དང་། རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་དེ་བདག་ཉིད་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་རྟ་ལ་ཞོན་ཏེ་སྐད་ཕྱུང་བ་དང་། དེའི་སྐད་ཀྱིས་དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་ཁྱབ་པར་གྲག་ནས། ||| Leading the chariot adorned with the seven jewels, the king and the four divisions of his army went to the southern slope of the snowy king of mountains. “The peacock king Suvarṇāvabhāsa mounted the seven-jeweled chariot and let out a cry that resounded through the four divisions of the army.
རྒྱལ་པོ་ཚངས་པས་བྱིན་དགའ་མགུ་ཡི་རངས་ཏེ་རབ་ཏུ་དགའ་ནས་དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ཏེ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་དེ་ལ་བཀུར་སྟི་བྱེད་དུ་བཅུག །བླ་མར་བྱེད་དུ་བཅུག །རིམ་གྲོ་བྱེད་དུ་བཅུག །མཆོད་པ་བྱེད་དུ་བཅུག་ནས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་དང་ལྷན་ཅིག་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱི་ག་ལ་བ་དེར་སོང་བ་དང་། གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིའི་སྒོར་འདུག་ནས་སྐད་ཕྱུང་སྟེ། ||| King Brahmadatta was delighted and overjoyed. Pleased and happy, he had the peacock king Suvarṇāvabhāsa treated with honor and respect. He attended to him and offered him veneration. Then, accompanied by the peacock king Suvarṇāvabhāsa, he returned to Vārāṇasī.
དེའི་སྐད་དེས་གྲོང་ཁྱེར་དེ་ཐམས་ཅད་ཁྱབ་པར་གྲག་གོ། །དེ་ནས་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱི་ན་སྐྱེས་པ་དང་། བུད་མེད་དང་། ཁྱེའུ་དང་། བུ་མོ་གང་དག་གནས་པ་དེ་དག་གྲོང་ཁྱེར་གྱི་སྒོ་ག་ལ་བ་དེར་རབ་ཏུ་རྒྱུག་གོ། ||| At the gate to the city, Suvarṇāvabhāsa let out a cry that resounded through the whole city, and all the men, women, boys, and girls who lived in Vārāṇasī rushed to the city gate.
།དེ་ནས་རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ལ་བཀུར་སྟི་བྱེད་དུ་བཅུག །བླ་མར་བྱེད་དུ་བཅུག །རིམ་གྲོ་བྱེད་དུ་བཅུག །མཆོད་པ་བྱེད་དུ་བཅུག་ནས། ||| “King Brahmadatta treated Suvarṇāvabhāsa with honor and respect, attending to him and offering veneration.
རང་གི་ཁྱིམ་ག་ལ་བ་དང་། བཙུན་མོ་དཔེ་མེད་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| They then went to his home, where Queen Anupamā was waiting.
བཙུན་མོ་དཔེ་མེད་ལ་འདི་སྐད་ཅེས་སྨྲས་ཏེ། ལྷ་མོ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་འདི་ནི་ཁྱོད་ཀྱི་གན་དུ་རང་འོངས་སོ་ཞེས་སྨྲས་སོ། ||| When they arrived, the king said to her, ‘My lady, the peacock king Suvarṇāvabhāsa approaches.’
།རྒྱལ་པོ་ཚངས་པས་བྱིན་དེ་བདག་ཉིད་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ལ་མེ་ཏོག་དང་འབྲས་བུ་རྣམས་ཀྱིས་རིམ་གྲོ་བྱེད་དོ། ||| “King Brahmadatta himself served Suvarṇāvabhāsa with flowers and fruits.
།དེའི་ཚེ་དུས་གཞན་ཞིག་ན་རྒྱལ་པོ་ཚངས་པས་བྱིན་བྲེལ་བ་ཞིག་བྱུང་ནས་དེས་འདི་སྙམ་དུ་བསམས་ཏེ། སུས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ལ་རིམ་གྲོ་བྱེད་ནུས་སྙམ་ནས། དེས་ཡང་འདི་སྙམ་དུ་བསམས་ཏེ། བཙུན་མོ་དཔེ་མེད་ནི་མཁས་པ། ཤེས་རབ་ཆེན་པོ་དང་ལྡན་པ་སྟེ། ||| But on one occasion when King Brahmadatta had other obligations, he thought, ‘Who can serve the peacock king Suvarṇāvabhāsa?’ Then the thought occurred to him, ‘Queen Anupamā is clever and very wise; I think she can do it.’
དེས་ནུས་སོ་སྙམ་མོ། །དེ་ནས་རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་བཙུན་མོ་དཔེ་མེད་ལ་བོས་ཏེ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ལྷ་མོ་ཁྱོད་ཀྱིས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་འདི་ངས་ཇི་ལྟར་རིམ་གྲོ་བྱས་པ་བཞིན་དུ་བདག་ཉིད་ཀྱིས་རིམ་གྲོ་གྱིས་ཤིག ། དེ་ནས་རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱི་བཙུན་མོ་དཔེ་མེད་བདག་ཉིད་ཀྱིས་མེ་ཏོག་དང་འབྲས་བུ་རྣམས་ཀྱིས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་དེ་ལ་བསྙེན་བཀུར་བྱེད་དོ། ||| King Brahmadatta summoned Queen Anupamā and said to her, ‘My lady, please attend to the peacock king Suvarṇāvabhāsa, just as I have served him.’ Then Anupamā, the queen of King Brahmadatta, attended to Suvarṇāvabhāsa herself with flowers and fruit.
།དེའི་ཚེ་དུས་གཞན་ཞིག་ན་བཙུན་མོ་དཔེ་མེད་སྐྱེས་པ་གཞན་ལ་ཆགས་པར་གྱུར་ཏེ། ||| “At one point, Queen Anupamā developed an attraction to another man.
དེ་ནས་བཙུན་མོ་དཔེ་མེད་ཀྱིས་འདི་སྙམ་དུ་བསམས་སོ། །རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་འདི་ནི་མིའི་སྐད་དུ་སྨྲ་བས་དེས་གཏམ་འདི་རྒྱལ་པོ་ཚངས་པས་བྱིན་ལ་མི་བསྙད་གྲང་། ||| She thought, ‘The peacock king Suvarṇāvabhāsa speaks the human language, so might he not tell this tale to King Brahmadatta?
རྒྱལ་པོ་ཚངས་པས་བྱིན་དེས་ཀྱང་བདག་བཟུང་སྟེ་མི་བསད་གྲང་སྙམ་ནས། དེ་ནས་བུད་མེད་དེས་བྱའི་རྒྱལ་པོ་དེ་ལ་ཟས་དུག་ཅན་དང་། སྐོམ་དུག་ཅན་བྱིན་ནོ། ||| Might the king not arrest and execute me?’ The woman then gave the peacock king food and drink laced with poison.
།བུད་མེད་དེས་རྨ་བྱའི་རྒྱལ་པོ་དེ་ལ་ཇི་ལྟ་ཇི་ལྟར་ཟས་དུག་ཅན་དང་། སྐོམ་དུག་ཅན་བྱིན་པ་དེ་ལྟ་དེ་ལྟར་རྨ་བྱའི་རྒྱལ་པོ་དེའི་ལུས་གཟུགས་ཆེས་བཟང་བ་དང་། ཆེས་མཛེས་པ་དང་། ཆེས་བལྟ་ན་སྡུག་པ་དང་། ཆེས་འོད་གསལ་བར་གྱུར་ཏོ། ||| But no matter how much poisoned food and drink she gave to him, his body became that much finer, more beautiful, more attractive, and more radiant.
།དེ་ནས་བཙུན་མོ་དཔེ་མེད་ཀྱིས་འདི་སྙམ་དུ་སེམས་ཏེ། རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ལ་བདག་གིས་ཇི་ལྟ་ཇི་ལྟར་ཟས་དུག་ཅན་དང་། སྐོམ་དུག་ཅན་བྱིན་པ་དེ་ལྟ་དེ་ལྟར་འདིའི་ལུས་གཟུགས་ཆེས་བཟང་བ་དང་། ཆེས་མཛེས་པ་དང་། ཆེས་བལྟ་ན་སྡུག་པ་དང་། ཆེས་འོད་གསལ་བར་གྱུར་ཏོ་སྙམ་མོ། ||| “Then Queen Anupamā thought, ‘No matter how much poisoned food and drink I give to the peacock king Suvarṇāvabhāsa, his body becomes that much finer, more beautiful, more attractive, and more radiant!’
།དེ་ནས་བཙུན་མོ་དཔེ་མེད་ལ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བས་འདི་སྐད་ཅེས་སྨྲས་སོ། །རྐུན་མ་རྐུན་མ་ཁྱོད་ཀྱི་ངས་ཤེས་ཏེ། ||| “The peacock king Suvarṇāvabhāsa then said to Queen Anupamā, ‘Villain, villain, I know about you!
ཁྱོད་འདི་སྙམ་དུ་བདག་ནི་སྐྱེས་པ་གཞན་ལ་ཆགས་པར་གྱུར་ལ། ||| You thought, “I’ve become attracted to another man, and this bird knows about it.
བྱ་འདིས་ཤེས་ཏེ་འདི་ཡང་མི་སྐད་སྨྲ་བས་འདིས་གཏམ་འདི་རྒྱལ་པོ་ཚངས་པས་བྱིན་ལ་མི་བསྙད་གྲང་། ||| Since he speaks the human language, might he not tell this tale to the king?
