༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
ཏད་ཡ་ཐཱ། མ་ནཱ་ཀྵ་ཨ་ནཱ་ཀྵ། གྷ་ས་ཀྵ། ཛ་ལ་ཀྵ། མཱ་ནཱ་ཀྵ། ཀྵ་བ་ཀྵ། མན་དྷཱ་ཀྵ། ན་ཌ་ཀྵ། ན་ཌ་ར་ར་ཧུ་བི་ས་ནཱ་ཏ། ཁ་གྷ་ནཱ་ཊ། ཨཱ་ཊ་ནཱ་ཊ་ཀུ་ནཱ་ཊ། པ་རི་ཀུ་ས་ནཱ་ཊ། ནཱ་ཊ་ནཱ་ཊ། པུ་རི་ཀྵ་ནཱ་ཊ། ཨུ་ཊ་ར་ནཱ་ཊ། ཀ་བི་ནཱ་ཊ། ཀུན་ཛ་ནཱ་ཊ། ཨ་མ་ཁ་ནཱ་ཊ། ཙ་བ་མ་བྷ་ནཱ་ཊ། ཁ་ག་མ་བྷ་ནཱ་ཊ། པུ་ཀྵ་ར་ནཱ་ཊ། ཧི་ས་དུ་དྲཱ་ནཱ་ཊ། ས་མ་ལ་ཡ་ནཱ་ཊ། ཤི་ར་ཀུ་མང་ཀཽ་ཏ་ཊ་མ་ཏུ་གུ་ར་བ། ཏྭེ་ཧུ་ཀྵ། བ་ནི་ར་ཛཱུ། དྷྭ་ན་མ་ར་ཛཱུ། བ་གྷ་ན་པུ་ཏེ། ས་ན་ཏི་ར་བ་ཛ་བ། མ་ཧོ་ར་ག་ཛ་ལ། ཨ་ཏྲི་ནཱ། ཨ་ཏྲི་ནཱ། ཨ་ཏྲི་ནཱ་ན་བ། ཨ་ཏྲི་ནཱ་ཀྵ། ཨ་བ་ཧ་མཱརྒ་ཏྲི་ནཱ་ཀྵ། ཨེ་ཥོ་ན་ཏཽ་དུཿཁ་བྷ་ར་སྱ་སྭཱ་ཧཱ། ||| tadyathā: manākṣa anākṣa ghasākṣa jālakṣa mānākṣa kṣavakṣa mandhākṣa naḍakṣa naḍararahuvisanāta khaghanāṭa āṭanāṭakunāṭa parikusanāṭa nāṭanāṭa purikṣanāṭa utaranāṭa kavināṭa kunjanāṭa amakhanāṭa cavamabhanāṭa khagamabhanāṭa pukṣaranāṭa hisadudrānāṭa samalayanāṭa śirakumaṅkautaṭamatugurava tvehukṣa vanirajū dhvanamarajū vaghanapute santiravajava mahoragajala atrinā atrinā atrinānava atrinākṣa avahamārgatrinākṣa eṣonatauduḥkhabharasya svāhā.
བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དཔལ་མེ་ཏོག་གི་སྙིང་པོས་རིག་པ་མཆིས་པའི་སྦུབས་ཞི་བ་ལུང་བསྟན་པ་ཆེན་པོ་མཐུ་ཆེ་བ་ཕན་ཡོན་ཆེ་བ་འདི་འདིར་བསྐུར་བ་ལགས་སོ། ||| “Respected Blessed One, the thus-gone Glorious Essence of Flowers confers here this powerful and beneficial great teaching of the peaceful core of knowledge.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པས་ལེགས་སོ་ཞེས་བྱ་བ་གནང་ངོ་། །བསམ་གཏན་ལ་བརྩོན་པ་རྣམས་མ་གཏོགས་པ་སངས་རྒྱས་ཀྱི་ཞིང་མི་མཇེད་དུ་ལྷགས་པའི་སེམས་ཅན་ཐམས་ཅད་དང་ལྡན་པ་རྣམས་ཀྱིས་ཀྱང་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནོ། ||| The blessed Śākyamuni expressed his approval, as did all the sentient beings who had assembled in the buddha realm of Sahā—except for those who were exerting themselves in concentration.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་ང་སྟན་འདི་ཉིད་ལ་བཞུགས་བཞིན་དུ་སེམས་ཅན་རྣམས་ལ་རིག་པ་ཡོད་པའི་སྦུབས་ཞི་བའི་གཟུངས་སྔགས་དོན་དང་བཅས་པ། ཚིག་འབྲུ་དང་བཅས་པ། ལྷག་ཆད་མེད་པ་འདི་རྒྱ་ཆེར་སྟོན་པར་མཛད་དོ། ||| Then the Blessed One said to the bodhisattva great being Ākāśagarbha, “Noble son, while sitting here on this seat, I shall teach extensively to sentient beings, with both meaning and words and without adding or omitting anything, this dhāraṇī mantra peaceful core of knowledge.
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་དཔལ་མེ་ཏོག་གི་སྙིང་པོ་དེས་གང་ཁྱོད་ཆས་པའི་དུས་ཀྱི་ཚེ་གསང་སྔགས་གང་དག་གིས་སྡང་བ་ཐམས་ཅད་དད་པར་འགྱུར་བའི་གཟུངས་སྔགས་སྡང་བ་ཞི་བར་བྱེད་པ་དང་། གཉིད་ཀྱིས་ལོག་པར་བྱེད་པ་དང་། དམིགས་པ་མེད་པའི་ཚངས་པའི་གནས་པའི་རྒྱུ་འཐུན་པ་བྱིན་པ་དེ་ཁྱོད་ཀྱིས་ཀྱང་སྟོན་ཅིག །བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་བསྟན་པར་བགྱི་ལགས་སོ། ། ||| Noble son, please also reveal the mantra that the thus-gone Glorious Essence of Flowers gave when you departed, the dhāraṇī mantra that is the outcome of the sublime states free from concepts and through which all hostile beings develop faith, become pacified, and fall asleep.” “Respected Blessed One, I shall do so:
ཏད་ཡ་ཐཱ། བོ་པྲྀ་ཧ་བུ་བུ་བུ་ར། ཏ་ལ་ར་བ་ཨི་ལ་ས་ཧ། ཧ་ཌུ་ཧ་ཊུ། ག་ག་ནཱ་ཀྵ་ཤ་མ་མི་ཏྲ། ཙ་ཀྲ་བརྟི་ཏི་ལེ་སཱ་ག་ར། ཏི་ལེ་དཱུ་ན་ཧི་ལེ། ཧི་ལེ་ཧ་བ་ཧེ། ན་ར་ཛ་ཊེ། ཡ་བ་ན་མི་ཏྲེ། ཀྵི་ཏི་མི་ཏྲེ། པར་མི་ཏྲེ། ཤི་ཁི་མི་ཏྲེ། མ་རུ་ཏྲ་མི་ཏྲེ། ཁ་ག་མི་ཏྲེ། སརྦ་ཨུ་ཛ་མི་ཏྲ། སརྦ་ཀཱ་མ་མི་ཏྲེ། མ་ན་པ་རུ་མི་ཏྲེ། དྷ་ན་ཤྭ་ར་མི་ཏྲེ་སྭཱ་ཧཱ། ||| tadyathā: vovṛhabubura talarava ilasaha haṭūhaṭū gaganākṣaśamamitra cakravrtitilesāgara tiledūnahile hilehavahe narajaṭe yavanamitre kṣitimitre paramitre śikhimitre marutramitre khagamitre sarva ujamitre sarvakāmamitre manaparumitre dhanaśvaramitre svāhā.”
ཀྱེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོས་སྡང་བ་ཞི་བར་བྱེད་པ། གཉིད་ཀྱིས་ལོག་པར་བྱེད་པའི་བསྟན་པ་འདི་བཤད་པ་ན་སྡང་བའི་སྦྲུལ་ཐམས་ཅད་རང་གི་གནས་སུ་དོང་ནས་གཉིད་ཀྱིས་ལོག་པར་གྱུར་ཏེ། གང་དག་བཟོད་པ་ཐོབ་པ་རྣམས་དང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་རྣམས་ནི་མ་གཏོགས་སོ། ||| Oh! As this teaching that pacifies hostile beings and puts them to sleep was being uttered by the bodhisattva great being Ākāśagarbha, all hostile snakes—except for those who had reached acceptance and those who had reached the level of nonregression on the path to unsurpassed and perfect awakening—left for their respective places and fell asleep.
།སྲིད་པ་ན་གང་དག་སྡང་བའི་གནོད་སྦྱིན་རྣམས་དང་། གང་དག་སྡང་བའི་ལྷ་མ་ཡིན་རྣམས་དང་ཞེས་བྱ་བ་ནས་སྡང་བའི་ནམ་མཁའ་ལྡིང་རྣམས་ཞེས་བྱ་བའི་བར་དང་། སྡང་བའི་མི་འམ་ཅི་རྣམས་ཞེས་བྱ་བའི་བར་དང་། ཡི་དགས་རྣམས་ཞེས་བྱ་བའི་བར་དང་། ཤ་ཟ་རྣམས་ཞེས་བྱ་བའི་བར་དང་། སྲུལ་པོ་རྣམས་ཞེས་བྱ་བའི་བར་དང་། གང་དག་སྡང་བའི་ལུས་སྲུལ་པོ་རྣམས་ཞེས་བྱ་བའི་བར་དེ་དག་རང་རང་གི་གནས་སུ་དོ ||| Besides the bodhisattvas who had reached acceptance and the level of nonregression, all hostile yakṣas, asuras, garuḍas, mahoragas, pretas, piśācas, pūtanas, and kaṭapūtanas in saṃsāra also left for their respective places and fell asleep.
ང་ནས་གཉིད་ཀྱིས་ལོག་པར་གྱུར་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་བཟོད་པ་ཐོབ་པ་རྣམས་དང་། ཕྱིར་མི་ལྡོག་པ་རྣམས་ནི་མ་གཏོགས་སོ། །གང་དག་སྡང་བའི་མི་གཟུ་ལུམས་ཅན་དང་། རྩུབ་པ་དང་། སྙིང་བརྩེ་བ་མེད་པ་དང་། ཕན་ཚུན་མི་འཐུན་པ་དང་། རྟག་ཏུ་ཁྲོ་བ་སྤྱོད་པ་དང་། འཇིག་རྟེན་ཕ་རོལ་གྱིས་འཇིགས་པར་མི་ལྟ་བ་དང་། མཚམས་མེད་པ་བྱེད་པ་དང་། དམ་པའི་ཆོས་སྤོང་བར་བྱེད་པ་དང་། འཕགས་པ་ལ་སྐུར་པ་འདེབས་པ་དང་། མི་དགེ་བའི་རྩ་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་སྡང་བ་ཞི་བར་བྱེད་པ། གཉིད་ཀྱིས་ལོག་པར་བྱེད་པའི་བསྟན་པ་འདི་ཐོས་པས་ཐམས་ཅད་མཆོག་ཏུ་བྱམས་པའི་སེམས་དང་ལྡན་པ་དག་དང་། སྙིང་རྗེའི་སེམས་དང་ལྡན་པ་དག་དང་། སྙིང་བརྩེ་བའི་སེམས་དང་ལྡན་པ་དག་དང་། འཁོན་མེད་པའི་སེམས་དང་ལྡན་པ་དག་དང་། མི་འཁྲུགས་པའི་སེམས་དང་ལྡན་པ་དག་དང་། ||| Upon hearing this teaching that pacifies and puts to sleep all the hostile humans who are impetuous, harsh, devoid of affection, and in conflict with one another, as well as those who constantly manifest aggressive behavior, commit the five acts of immediate retribution, reject the sacred Dharma, denigrate the noble ones, and are endowed with the roots of nonvirtue, everyone developed a sincere attitude of love, compassion, and affection and became free of malice and anxiety.
ཆོས་ལ་དམིགས་པའི་སེམས་དང་ལྡན་པ་དག་དང་། འཇིག་རྟེན་ཕ་རོལ་གྱིས་འཇིགས་པའི་སེམས་དང་ལྡན་པ་དག་དང་། དཀོན་མཆོག་གསུམ་ལ་ལྷག་པར་གུས་པའི་སེམས་དང་ལྡན་པ་དག་དང་། ཆོས་ལ་དམིགས་པའི་སེམས་དང་ལྡན་པ་དག་དང་། ཞི་བའི་སེམས་དང་ལྡན་པ་དག་ཏུ་གནས་པར་གྱུར་ཏོ། ||| Everyone focused on the Dharma, began to fear the afterlife, developed sincere respect for the Three Jewels, observed the Dharma, and manifested a peaceful mindset.
།གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དཔལ་མེ་ཏོག་གི་སྙིང་པོ་དེས་བདག་ཆས་པའི་དུས་ཀྱི་ཚེ་བསྲུང་བའི་སླད་དུ་གང་སྡང་བ་ཞི་བར་བགྱིད་པའི་གཟུངས་སྔགས་སྩལ་བ་ནི་འདི་ལགས་སོ། ||| “Respected Blessed One, this is the dhāraṇī mantra that pacifies hostile beings that the thus-gone Glorious Essence of Flowers conferred to protect me when I departed.”
།དེ་ནས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པས་ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ལ་བཀའ་སྩལ་པ། ||| The thus-gone Śākyamuni then said to Venerable Maudgalyāyana,
མཽད་གལ་གྱི་བུ་ཁྱོད་ཀྱིས་སྡང་བ་ཞི་བར་བྱེད་པ་གཉིད་ཀྱིས་ལོག་པར་བྱེད་པའི་གཟུངས་སྔགས་དམིགས་པ་མེད་པའི་ཚངས་པའི་གནས་པའི་རྒྱུ་འཐུན་པ་འདི་ཟུང་ཤིག ། ||| “Maudgalyāyana, remember this dhāraṇī mantra that pacifies and puts to sleep hostile beings and that is the outcome of the sublime states free from concepts!
མཽད་གལ་གྱི་བུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་འཇིག་རྟེན་དུ་འབྱུང་བ་རྙེད་པར་དཀའོ། །དེ་བས་ཀྱང་སྡང་བ་ཞི་བར་བྱེད་པ་གཉིད་ཀྱིས་ལོག་པར་བྱེད་པའི་གཟུངས་སྔགས་དམིགས་པ་མེད་པའི་ཚངས་པའི་གནས་པའི་རྒྱུ་འཐུན་པ་འདི་ཆེས་རྙེད་པར་དཀའོ། ||| Maudgalyāyana, it is rare for thus-gone, worthy, perfect buddhas to appear in the world, but it is much more difficult to obtain this dhāraṇī mantra that is the outcome of the sublime states free from concepts and pacifies and puts to sleep hostile beings.
