འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
ལས་དང་པོ་པའི་བྱང་ཆུབ་སེམས་དཔའ་དེ། བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དགུ་བཅུར་འཁོར་བ་ལས་ཕྱིར་ཕྱོགས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་འགྱུར་རོ། ། ||| Such beginning bodhisattvas, having turned from cyclic existence for ninety-nine trillion eons, will reach unsurpassed and perfect awakening.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་འདི་ཉིད་ཚིགས་སུ་བཅད་པས་བཀའ་སྩལ་པ། ||| The Blessed One then expressed the meaning of this in verse:
གང་ཞིག་འཇིག་རྟེན་འདི་ན་སངས་རྒྱས་ཀྱི། །ཡོན་ཏན་རྒྱ་མཚོའི་མཚན་མཆོག་ཐོབ་གྱུར་པ། ། ||| “Those in this world who hear the supreme name Of this buddha with an ocean of virtues
དེས་ནི་སངས་རྒྱས་བྱེ་བ་ཁྲི་རྣམས་ལ། །མྱུར་དུ་མཆོད་པ་བླ་མེད་རབ་ཏུ་བྱེད། ། ||| Will swiftly perform unsurpassed veneration Of one hundred billion buddhas.
མཐའ་ཡས་དྲི་མེད་ཁྱད་པར་མཆོད་བྱས་ཤིང་། །སྲིད་པ་ཀུན་ཏུ་སངས་རྒྱས་ཆེ་རྣམས་ཀྱི། །ཉི་མ་མཛད་པའི་སྤྱད་པ་སྤྱོད་ནས་སུ། ། ||| “Once they have venerated these limitless beings free from stains, They will engage in the splendorous activity Of the magnificent buddhas in all existences.
ཕྱིས་ནི་བྱང་ཆུབ་དྲན་དབང་དེས་རེག་འགྱུར། ། ||| Later, they will also reach the perfect insight of awakening.
ཇི་ལྟར་གང་གཱའི་བྱེ་སྙེད་རྣམ་པར་འདྲེན། །མང་པོ་དག་ནི་ཚེ་གཅིག་གིས་མཆོད་དེ། །ཀུན་ནས་འོད་ཟེར་ཏིང་ངེ་འཛིན་ཐོབ་ནས། ། ||| “Those who, in a single life, venerate as many guides As there are grains of sand in the Ganges Attain the utterly illuminating absorption
ཕྱིས་ནི་བྱང་ཆུབ་མྱ་ངན་མེད་རེག་འགྱུར། ། ||| And subsequently reach awakening beyond anguish.
བྱང་ཆུབ་དྲི་མེད་བྱང་ཆུབ་ཆེ་ཐོབ་ནས། །ཆོས་ཀྱི་འཁོར་ལོ་དམ་པ་རབ་ཏུ་བསྐོར། ། ||| “Having obtained immaculate awakening, great awakening, They will turn the sublime wheel of Dharma,
སེམས་ཅན་སངས་རྒྱས་བྱང་ཆུབ་མཆོག་བཞག་ནས། །ཆར་ཆུས་མེ་བསད་ལྟར་ནི་མྱ་ངན་འདའ། ། ||| Whereby they will establish beings in the supreme awakening of buddhahood, Transcending anguish just as rainfall quenches flames.
རྐང་གཉིས་འདྲེན་པ་མི་འདུལ་ཁ་ལོ་སྒྱུར། །བསོད་ནམས་ཞིང་སྟེ་བསོད་ནམས་ཕུང་པོ་གཅིག ། ||| “The guide of humans, the charioteer of humans, Is the single field of merit, the single mount of merit.
དེ་ལ་མི་ཡིས་དད་པ་ཙམ་བསྐྱེད་ན། །སྐད་ཅིག་གིས་ནི་མི་ཁོམ་ཐམས་ཅད་སྤོང་། ། ||| If people simply develop faith toward that buddha, They will instantly discard all unfree states.
གང་ཞིག་བདེ་བར་གཤེགས་ཀྱི་མཚན་འདོན་པ། །མི་ལུས་རྙེད་པ་དལ་བ་གཅིག་ཐོབ་ནས། ། ||| “Those who recite the name of this blissful one Will obtain human bodies and gain leisure.
མཐའ་ཡས་རྒྱ་མཚོ་དེ་བཞིན་གཤེགས་བཞུགས་ལ། །མི་ཡི་མཁས་པ་བསོད་ནམས་རབ་ཏུ་བྱེད། ། ||| Then these wise persons will create merit In the limitless ocean wherein the thus-gone ones dwell.
སངས་རྒྱས་མཚན་ནི་སྟོང་ཕྲག་བརྒྱ་ཙམ་དུ། །གོམས་བྱེད་དེ་ནི་རྗེས་འཐུན་བཟོད་པ་ཐོབ། ། ||| “Those who chant the name of this buddha A mere one hundred thousand times will attain concordant acceptance
ལྷ་ཡི་མིག་ཐོབ་ཇི་ལྟར་ང་ཡིས་ནི། །སངས་རྒྱས་མར་མེ་མཛད་མཐོང་མེ་ཏོག་གིས། །གཏོར་བ་བྱས་ནས་བཟོད་པ་ཐོབ་གྱུར་པ། ། ||| And the attainment of the divine eye, just as I did. “When I saw the Buddha Dīpaṃkara I scattered flowers And thereby attained acceptance.
དེ་འདྲའི་བཟོད་པ་དག་ནི་ཐོབ་པར་འགྱུར། ། ||| They will acquire that sort of acceptance.
འཇིག་རྟེན་མགོན་པོ་འོད་མཛད་ཐུབ་པ་ཡི། །མཚན་ནི་ཐོས་ནས་ ||| Upon hearing the name of this illuminating sage who protects the world.
སུ་ཞིག་ལུང་མི་ནོད། །གཞན་དུ་གང་ཞིག་མུ་སྟེགས་ཅན་གྱུར་པའམ། །ཕྲག་དོག་དག་གིས་ཉམས་པའི་མི་མ་གཏོགས། ། ||| “Only those who are extremists, Or who suffer from jealousy Would not want teachings
འདྲེན་པ་སངས་རྒྱས་ཀྱི་ནི་མངོན་སུམ་དུ། །འདི་འདྲའི་མདོ་སྡེ་བཤད་པ་སུས་ཐོས་པ། །དེ་ནི་ཕྱི་དུས་དག་ཏུ་འདི་འཛིན་ཅིང་། །གཞན་དག་ལ་ཡང་རབ་ཏུ་སྟོན་པར་བྱེད། ། ||| “Those who hear such a discourse taught Directly from the guide, the Buddha, Will remember it in the future And teach it to others.
གཞོན་ནུ་སྟེང་གི་ཕྱོགས་ན་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་གཞོན་ནུ་དཔེ་སྔ་མ་ལྟ་བུ་དེ་ལས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་འདས་ནས་འཇིག་རྟེན་གྱི་ཁམས་ཤིན་ཏུ་རྣམ་པར་ཕྱེ་བ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ ||| “Young man, located above this buddha realm, as in the previous analogy, past as many realms as there are grains of sand in the Ganges, there is a world called Wide Open.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བརྩོན་འགྲུས་གྲངས་མེད་པས་ཡང་དག་པར་རབ་ཏུ་གནས་པ་ཞེས་བྱ་བ་ཞིག་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| There the thus-gone, worthy, perfect Buddha Stable in Immeasurable Diligence lives. He is alive and well and teaches the Dharma.
གཞོན་ནུ་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་གནས་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཞིག་དེ་བཞིན་གཤེགས་པ་བརྩོན་འགྲུས་གྲངས་མེད་པས་ཡང་དག་པར་རབ་ཏུ་གནས་པ་ཞེས་བྱ་བ་དེའི་མཚན་ཐོས་ནས་ ||| Young man, when those noble sons or daughters who abide in the Great Vehicle hear the name of the thus-gone one Stable in Immeasurable Diligence—
སོམ་ཉི་མི་ཟ་ལ་ངས་མཐོང་བ་ལ་ཡང་ཡིད་ཆེས་ན། དེ་ཚེ་འདས་པའི་འོག་ཏུ་ནམས་ཀྱང་བརྩོན་འགྲུས་དམན་པར་མི་འགྱུར། ||| as long as they do not doubt this but trust in my vision—their diligence will never decrease once they have passed away.
ནམས་ཀྱང་འདོད་པ་ལ་སྟེན་པར་མི་འགྱུར། ||| Never again will they indulge in desire.
ནམས་ཀྱང་མའི་སྡུག་བསྔལ་གྱིས་གོས་པར་མི་འགྱུར། ||| Never again will they be stained by the suffering of a mother.
ཕའི་སྡུག་བསྔལ་དང་། གཉེན་གྱི་སྡུག་བསྔལ་དང་། སྤུན་གྱི་སྡུག་བསྔལ་གྱིས་གོས་པར་མི་འགྱུར། ||| Never again will they be stained by the suffering of a father, relative, and friend.
སྲིང་མོའི་སྡུག་བསྔལ་གྱིས་གོས་པར་མི་འགྱུར། ||| Never will they be stained by the suffering of a sister.
ནམས་ཀྱང་མཛའ་བོ་དང་། བཤེས་གཉེན་དང་། བློན་པོ་དང་། སྣག་གི་གཉེན་མཚམས་ཀྱི་སྡུག་བསྔལ་གྱིས་གོས་པར་མི་འགྱུར། ||| Never again will they be stained by the suffering of a companion, ally, clansman, or kinsman.
ནམས་ཀྱང་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་ལུས་མ་བརྒྱན་པར་མི་འགྱུར། ||| Never will their bodies not be adorned by the thirty-two marks of a great being.
ནམས་ཀྱང་འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག་མང་བར་མི་འགྱུར། ||| Never again will their attachment, aggression, and ignorance increase.
ནམས་ཀྱང་ནད་མང་བར་མི་འགྱུར། ||| Never again will any diseases proliferate.
ནམས་ཀྱང་མྱ་ངན་མང་བར་མི་འགྱུར། ||| Never again will any anguish grow.
བདེ་བ་མཐའ་ཡས་པ་ཡོངས་སུ་བཟུང་བར་འགྱུར། ||| Instead, they will gain limitless happiness.
བྱང་ཆུབ་ལ་ཐུག་གི་བར་དུ་ཡོན་ཏན་མཐའ་ཡས་པ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པས་ཡོངས་སུ་བཟུང་བར་འགྱུར་རོ། ། ||| On the way to awakening, they will gain countless trillions of limitless virtues.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་འདི་ཉིད་ཚིགས་སུ་བཅད་པས་བཀའ་སྩལ་པ། ||| The Blessed One then expressed the meaning of this in verse:
གང་ཞིག་འཇིག་རྟེན་མགོན་པོའི་མཚན། །ཐོས་ནས་སོམ་ཉི་མི་ཟ་བ། །ནམས་ཀྱང་ཕ་མ་གཉེན་འདུན་གྱི། །ཚོགས་ཀྱི་སྡུག་བསྔལ་མི་མཐོང་ངོ་། ། ||| “Those who hear the name of this world protector And do not doubt it Will never have to witness The suffering of parents and many relatives.
