འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
ཡོན་གནས་མཆོག་ལ་མཆོད་པར་འགྱུར་བ་དང་། བདག་མཐོང་ནས་སེམས་ཅན་གཞན་དག་ཀྱང་དེ་བཞིན་དུ་མཆོད་པ་བྱེད་པར་འགྱུར་བ་དང་། དེ་བཞིན་གཤེགས་པ་ལེགས་པར་མཆོད་ན་བྱང་ཆུབ་ཀྱི་སེམས་བརྟན་པར་འགྱུར་བ་དང་། སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་དང་ལྡན་པ་མངོན་སུམ་དུ་མཐོང་ན་དགེ་བའི་རྩ་བ་སོགས་པར་འགྱུར་བ་སྟེ། ||| That offerings are made to the supreme object of offering; that when they are seen making offerings, other beings make offerings in the same way; that when offerings to the tathāgatas are made in the right way, the mind of awakening becomes stable; and that when a great being with the thirty-two marks is seen directly, roots of virtue are accumulated.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔས་ཕན་ཡོན་བཞི་པོ་དེ་དག་མཐོང་ན་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་བྱ་བར་སྤྲོ་བར་འགྱུར་རོ། ། ||| Bhadra, when bodhisattvas see these four benefits, they will delight in making offerings to the tathāgatas.
བཟང་པོ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔས་དོན་གྱི་དབང་བཞི་མཐོང་ན་བསླབ་པ་ལྷུར་ལེན་པར་འགྱུར་ཏེ། ||| “Likewise, Bhadra, when bodhisattvas see these four objectives, they will be diligent in their training.
བཞི་གང་ཞེ་ན། ||| What are the four?
ངན་འགྲོ་ལས་ཡང་དག་པར་འདའ་བ་དང་། བདེ་འགྲོ་འཐོབ་པར་འགྱུར་བ་དང་། དེ་བཞིན་གཤེགས་པ་ལ་གུས་པ་དང་། སྨོན་ལམ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་སྟེ། ||| Passing beyond bad rebirths, achieving happy rebirths, respecting the tathāgatas, and completely fulfilling aspirations.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བསླབ་པ་ཡིན་ཏེ། ||| “Bhadra, these four are the trainings of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
བྱང་ཆུབ་ཀྱི་སེམས་མི་འདོར་བ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་མཉམ་པར་སྦྱོར་བ་དང་། ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་ཚོལ་བ་དང་། སངས་རྒྱས་ཀྱི་ཆོས་ཚད་མེད་པ་མཉན་པ་ལ་མི་སྐྲག་པ་སྟེ། ||| Never relinquishing the mind of awakening, being equanimous toward all beings, fully pursuing the perfections, and not being afraid to listen to the immeasurable Buddhadharma.
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བསླབ་པ་ཡིན་ནོ། ། ||| Bhadra, these four are the trainings of bodhisattvas.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བསླབ་པ་ཡོངས་སུ་དག་པ་ཡིན་ཏེ། ||| “Bhadra, these four are the perfectly pure trainings of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
བྱ་བ་མ་ཡིན་པ་མི་སྤྱོད་པ་དང་། སྟོང་པ་ཉིད་ལ་མོས་པ་དང་། སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་མི་སྤོང་བ་དང་། ལྟ་བ་བག་ལ་ཉལ་དང་བཅས་པར་ཡང་དག་པར་འཇོམས་པ་སྟེ། ||| Not doing what should not be done, having faith in emptiness, not abandoning the awakening of the buddhas, and completely vanquishing views along with their latent tendencies.
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བསླབ་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| Bhadra, those four are the completely pure trainings of bodhisattvas.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཏིང་ངེ་འཛིན་གྱི་རིགས་ཡིན་ཏེ། ||| “Bhadra, these four are the four aspects of the samādhi of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
འདུ་འཛི་མེད་པ་དང་། རབ་ཏུ་དབེན་པ་དང་། སེམས་ཀྱི་རྙོག་པ་མེད་པ་དང་། དགེ་བའི་རྩ་བ་ཉེ་བར་སྟོན་པ་སྟེ། ||| Being without distraction, remaining in solitude, having an untroubled mind, and relying on the roots of virtue.
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཏིང་ངེ་འཛིན་གྱི་རིགས་ཡིན་ནོ། ། ||| Bhadra, these four are the aspects of the samādhi of bodhisattvas.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚུལ་བཞིན་རབ་ཏུ་སྦྱོར་བ་ཡིན་ཏེ། ||| “Bhadra, these four are the proper modes of engagement of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
དགེ་བའི་རྩ་བ་སྐྱེས་ནས་བྱང་ཆུབ་ཀྱི་སེམས་མངོན་དུ་བྱེད་པ་དང་། ནང་དུ་ཡང་དག་འཇོག་པ་ལ་སྒྲིབ་པ་མེད་པ་དང་། རྣམ་པར་ཐར་བའི་སྒོ་དག་ལ་འདྲིས་པར་བྱེད་པ་དང་། ||| Actualizing the mind of awakening once the roots of virtues have been produced, being without obscuration when entering complete absorption, being familiar with the gateways to liberation, and not entering into fixity.
ངེས་པ་ལ་མི་འཇུག་པ་སྟེ། བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚུལ་བཞིན་རབ་ཏུ་སྦྱོར་བ་ཡིན་ནོ། ། ||| Bhadra, these four are the proper modes of engagement of bodhisattvas.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚུལ་བཞིན་མ་ཡིན་པའི་སེམས་སྐྱེ་བ་བཟློག་པར་བྱ་བ་ཡིན་ཏེ། ||| “Bhadra, these four are the improper mindsets of bodhisattvas that should be rejected.
བཞི་གང་ཞེ་ན། ||| What are the four?
འཁོར་བའི་འཇིགས་པས་སྐྲག་པ་དང་། རྣལ་འབྱོར་སྤྱོད་པ་དག་ལ་མ་མོས་པ་དང་། དགོངས་པ་དག་ལ་མི་དགའ་བ་དང་། དགེ་བའི་རྩ་བ་རྣམས་མངོན་པར་འདུ་མི་བྱེད་པ་སྟེ། ||| Being afraid of the horrors of saṃsāra, being uninterested in yogic activities, being uninterested in the intended meaning of the teachings, and not accumulating roots of virtue.
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་ཚུལ་བཞིན་མ་ཡིན་པའི་སེམས་སྐྱེ་བ་བཟློག་པར་བྱ་བ་ཡིན་ནོ། ། ||| Bhadra, these four are the improper mindsets that should be rejected.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སེམས་ཀྱིས་ངེས་པར་བསམ་པ་ཡིན་ཏེ། ||| “Bhadra, these four are the resolutions of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
སེམས་ཅན་འགའི་དོན་གྱི་ཕྱིར་ཡང་བསྐལ་པ་ཕྱི་མའི་མཐར་ཐུག་པར་འཁོར་བ་ན་འཁོར་བར་བྱའོ་སྙམ་པ་འདི་ནི་སེམས་ཀྱིས་ངེས་པར་བསམ་པ་དང་པོ་ཡིན་ནོ། ། ||| The first resolution is the thought, ‘Even for the sake of a single being, I will cycle in saṃsāra until the end of the final eon.’
བདག་གིས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་ཀྱི་སྤྱོད་པ་རྣམས་ཤེས་པར་བྱ་ཞིང་དེ་དག་གི་ཉོན་མོངས་པ་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། དབང་པོ་མཆོག་དང་མཆོག་མ་ཡིན་པ་ཤེས་པར་བྱ་བའི་ཕྱིར་ཆོས་བསྟན་པར་བྱའོ་སྙམ་པ་འདི་ནི་སེམས་ཀྱིས་ངེས་པར་བསམ་པ་གཉིས་པ་ཡིན་ནོ། ། ||| The second resolution is the thought, ‘I will teach the Dharma in order to know the thoughts of all beings, pacify their afflictions, and know the superior and inferior faculties.’
བདག་གིས་མི་དགེ་བའི་ཆོས་ཐམས་ཅད་སྤངས་ཤིང་དགེ་བའི་ཆོས་ཐམས་ཅད་དང་ལྡན་པར་བྱས་ནས་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་འདུག་སྟེ། བདུད་ཀྱི་དཔུང་ཕམ་པར་བྱས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་བྱའོ་སྙམ་པ་འདི་ནི་སེམས་ཀྱིས་ངེས་པར་བསམ་པ་གསུམ་པ་ཡིན་ནོ། ། ||| The third resolution is the thought, ‘May I, having relinquished all nonvirtuous qualities and become endowed with all virtuous qualities, reach the seat of awakening and, having defeated the hordes of Māra, fully awaken to unsurpassed, complete and perfect buddhahood.’
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་སྐད་ཅིག་གཅིག་གིས་གོ་བར་བྱས་ཏེ་ཆོས་བསྟན་པར་བྱའོ་སྙམ་པ་འདི་ནི་སེམས་ཀྱིས་ངེས་པར་བསམ་པ་བཞི་པ་ཡིན་ཏེ། ||| The fourth resolution is the thought, ‘Having understood the entire trichiliocosm in a single moment, may I teach the Dharma.’
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སེམས་ཀྱིས་ངེས་པར་བསམ་པ་ཡིན་ནོ། ། ||| Bhadra, these four are the resolutions of bodhisattvas.
བཟང་པོ་ཆོས་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བདུད་འདུལ་བ་ཡིན་ཏེ། ||| “Bhadra, these four qualities of bodhisattvas subdue Māra.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཆོས་ལ་སྒྱུ་མ་ལྟ་བུར་སོ་སོར་རྟོག་པ་དང་། ཚུལ་བཞིན་དུ་སྦྱོར་བ་དང་། ཆོས་ཐམས་ཅད་ལ་རྣམ་པར་མི་རྟོག་པ་དང་། མཚན་མ་ཐམས་ཅད་ལ་མི་གནས་པ་སྟེ། ||| Discerning every phenomenon as being like an illusion, having proper engagement, not conceptualizing phenomena, and not abiding in any characteristics.
