འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
བཅོམ་ལྡན་འདས་འདི་ལྟར་སྨྲ་བ་ལ་དགའ་བའི་སྐྱོན་རྣམས་དང་། དོན་ལ་སེམས་པའི་ཡོན་ཏན་རྣམས་དེ་བཞིན་གཤེགས་པས་ལེགས་པར་གསུངས་པ་ནི་ངོ་མཚར་ལགས་སོ། ། ||| “Blessed One, the way in which the Thus-Gone One has expressed the faults of liking to talk and the qualities of reflecting on the meaning is truly extraordinary!
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སྙིང་པོ་འཚལ་བ་རྣམས་ཀྱིས་ནི་དོན་བསམ་པ་བཏང་སྟེ་སྙིང་པོ་མ་མཆིས་པའི་སྨྲ་བ་ལ་དགའ་བར་བགྱིད་པའི་རྔོ་མི་ཐོག་ལགས་སོ། ། ||| Blessed One, bodhisattvas searching for the crucial point will reflect upon the meaning, and they will be utterly incapable of taking delight in talking about things that are not essential.
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་གཉིད་ཀྱི་དགའ་བས་དགའ་བའི་སྐྱོན་ཇི་ལྟར་བརྟག་པར་བགྱི། ||| “Blessed One, how should bodhisattva great beings examine the faults of enjoying the pleasures of sleep?
བྱང་ཆུབ་སེམས་དཔས་ཇི་ལྟར་བརྟགས་ན་རྨུགས་པ་དང་། གཉིད་ཀྱི་ནོངས་དམིགས་མཐོང་ནས་བརྩོན་འགྲུས་རྩོམ་ཞིང་ཡོངས་སུ་སྐྱོ་བར་ཡང་མི་འགྱུར་བ་ལགས། ||| What kind of examination is required for bodhisattvas to observe the drawbacks of lethargy and sleep, exercise diligence, and never become despondent?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
བྱམས་པ་འདི་ལ་གཉིད་ལ་དགའ་བའི་ཉེས་དམིགས་ནི་རྣམ་པ་ཉི་ཤུར་བརྟག་པར་བྱ་སྟེ ||| “Maitreya, to answer you, liking to sleep has twenty distinct shortcomings that must be examined.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ལ་རྟོག་ན་བརྩོན་འགྲུས་རྩོམ་པ་ལ་དགའ་ཞིང་སྐྱོ་བར་ཡང་མི་འགྱུར་རོ། ། ||| If bodhisattvas were to examine these, they would happily begin to exercise diligence and never become despondent.
ཉི་ཤུ་གང་ཞེ་ན། ||| What are the twenty?
བྱམས་པ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་གཉིད་ཆེ་བ་ནི་རྨུགས་པ་དང་། གཉིད་ཀྱིས་ནོན་ཏེ་ལེ་ལོ་ཆེ་བར་འགྱུར་བ་དང་། ལུས་ཤ་ཆེ་བ་དང་། མདོག་ཡོངས་སུ་མ་དག་པ་དང་། ||| “Maitreya, to answer this, bodhisattvas who sleep a great deal (1) are overcome with lethargy and sleep, and so become extremely lazy and (2) become corpulent and develop pallid complexions.
དེའི་འབྱུང་བ་ཆེན་པོ་རྣམས་ནད་བཞིས་ནོན་པར་འགྱུར་བ་དང་། དེའི་མེའི་ཁམས་ཆུང་བར་འགྱུར་བ་དང་། དེའི་ཁ་ཟས་ལེགས་པར་འཇུ་བར་མི་འགྱུར་བ་དང་། དེའི་ལུས་ལ་འབྲས་དང་ཕོལ་མིག་འབྱུང་བར་འགྱུར་བ་དང་། ལེ་ལོ་ཅན་དུ་འགྱུར་བ་དང་། ||| (3) The four types of disease oppress their major elements, (4) their heat constituent is dampened, (5) they do not digest food well, (6) lesions and ulcers break out on their bodies, (7) they become listless,
དེའི་གཏི་མུག་གི་དྲ་བ་རྣམ་པར་འཕེལ་བར་འགྱུར་བ་དང་། དེའི་ཤེས་རབ་ཉམ་ཆུང་བར་འགྱུར་བ་དང་། དེ་ཁ་ཟས་འདོད་པ་ལས་ཡིག་འཆུ་བར་འགྱུར་བ་དང་། དེ་གཏི་མུག་གི་མུན་པ་རབ་ཏུ་འཛིན་པར་འགྱུར་བ་དང་། ||| (8) the web of their delusion spreads wider, (9) their insight becomes feeble, (10) they lose their appetite for tasty foods, (11) they are held in the dark clutches of ignorance,
དེ་ལ་མི་མ་ཡིན་པ་རྣམས་བཀུར་སྟི་མི་བྱེད་པ་དང་། ||| (12) nonhuman creatures do not serve them,
སེམས་རྟུལ་བར་འགྱུར་བ་དང་། མི་ལྡང་བ་མང་བར་འགྱུར་བ་དང་། དེའི་སེམས་བག་ལ་ཉལ་གྱིས་ཀུན་ནས་དཀྲིས་ཤིང་འདུག་པར་འགྱུར་བ་དང་། ||| (13) their minds become dull, (14) they find it harder and harder to get up, (15) their latent tendencies besiege and occupy their minds,
དེ་དགེ་བའི་ཆོས་ལ་འདུན་པར་མི་འགྱུར་བ་དང་། དགེ་བའི་ཆོས་ཐམས་ཅད་ལས་ཉམས་པར་འགྱུར་བ་དང་། ||| (16) they lose any interest in virtuous activities, (17) they cease practicing virtuous activities,
སྤྱོད་པ་ཞུམ་པར་གྱུར་ནས་བརྩོན་འགྲུས་རྩོམ་པ་རྣམས་ཀྱི་སྤྱོད་པ་ལ་སྨོད་པ་དང་། འཁོར་གྱི་ནང་དུ་སོང་ན་བརྙས་པར་འགྱུར་བ་སྟེ། ||| (18) their own conduct becomes feeble, (19) they disparage the efforts of those who exercise diligence, and (20) they are greeted with contempt when out among their peers.
བྱམས་པ་ཉི་ཤུ་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་གཉིད་ལ་དགའ་ཞིང་རྨུགས་པ་དང་། གཉིད་མང་བའི་ཉེས་དམིགས་ཡིན་ཏེ། ||| “Maitreya, those twenty are the shortcomings of bodhisattvas who like to sleep, are indolent, and are lethargic.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ལ་རྟོག་ན་བརྩོན་འགྲུས་རྩོམ་པ་ལ་དགའ་ཞིང་ཡོངས་སུ་སྐྱོ་བར་ཡང་མི་འགྱུར་རོ། ། ||| And so, if bodhisattvas consider them, they will delight in exercising diligence and never become discouraged.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| At that point, the Blessed One uttered these verses:
གང་ཞིག་རྨུགས་དང་གཉིད་ལ་དགའ་འགྱུར་བ། །དེ་ཡི་ལུས་ནི་ཤ་ཆེ་མཁྲེགས་མ་ཡིན། ། ||| “When someone is indolent and likes to sleep, His body becomes fat and flabby.
ལེ་ལོ་དེ་ཆེ་བླུན་ཞིང་འཐུན་མི་བྱེད། །དེ་ཡི་མདོག་ཀྱང་དག་པར་མི་འགྱུར་རོ། ། ||| A lazy person grows foolish and disagreeable, And his complexion becomes pallid, too.
གང་ཞིག་རྨུགས་དང་གཉིད་ལ་དགའ་འགྱུར་བ། །བད་ཀན་རླུང་དང་དེ་བཞིན་མཁྲིས་པ་རྣམས། །དེ་དག་དེ་ཡི་ལུས་ལ་ཤས་ཆེར་འབྱུང་། །དེ་ཡི་ཁམས་རྣམས་རབ་ཏུ་འཁྲུག་པར་འགྱུར། ། ||| “When someone is indolent and likes to sleep, Phlegm, wind, and likewise bile Overrun his physical body, Severely agitating its constituents.
གང་ཞིག་རྨུགས་དང་གཉིད་ལ་དགའ་འགྱུར་བ། །ཁ་ཟས་ཉེས་པས་ལྟོ་ནི་མ་དག་ཅིང་། །ལུས་ཀྱང་ལྕི་ལ་ཟོ་བདོག་བདེ་མ་ཡིན། ། ||| “When someone is indolent and likes to sleep, Impurities in food foul his belly, And his body grows heavy and ungainly.
དེ་ཡི་ཚིག་ཀྱང་གསལ་བར་མི་འགྱུར་རོ། ། ||| His speech even becomes slurred.
གང་ཞིག་རྨུགས་དང་གཉིད་ལ་དགའ་འགྱུར་བ། །དེ་ཡི་ལུས་ལ་ཕོལ་མིག་མང་པོ་འབྱུང་། ། ||| “When someone is indolent and likes to sleep, Many ulcers form on his body.
དེ་ནི་ཉིན་དང་མཚན་དུ་བདེ་བར་ཉལ། །དེ་ལ་རྨ་རྣམས་མི་བཟད་འབྱུང་བར་འགྱུར། ། ||| He would rather stay reclined day and night, Which produces excruciating sores.
གང་ཞིག་རྨུགས་དང་གཉིད་ལ་དགའ་འགྱུར་བ། །ལེ་ལོ་བྱེད་ཅིང་བརྩོན་འགྲུས་ཡོངས་སུ་ཉམས། །དེ་ནི་བདེ་ལས་ཉམས་ཤིང་ནོར་རྣམས་འགྲིབས། ། ||| “When someone is indolent and likes to sleep, It makes him lazy and robs him of initiative, Dampening his spirits and draining his finances.
དེ་ནི་རྟག་ཏུ་ཞན་ཅིང་སེམས་ཀྱང་རྨོངས། ། ||| He is always weak, and his mind grows dim, too.
གང་ཞིག་རྨུགས་དང་གཉིད་ལ་དགའ་འགྱུར་བ། །གཏི་མུག་དྲ་བ་ཆེན་པོ་འཕེལ་འགྱུར་ཞིང་། ། ||| “When someone is indolent and likes to sleep, The great web of dullness spreads wider.
དེ་ནི་ཐེ་ཚོམ་ཅན་དེ་ལྟ་བ་ཐོབ། ། ||| He is tentative and consumed with doubts,
དེ་ནི་ལྟ་བར་གྱུར་པ་མང་བར་འགྱུར། ། ||| And more and more paralyzed by indecision.
