༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་ཏུ་ནུབ་པ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་ཚིགས་སུ་བཅད་པས་ཡོངས་སུ་ཞུས་པ། འཇིག་རྟེན་སྣང་མཛད་ཇི་སླད་དུ། །འཛུམ་པ་མཛད་པའི་རྒྱུ་གང་ལ་གས། ། ||| Venerable Ānanda saw this, and he entreated the Blessed One in verse: “For what reason do you smile, Thus illuminating the world?
བདག་དང་སྲོག་ཆགས་གཞན་དག་གི། །སོམ་ཉི་ལེགས་པར་བསལ་དུ་གསོལ། ། ||| Please dispel my doubts And those of other beings!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་གྱད་ཀྱི་བུ་འདི་དག་ལྷགས་ཏེ་སེམས་རབ་ཏུ་དང་བས་ང་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དམིགས་མེད་དང་། མདོ་སྡེའི་ཚིག་བསྟན་པ་འདི་ལ་ཐལ་མོ་སྦྱར་ཅིང་རབ་ཏུ་བཏུད་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེད་པར་བྱེད་པ་དག་མཐོང་ངམ། ||| The Blessed One replied, “Ānanda, did you see those Malla sons who with sincere reverence bowed with folded hands to me, to the bodhisattva great being Without Reference, and to the teachings of this discourse and generated the mind set on complete, unsurpassed awakening?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| “I saw them, Blessed One,” replied Ānanda.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་གྱད་ཀྱི་བུ་འདི་དག་ཐམས་ཅད་ནི་བསྐལ་པ་གྲངས་མེད་པ་བྱེ་བར་ངན་འགྲོ་ལོག་པར་ལྟུང་བར་འགྲོ་བར་མི་འགྱུར་ཞིང་དེ་དག་ཕྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་ཡང་འགྱུར་རོ། ། ||| The Blessed One continued, “Ānanda, those Malla sons will not fall into the lower realms of rebirth for countless millions of eons, and later they will fully awaken in unsurpassed, completely perfect awakening.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། །ཡིད་བདེ་མགུ་བའི་སེམས་ལྡན་པའི། །གྱད་ཀྱི་བུ་རྣམས་འདིར་ལྷགས་ཏེ། །ཐལ་མོ་སྦྱར་ཅིང་རབ་བཏུད་པ། །ཀུན་དགའ་ཁྱོད་ཀྱིས་མ་མཐོང་ངམ། ། ||| The Blessed One then spoke these verses: “Those Malla sons have come here With joy and delight And bowed with folded hands— Did you not see, Ānanda?
མཁས་པ་འདི་དག་ཐམས་ཅད་ཀྱིས། །ང་ལ་མཆོད་པ་འདི་བྱས་ནས། །བླ་མེད་བྱང་ཆུབ་འཐོབ་འགྱུར་བར། །མགུ་བ་ཉིད་ཀྱིས་རྗོད་པར་བྱེད། ། ||| “All these wise ones Have made offerings to me, And they joyfully speak Of attaining supreme awakening.
དམིགས་མེད་ཤེས་རབ་ལྡན་པ་དང་། །ཆོས་ལའང་གུས་དང་བཅས་བྱས་ཤིང་། །དེ་བཞིན་ཉན་ཐོས་དགེ་འདུན་ལ། །ཐལ་མོ་སྦྱར་བ་འདི་བྱས་པས། ། ||| “With faith in the Dharma, In the insightful Without Reference, And in the community of disciples, They have pressed their palms together.
བསྐལ་པ་བྱེ་བ་གྲངས་མེད་དུ། །དེ་དག་ངན་འགྲོར་འགྲོ་མི་འགྱུར། ཐལ་མོ་སྦྱར་བའི་ལས་དང་ནི། །ལུས་རབ་བཏུད་པས་ཕྱིན་ཆད་ནི། །དེ་དག་བྱང་ཆུབ་འཐོབ་འགྱུར་བའི། ། ||| “Through this act of joining their hands And bowing their bodies, They will not fall into lower realms For countless millions of eons, “And it is certain that in the future They will reach perfect awakening.
ཕུན་སུམ་ཚོགས་པ་ཅིར་འགྱུར་བ། །ང་ཡིས་བསྐལ་པའམ་བསྐལ་པ་ནི། །བྱེ་བ་ཕྲག་བརྒྱར་བརྗོད་གྱུར་ཀྱང་། །སྤྱོད་པ་དམ་པ་སྤྱད་བྱས་པ། །དེ་ལ་གྲངས་ནི་ཡོད་མིན་པས། ། ||| Were I to describe their abundance For a billion eons, “The activities of their sublime conduct Could not be enumerated.
བསྐལ་པ་བྱེ་བ་རྣམས་ཀྱིས་ཀྱང་། །མཐའ་མ་རྟོགས་པར་སླ་བ་མིན། ། ||| Even over millions of eons, The task would not easily be completed.
ཀུན་དགའ་བོ་དོ་མོད་ནམ་གྱི་ཐུན་ཐ་མ་ལ་སངས་རྒྱས་ང་དང་ཁྱོད་བལྟ་བའི་ཐ་མར་འགྱུར་རོ། ། ||| “Ānanda, the last watch of this night will be the last time you see me, the Awakened One.
ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་བྱང་ཕྱོགས་ནས་འོད་ཆེན་པོ་གསེར་གྱི་ཁ་དོག་ལྟ་བུ་ཞིག་འོང་ཞིང་དེའི་གཟི་བརྗིད་ཀྱིས་བྱང་ཕྱོགས་ཀྱི་རྩྭ་དང་། ཤིང་གེལ་པ་དང་། ལྕུག་མ་དང་། ཚལ་དང་། ཤིང་ལྗོན་པ་དང་། སྨན་དང་། ||| “Ānanda, did you see that great shaft of golden light that came from the north?
ནགས་ཚལ་དང་། རི་དང་། ཐང་དང་། ཁང་བཟངས་དང་། པུ་ཤུ་དང་། གཞལ་མེད་ཁང་དང་། ཁང་པ་བརྩེགས་པ་ཐམས་ཅད་དང་། མི་དང་མི་མ་ཡིན་པ་དང་། ནམ་མཁའ་དང་། བར་སྣང་ཐམས་ཅད་འདི་ལྟ་སྟེ། གསེར་གྱི་མདོག་ལྟ་བུར་ཁ་དོག་གཅིག་ཏུ་ཀུན་ཏུ་སྣང་བར་གྱུར་པ་མཐོང་ངམ། ||| Did you see how its brilliance illuminated the entire north, all at once, with its golden color—all the grass, bushes, and shrubs, the vegetation, trees, and medicinal plants, the forests, mountains, and plains, the mansions, houses, palaces, and manors, the humans and nonhumans, the sky, and the entire space?”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་དེ་ལྟ་ལགས་སོ། །བཀའ་སྩལ་པ། ||| “Yes indeed, Blessed One,” he replied.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་ཁྱོད་ཀྱིས་བྱང་ཕྱོགས་ནས་འཛམ་བུ་ཆུ་བོའི་གསེར་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་བདུན་འོང་ཞིང་ཁང་པ་བརྩེགས་པ་དབུས་མའི་ནང་ན་གཟི་བརྗིད་མཆོག་དང་ལྡན་ཞིང་དཔལ་གྱིས་རྣམ་པར་མཛེས་པའི་ཁྱེའུ་ཞིག་སྐྱིལ་མོ་ཀྲུང་གིས་འདུག་པ་མཐོང་ངམ། ||| “Ānanda, did you see the seven storied mansions made from Jambu River gold that arrived from the north? And did you see a beautiful, splendid, and magnificent child sitting cross-legged in the middle storied mansion?”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་དེ་ལྟ་ལགས་སོ། །བཀའ་སྩལ་པ། ||| “Yes indeed, Blessed One,” he replied.
ཀུན་དགའ་བོ་ཁྱེའུ་འདི་ནི་མངོན་པར་ཤེས་པའི་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ཐོབ་པ་ཞེས་བྱ་སྟེ། ||| “Ānanda, this child is called Flower of Clairvoyance.
འདི་ནས་བྱང་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་འབུམ་ཕྲག་དྲུག་ཅུ་རྩ་བཞི་འདས་པ་ན། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱང་ཆུབ་ཡན་ལག་གནས་ཞེས་བྱ་བའི་སངས་རྒྱས་ཀྱི་ཞིང་འཇིག་རྟེན་གྱི་ཁམས་མེ་ཏོག་ཅན་ཞེས་བྱ་བ་ཞིག་ཡོད་པ་དེ་ནས་ཤི་འཕོས་ནས་འཇིག་རྟེན་གྱི་ཁམས་འདིར་སྐྱེས་པ་ཡིན་ནོ། ། ||| Sixty-four trillion buddha fields north of here, in the buddha field of the thus-gone, worthy, perfect buddha called Resting in the Branches of Awakening, he died in Puṣpavatī and was reborn here, in this world.
ཀུན་དགའ་བོ་འཇིག་རྟེན་གྱི་ཁམས་དེ་ན་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་ཚིག་གི་སྒྲ་འབྱུང་སྟེ། རྩྭ་དང་། ||| Ānanda, the sounds of the words of the branches of awakening come from that world.
ཤིང་གེལ་པ་དང་། ལྕུག་མ་དང་། ཤིང་ལྗོན་པའི་ཚོགས་དང་། སྨན་དང་། ནགས་ཚལ་ཐམས་ཅད་ལས་ཀྱང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་ཚིག་གི་སྒྲ་འབྱུང་ངོ་། ། ||| There, the sounds of the words of the branches of awakening resound from every blade of grass, from every bush, shrub, tree, medicinal plant, and forest.
སྒྲ་དེས་སེམས་ཅན་དག་དགེ་བའི་ཆོས་རྣམས་ཀྱིས་ཡོངས་སུ་སྨིན་པར་བྱེད་དོ། ། ||| Those sounds ripen the virtuous qualities of beings.
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གནས་དེ་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་བསྐལ་པ་དྲུག་ཁྲི་བཞི་སྟོང་དུ་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| Ānanda, the Thus-Gone One Branches of Awakening has been sustained there for sixty-four thousand eons since his attainment of perfect buddhahood in unsurpassed, completely perfect awakening.
