འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཞི་པ་སྟེ། རྨི་ལམ་བསྟན་པ། བམ་པོ་དང་པོ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སྭཔྣ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Teaching on Dreams
དེ་ལ་ས་དང་པོ་ལ་གནས་པ་ནི་སངས་རྒྱས་སུ་འགྱུར་རམ། འོན་ཀྱང་མི་འགྱུར་སྙམ་དུ་བྱང་ཆུབ་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| “Bodhisattvas on the first bhūmi have doubts about awakening, wondering if they will or will not become a buddha.
ས་གཉིས་པ་ལ་གནས་པ་ནི་ཡང་དག་པར་བླང་བ་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the second bhūmi they have doubts about their obligations.
ས་གསུམ་པ་ལ་གནས་པ་ནི་ཡེ་ཤེས་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the third bhūmi they have doubts about wisdom.
ས་བཞི་པ་ལ་གནས་པ་ནི་ཏིང་ངེ་འཛིན་སྒྲུབ་པ་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the fourth bhūmi, they have doubts about mastering samādhi.
ས་ལྔ་པ་ལ་གནས་པ་ནི་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་གྱི་ཤེས་པ་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the fifth bhūmi they have doubts about knowing how things truly are.
ས་དྲུག་པ་ལ་གནས་པ་ནི་ལམ་དང་འབྲས་བུ་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the sixth bhūmi they have doubts about the path and fruition.
ས་བདུན་པ་ལ་གནས་པ་ནི་ངེས་པའི་ཚིག་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the seventh bhūmi they have doubts about linguistic analysis.
ས་བརྒྱད་པ་ལ་གནས་པ་ནི་རྣམ་པར་འཕྲུལ་བ་ལ་ཐེ་ཙོམ་ཟའོ། ། ||| On the eighth bhūmi they have doubts about miraculous displays. 97.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་ཟམ་པ་འདོགས་ཤིང་ཆུ་བོའི་དབུས་སུ་སོང་བར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བདུན་པོ་དག་ཏུ་བལྟ་སྟེ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive themselves constructing a bridge and walking out to the middle of water, consider those bodhisattvas to be on one of the first seven bhūmis.
དེ་ལ་ལས་ཀྱི་སྒྲིབ་པ་ཤས་ཆེ་ཞིང་བདུད་ཀྱི་ལས་ཀྱང་ཤས་ཆེ་བས་དེས་ནི་འདུན་པ་དྲག་པོར་བྱ་ཞིང་རྟེན་པ་མེད་པ་དང་། ||| They are dominated by karmic obscurations and by the activity of Māra.
དབྱེ་བ་ལ་མི་གནས་པར་བྱ་བ་དང་། ||| Such bodhisattvas should then be fiercely determined, act independently and without maintaining distinctions, and make an effort in the accumulations.
ཚོགས་པ་ལ་མངོན་པར་བརྩོན་པར་བྱས་ན་མི་སྐྱེ་བའི་ཆོས་ཀྱི་སྣང་བ་རྣམ་པར་དག་པར་འགྱུར་རོ། ། ||| By doing so, they will purify the light of unarisen phenomena.
གང་གིས་ཤེས་པའི་སྣང་བ་ལ་བར་ཆད་ཡོད་པ་དེ་ནི་ས་དང་པོར་རོ། ། ||| “If they have obstacles to the light of understanding, those bodhisattvas are on the first bhūmi.
གང་གིས་ཇི་ལྟར་བརྩོན་པའི་དགེ་བའི་རྩ་བ་ལ་ལུས་ཉམས་བདེ་བ་མེད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གཉིས་པར་རོ། ། ||| If they do not experience physical pleasure in the virtuous root of appropriate effort, they are on the second bhūmi.
སེམས་ཀྱི་བར་དག་ལ་ཉམས་བདེ་བ་མེད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གསུམ་པར་རོ། ། ||| If they do not experience pleasure in speech and mind, they are on the third bhūmi.
གང་ལ་སྣང་བ་འགའ་ཞིག་ཡོད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བཞི་པར་རོ། ། ||| If they have some degree of light, they are on the fourth bhūmi.
གང་ལ་མི་འཇིགས་པ་ཆུང་བ་དེ་ནི་ས་ལྔ་པར་རོ། ། ||| If they have a small degree of fearlessness, they are on the fifth bhūmi.
གང་ལ་ཡོངས་སུ་སྨིན་པར་བྱ་བ་ལ་བར་ཆད་ཡོད་པ་དེ་ནི་ས་དྲུག་པར་རོ། ། ||| If they have obstacles to what should ripen, they are on the sixth bhūmi.
གང་གིས་བསྟན་པ་ལ་བར་ཆད་ཡོད་པ་དེ་ནི་ས་བདུན་པར་རོ། ། ||| If they have obstacles to teaching, they are on the seventh bhūmi. 98.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་གྲུ་འདྲེན་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དྲུག་པོ་དག་ཏུ་བལྟ་སྟེ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive themselves piloting a boat, consider those bodhisattvas to be on one of the first the six bhūmis.
ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་པོ་ཐམས་ཅད་ལ་ཆ་མཉམ་པར་སྤྱོད་ཅིང་བར་ཆད་དང་བཅས་པ་ཡིན་པས་དེས་ནི་མི་གནས་པར་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་པོ་ཐམས་ཅད་ལ་བསྟེན་པར་བྱའོ། ། ||| Such bodhisattvas practice the six perfections equally, but do so with obstacles. They should therefore engage all six perfections as being without basis.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གྲུའི་ཤིང་མ་སྦྱངས་པ་འདྲེན་པར་ཀུན་ཏུ་ཤེས་ན་ས་དང་པོར་རོ། ། ||| “If those bodhisattvas perceive themselves piloting a crude wooden boat, they are on the first bhūmi.
སྦྱངས་པས་ནི་ས་གཉིས་པར་རོ།། །། ||| If it is a well-made boat, they are on the second bhūmi.
གཤིབས་པས་ནི་ས་གསུམ་པར་རོ། ། ||| If the boat is made of planks, they are on the third bhūmi.
མ་གཤིབས་པས་ནི་ས་བཞི་པར་རོ། ། ||| If it is not made of planks, they are on the fourth bhūmi.
སྐྱེ་བོ་ཞུགས་པས་ནི་ས་ལྔ་པར་རོ། ། ||| If people are boarding the boat, those bodhisattvas are on the fifth bhūmi.
སྒྲོལ་བས་ནི་ས་དྲུག་པར་རོ། ། ||| If the boat is being unmoored, they are on the sixth bhūmi. 99.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་སྤྲིན་ལས་འབྲུག་གྲག་པའམ། གློག་འབྱུང་བར་བདག་གིས་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་ལྔ་པོ་དག་ཏུ་བལྟ་སྟེ། ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive thunder sounding and lightning shooting from clouds, consider those bodhisattvas to be on one of the first five bhūmis.
དེ་ལ་བདུད་ཀྱི་ལས་ནི་ཤས་ཆེ་ལ་ལས་ཀྱི་སྒྲིབ་པ་ནི་ཆུང་བས་དེས་ངེས་པར་བརྟག་པ་མང་དུ་བྱ་ཞིང་སྡུག་པའི་དངོས་པོ་ཡོངས་སུ་བཏང་སྟེ། ||| They are predominated by the activity of Māra, and less influenced by karmic obscurations.
གཟུངས་ཡང་དག་པར་བསྒྲུབ་པར་བྱའོ། ། ||| They should therefore increase their critical inquiry, give up their beloved objects, and master dhāraṇī.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གང་གིས་སྤྲིན་ནམ་གློག་མཐོང་ནས་སྐྲག་ན་དེ་ནི་ས་དང་པོར་རོ། ། ||| “If those bodhisattvas become frightened after seeing clouds or lightning, they are on the first bhūmi.
གང་མི་སྐྲག་ན་དེ་ནི་ས་གཉིས་པར་རོ། ། ||| If they do not become frightened, they are on the second bhūmi.
གང་ཆོས་ཡིད་ལ་བྱེད་ན་དེ་ནི་ས་གསུམ་པར་རོ། ། ||| If they remain attentive to the Dharma, they are on the third bhūmi.
གང་སངས་རྒྱས་ཡིད་ལ་བྱེད་ཅིང་རིའི་རྩེ་མོ་ན་འདུག་ན་དེ་ནི་ས་བཞི་པར་རོ། ། ||| If they remain attentive to the Buddha while sitting on a mountain peak, they are on the fourth bhūmi.
གང་ནམ་མཁའ་ལ་ན་དེ་ནི་ས་ལྔ་པར་ཏེ། ||| If they are in the sky, they are on the fifth bhūmi.
དེ་ལ་བདུད་ཀྱི་ལས་ནི་མ་གཏོགས་སོ། ། ||| These are the signs, unless they are the activity of Māra.
ཀླུ་འོངས་ཤིང་བྱི་དོར་རམ་སྒོམ་པར་བྱེད་ནས་གོང་མ་དག་ཏུའོ། ། ||| If nāgas arrive and start cleaning or practicing, those bodhisattvas are on the higher bhūmis.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་མཚོན་ཆའམ་གོ་ཆ་རྙེད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་གསུམ་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 100. “Vajrapramardin, if in a dream bodhisattvas find weapons or armor, consider those bodhisattvas to be on one of the first three bhūmis.
དེ་ལ་བདུད་ཀྱི་ལས་དང་ལས་ཀྱི་སྒྲིབ་པ་ཆེ་བ་ཡིན་པས་དེས་ནི་བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་ཀུན་དུ་བསྟེན་པར་བྱའོ། ། ||| They are strongly affected by the activity of Māra and karmic obscurations, and should therefore develop the perfection of patience, the perfection of diligence, and the perfection of insight.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
